donor,tissue,coarse_label,n_cells,PC1,PC2
JIA_patient_1,synovial_fluid,Tcon,2851.0,-0.118071867,1.89234146
JIA_patient_2,synovial_fluid,Tcon,2238.0,-0.550102037,2.42536158
JIA_patient_3,synovial_fluid,Tcon,1653.0,-2.28675523,-2.51710678
JIA_patient_4,synovial_fluid,Tcon,2579.0,0.350175661,-3.36725269
JIA_patient_5,synovial_fluid,Tcon,3074.0,8.98569668,-14.5350242
JIA_patient_6,synovial_fluid,Tcon,4454.0,6.41896731,-14.5435387
JIA_patient_7,synovial_fluid,Tcon,2653.0,3.30449419,1.75518188
JIA_patient_1,peripheral_blood,Tcon,2885.0,-7.03012473,23.8936979
JIA_patient_2,peripheral_blood,Tcon,2480.0,-4.92473469,26.1022394
JIA_patient_4,peripheral_blood,Tcon,2222.0,-2.21314454,25.7690193
JIA_patient_5,peripheral_blood,Tcon,3516.0,-3.22321266,26.5589655
JIA_patient_6,peripheral_blood,Tcon,4276.0,-3.16087199,26.0918421
JIA_patient_7,peripheral_blood,Tcon,3032.0,-2.59487881,29.7244429
JIA_patient_1,synovial_fluid,Treg,1761.0,-25.8673722,-19.7368635
JIA_patient_2,synovial_fluid,Treg,2669.0,-19.9346689,-17.5895068
JIA_patient_3,synovial_fluid,Treg,1636.0,-26.3219114,-25.8119372
JIA_patient_4,synovial_fluid,Treg,2867.0,-25.4320273,-25.9425864
JIA_patient_6,synovial_fluid,Treg,1825.0,-13.3498022,-32.1372989
JIA_patient_7,synovial_fluid,Treg,2814.0,-19.5917999,-20.9615091
JIA_patient_1,peripheral_blood,Treg,2360.0,-27.4862452,5.83203069
JIA_patient_2,peripheral_blood,Treg,1271.0,-23.1355717,1.03882336
JIA_patient_3,peripheral_blood,Treg,1581.0,-26.913817,8.63330235
JIA_patient_4,peripheral_blood,Treg,2230.0,-27.4276804,9.02547559
JIA_patient_5,peripheral_blood,Treg,3942.0,-24.6070774,10.9620269
JIA_patient_6,peripheral_blood,Treg,1953.0,-23.8112161,9.60895078
JIA_patient_7,peripheral_blood,Treg,266.0,-22.5266845,13.0970015
JIA_patient_1,synovial_fluid,CD8,2787.0,21.092496,-16.822189
JIA_patient_2,synovial_fluid,CD8,2545.0,20.3981361,-19.2416985
JIA_patient_3,synovial_fluid,CD8,2478.0,21.61091,-22.5921294
JIA_patient_4,synovial_fluid,CD8,2502.0,18.664094,-20.0605299
JIA_patient_5,synovial_fluid,CD8,2648.0,26.7413893,-15.7025593
JIA_patient_6,synovial_fluid,CD8,3287.0,25.298252,-21.0550105
JIA_patient_7,synovial_fluid,CD8,2763.0,25.7787486,-9.24128894
JIA_patient_1,peripheral_blood,CD8,2547.0,25.6152627,8.06581048
JIA_patient_2,peripheral_blood,CD8,1637.0,23.3243292,13.4502844
JIA_patient_4,peripheral_blood,CD8,2675.0,26.4576105,15.5504445
JIA_patient_5,peripheral_blood,CD8,2786.0,27.4526054,13.5954942
JIA_patient_6,peripheral_blood,CD8,3311.0,25.9658361,6.95603805
JIA_patient_7,peripheral_blood,CD8,2861.0,25.0487669,21.829255
