"gene_symbol","log2FoldChange","stat","pvalue","padj","category","labelled_on_figure"
"ERI1",1.40522492,9.1688016,4.06890616e-06,0.000218239913,"p-value & Log2FC",FALSE
"PUM1",-0.900854866,-9.14327858,4.11469398e-06,0.000219853439,"p-value",FALSE
"BATF",1.91801177,10.0489131,4.14139593e-06,0.00022043879,"p-value & Log2FC",FALSE
"CIB1",0.6938829,9.11147042,4.2437609e-06,0.000224304682,"p-value",FALSE
"SIPA1L1",1.04649816,9.10705064,4.26204176e-06,0.000224304682,"p-value & Log2FC",FALSE
"PLP2",1.4877258,9.40453442,4.26209339e-06,0.000224304682,"p-value & Log2FC",FALSE
"TMEM204",-1.47824371,-9.19233321,4.33736067e-06,0.000227410907,"p-value & Log2FC",FALSE
"ZBTB10",-3.33125827,-9.08029153,4.37457308e-06,0.000228506151,"p-value & Log2FC",FALSE
"TCEA3",-3.96126046,-9.06309984,4.4485783e-06,0.000231033124,"p-value & Log2FC",FALSE
"CTB-31O20.2",-1.23629033,-9.06140285,4.4559571e-06,0.000231033124,"p-value & Log2FC",FALSE
"S100A4",1.21577075,9.05615164,4.47887494e-06,0.000231364466,"p-value & Log2FC",FALSE
"SLC31A2",2.007945,9.03062824,4.5921136e-06,0.000236341905,"p-value & Log2FC",FALSE
"TMEM116",-1.35246855,-9.01461973,4.66472962e-06,0.000239199817,"p-value & Log2FC",FALSE
"PFKP",0.914378791,9.00798616,4.6951864e-06,0.000239882899,"p-value",FALSE
"CAMK4",-1.03648541,-8.99046031,4.77670174e-06,0.000243160173,"p-value & Log2FC",FALSE
"ENO1",1.58534457,9.39088639,4.84797035e-06,0.000245893974,"p-value & Log2FC",FALSE
"RNF207",2.70499444,8.96988714,4.87436595e-06,0.000246340249,"p-value & Log2FC",FALSE
"LEPROT",1.01861405,8.9654055,4.89592867e-06,0.000246539948,"p-value & Log2FC",FALSE
"RP11-427H3.3",-0.829252659,-8.93627848,5.03863018e-06,0.00025281643,"p-value",FALSE
"PAXIP1-AS1",-1.06838747,-8.93206799,5.05963121e-06,0.000252963491,"p-value & Log2FC",FALSE
"IGFLR1",1.15155798,8.9025933,5.20934589e-06,0.000258352407,"p-value & Log2FC",FALSE
"LAT2",2.55919841,9.32157382,5.21216602e-06,0.000258352407,"p-value & Log2FC",FALSE
"OAS3",1.34459537,8.89784956,5.23388964e-06,0.000258352407,"p-value & Log2FC",FALSE
"C8orf44",-1.45080949,-8.89643411,5.24123749e-06,0.000258352407,"p-value & Log2FC",FALSE
"ARL6IP6",0.797663955,8.89285088,5.25988899e-06,0.000258362056,"p-value",FALSE
"RASSF3",-1.15735047,-8.88762089,5.28724231e-06,0.00025879757,"p-value & Log2FC",FALSE
"ATXN7",-1.17730355,-8.86307765,5.41769463e-06,0.000262729768,"p-value & Log2FC",FALSE
"CTD-3193K9.4",-3.02446372,-8.85660043,5.45270492e-06,0.000262729768,"p-value & Log2FC",FALSE
"RP11-108M9.6",-1.37077004,-8.85459402,5.46359988e-06,0.000262729768,"p-value & Log2FC",FALSE
"NOL9",-0.89541662,-8.85329451,5.47066897e-06,0.000262729768,"p-value",FALSE
"AFF3",-5.83452179,-8.85309835,5.47173689e-06,0.000262729768,"p-value & Log2FC",FALSE
"TUBB3-1",3.54721953,8.8515483,5.48018374e-06,0.000262729768,"p-value & Log2FC",FALSE
"NAGK",0.785121277,8.83893403,5.54945494e-06,0.000265142729,"p-value",FALSE
"FAR2",1.05049813,8.83351867,5.57948583e-06,0.000265265966,"p-value & Log2FC",FALSE
"AKIRIN1",-0.724657717,-8.8302867,5.59749313e-06,0.000265265966,"p-value",FALSE
"BPGM",1.05265025,8.82697832,5.61599182e-06,0.000265265966,"p-value & Log2FC",FALSE
"SNX18",-1.79769041,-8.82486737,5.62782998e-06,0.000265265966,"p-value & Log2FC",FALSE
"RNASEH2B",-0.797675822,-8.82124522,5.64820633e-06,0.000265333022,"p-value",FALSE
"TXNDC15",0.743825975,8.81665914,5.67412082e-06,0.000265658921,"p-value",FALSE
"HLA-DRB5",2.01401934,9.84038926,5.77446646e-06,0.000269455853,"p-value & Log2FC",FALSE
"CEP78",-0.950423501,-8.78440609,5.86007623e-06,0.000272542216,"p-value",FALSE
"SLC41A2",4.36033498,8.77725513,5.90219896e-06,0.000273592328,"p-value & Log2FC",FALSE
"CD151",1.80579321,9.23054713,6.06419804e-06,0.000280173955,"p-value & Log2FC",FALSE
"KIF20B",0.920635029,8.73950176,6.13012779e-06,0.00028097825,"p-value",FALSE
"MBOAT7",1.60389764,8.74880005,6.15151244e-06,0.00028097825,"p-value & Log2FC",FALSE
"TECPR1",-1.05469233,-8.73338505,6.16795147e-06,0.00028097825,"p-value & Log2FC",FALSE
"GPR132",1.01144833,8.73181982,6.17767114e-06,0.00028097825,"p-value & Log2FC",FALSE
"ZNRF1",2.43596921,9.06114101,6.18196308e-06,0.00028097825,"p-value & Log2FC",FALSE
"MT2A",1.31953128,8.83447635,6.23164743e-06,0.000281691083,"p-value & Log2FC",FALSE
"TRIM73",-1.03183015,-8.72218165,6.23789098e-06,0.000281691083,"p-value & Log2FC",FALSE
"SMIM12",0.803418088,8.71764953,6.26642892e-06,0.000282069899,"p-value",FALSE
"CBFB",1.26553251,8.70980357,6.31617056e-06,0.000283397665,"p-value & Log2FC",FALSE
"LITAF",-0.780619738,-8.70140209,6.36991179e-06,0.000283526463,"p-value",FALSE
"TCTN1",-1.51812682,-8.69934481,6.38314729e-06,0.000283526463,"p-value & Log2FC",FALSE
"RP11-589C21.5",-1.99190457,-8.69743379,6.3954687e-06,0.000283526463,"p-value & Log2FC",FALSE
"NAGA",1.10457021,8.69672358,6.40005444e-06,0.000283526463,"p-value & Log2FC",FALSE
"TNS3",4.48861998,8.68907448,6.44967148e-06,0.000284823189,"p-value & Log2FC",FALSE
"PTPN4",-1.19828431,-8.68818085,6.53815629e-06,0.000287822798,"p-value & Log2FC",FALSE
"SPINT1",2.82260381,8.68210853,6.57832365e-06,0.000288683238,"p-value & Log2FC",FALSE
"KIAA0922",-1.10408764,-8.6476384,6.72584546e-06,0.000293310322,"p-value & Log2FC",FALSE
"HSPA1A",1.16042566,8.65372464,6.73948342e-06,0.000293310322,"p-value & Log2FC",FALSE
"HEATR6",0.995206831,8.64459689,6.7466193e-06,0.000293310322,"p-value",FALSE
"SYNGR3",2.6055832,8.63683228,6.79997024e-06,0.0002947145,"p-value & Log2FC",FALSE
"CELF2",-0.639686273,-8.61969612,6.91934817e-06,0.000298962824,"p-value",FALSE
"TMED9",0.686875647,8.61660271,6.94114063e-06,0.000298981624,"p-value",FALSE
"C16orf74",-3.01060339,-9.55201716,6.97297994e-06,0.000299139419,"p-value & Log2FC",FALSE
"HSD3B7",3.24212814,8.60989697,6.98863848e-06,0.000299139419,"p-value & Log2FC",FALSE
"RNF175",-4.30886951,-8.60705017,7.00890988e-06,0.000299139419,"p-value & Log2FC",FALSE
"TMPRSS6",4.83602457,8.59261304,7.11270471e-06,0.000302646667,"p-value & Log2FC",FALSE
"WIPI1",1.79355124,8.58762936,7.14892253e-06,0.000303265959,"p-value & Log2FC",FALSE
"IL2RG",0.653515334,8.58274461,7.18461657e-06,0.000303859358,"p-value",FALSE
"PRKCDBP",3.42723873,9.02525923,7.31635183e-06,0.000306905258,"p-value & Log2FC",FALSE
"YIF1A",0.737742453,8.56433635,7.32088561e-06,0.000306905258,"p-value",FALSE
"MAPKAPK5-AS1",-0.813299708,-8.56122481,7.34419614e-06,0.000306905258,"p-value",FALSE
"GPR55",-2.29241694,-8.75997266,7.34432898e-06,0.000306905258,"p-value & Log2FC",FALSE
"DUSP14",1.77948706,8.55269726,7.40849718e-06,0.000307846902,"p-value & Log2FC",FALSE
"ETHE1",0.869352708,8.55238755,7.41084406e-06,0.000307846902,"p-value",FALSE
"FSCN1",4.32494286,9.51964668,7.433609e-06,0.000307878971,"p-value & Log2FC",FALSE
"CD80",2.10151914,8.55435563,7.48893249e-06,0.000309255357,"p-value & Log2FC",FALSE
"APBA2",-4.10446479,-8.53794359,7.52119922e-06,0.000309674317,"p-value & Log2FC",FALSE
"PTGER2",-1.70196384,-8.75710338,7.70360602e-06,0.000316254489,"p-value & Log2FC",FALSE
"SESN3",-1.63956607,-9.04215405,7.73203024e-06,0.00031628291,"p-value & Log2FC",FALSE
"KLF2",-1.27709807,-8.67908338,7.7651582e-06,0.00031628291,"p-value & Log2FC",FALSE
"KCNN4",1.25991089,8.51377864,7.77207809e-06,0.00031628291,"p-value & Log2FC",FALSE
"LIMD2",-0.936689143,-8.50018531,7.8182323e-06,0.000317238939,"p-value",FALSE
"FASLG",4.30286663,8.50345957,7.85477533e-06,0.000317800577,"p-value & Log2FC",FALSE
"AKIP1",0.69237435,8.48743102,7.92143538e-06,0.000319573988,"p-value",FALSE
"TMED10",0.786960956,8.46789765,8.08238121e-06,0.000325130042,"p-value",FALSE
"CCR9",-6.77373056,-9.00371972,8.26209474e-06,0.000331407061,"p-value & Log2FC",FALSE
"FKBP1A",0.81725064,8.43225052,8.38535793e-06,0.000335390359,"p-value",FALSE
"CYP7B1",2.35200178,8.41505151,8.53594448e-06,0.000339699959,"p-value & Log2FC",FALSE
"ZG16B",2.59683737,8.41149218,8.56747482e-06,0.000339699959,"p-value & Log2FC",FALSE
"CCDC69",-0.731026606,-8.40801466,8.598403e-06,0.000339699959,"p-value",FALSE
"STK3",1.67316107,8.40723171,8.60538315e-06,0.000339699959,"p-value & Log2FC",FALSE
"NR4A1",3.28559579,8.48336695,8.61443569e-06,0.000339699959,"p-value & Log2FC",FALSE
"DTHD1",2.87087796,8.44770222,8.82043084e-06,0.000346846099,"p-value & Log2FC",FALSE
"LGALS1",2.09420147,9.48601729,8.8721916e-06,0.00034790423,"p-value & Log2FC",FALSE
"RNF214",-1.98355141,-9.44055133,9.0259224e-06,0.00035294382,"p-value & Log2FC",FALSE
"TMEM53",1.54657224,8.3465244,9.16586079e-06,0.000357417508,"p-value & Log2FC",FALSE
"LAP3",0.94026543,8.34212932,9.20795484e-06,0.000358061555,"p-value",FALSE
"SCCPDH",1.83060406,8.38009454,9.25902788e-06,0.000358405996,"p-value & Log2FC",FALSE
"RP11-730K11.1",-1.98945957,-8.33589592,9.26801705e-06,0.000358405996,"p-value & Log2FC",FALSE
"G3BP2",0.823595107,8.32095094,9.41376517e-06,0.000362864599,"p-value",FALSE
"FAM177A1",0.83028961,8.318779,9.43515351e-06,0.000362864599,"p-value",FALSE
"RPL7",-0.799989306,-8.31373066,9.48507225e-06,0.000363214751,"p-value",FALSE
"PPP2R5C",-1.23892446,-8.49573464,9.50255944e-06,0.000363214751,"p-value & Log2FC",FALSE
"CNST",-0.764251844,-8.30779772,9.54410614e-06,0.000363214751,"p-value",FALSE
"S100A6",1.21992945,8.31388131,9.55797792e-06,0.000363214751,"p-value & Log2FC",FALSE
"FAIM3",-1.03794948,-8.30480989,9.57398695e-06,0.000363214751,"p-value & Log2FC",FALSE
"NTRK2",3.83029683,8.29484048,9.6744289e-06,0.000366033325,"p-value & Log2FC",FALSE
"CTLA4",1.17688496,8.32756357,9.75200484e-06,0.000367434796,"p-value & Log2FC",FALSE
"CSF1",2.53382695,9.1239691,9.76396486e-06,0.000367434796,"p-value & Log2FC",FALSE
"AC069363.1",5.71582515,8.2744999,9.88293846e-06,0.000370914894,"p-value & Log2FC",FALSE
"RP11-430B1.2",-1.23398293,-8.26281305,1.00049494e-05,0.000373269899,"p-value & Log2FC",FALSE
"MYL6",0.973605998,8.26166532,1.00170198e-05,0.000373269899,"p-value",FALSE
"IL1R1",2.8168661,8.7550641,1.00835032e-05,0.000373269899,"p-value & Log2FC",FALSE
"EML2",0.843723781,8.25483129,1.00892213e-05,0.000373269899,"p-value",FALSE
"FAM102A",-0.943129004,-8.25449362,1.00928035e-05,0.000373269899,"p-value",FALSE
"TSPAN13",5.12417886,8.46400929,1.01056712e-05,0.000373269899,"p-value & Log2FC",FALSE
"RSAD2",2.08354618,8.28135807,1.01961561e-05,0.000375621024,"p-value & Log2FC",FALSE
"C11orf21",-1.27138911,-8.20959547,1.05816659e-05,0.000388799845,"p-value & Log2FC",FALSE
"PPAPDC1B",0.856622968,8.20460822,1.06375397e-05,0.000389326098,"p-value",FALSE
"MIF",0.842709153,8.20224071,1.0664176e-05,0.000389326098,"p-value",FALSE
"ODF3B",1.09682663,8.20088855,1.06794215e-05,0.000389326098,"p-value & Log2FC",FALSE
"HIVEP1",1.3354514,8.20044094,1.07421863e-05,0.00038997963,"p-value & Log2FC",FALSE
"LDLRAP1",-1.62594816,-8.86922948,1.07530636e-05,0.00038997963,"p-value & Log2FC",FALSE
"GGT1",0.86349769,8.19113055,1.07901478e-05,0.000390313382,"p-value",FALSE
"RASGEF1A",3.69542988,8.1778805,1.09425048e-05,0.000393786568,"p-value & Log2FC",FALSE
"KRT86",5.14958158,8.1773373,1.09488006e-05,0.000393786568,"p-value & Log2FC",FALSE
"TMEM173",0.65601027,8.17546319,1.09705523e-05,0.000393786568,"p-value",FALSE
"ILF3-AS1",-1.09607688,-8.17142419,1.10175906e-05,0.000394463557,"p-value & Log2FC",FALSE
"PLAC8",-5.29253011,-9.34618752,1.14324355e-05,0.000406104369,"p-value & Log2FC",FALSE
"NR5A2",3.97053073,8.13637941,1.14350643e-05,0.000406104369,"p-value & Log2FC",FALSE
"H3F3B",0.705165776,8.13501591,1.14516513e-05,0.000406104369,"p-value",FALSE
"LAPTM4A",0.784863464,8.13443196,1.14587632e-05,0.000406104369,"p-value",FALSE
"CEACAM21",-0.80629162,-8.12392218,1.15875849e-05,0.000407489559,"p-value",FALSE
"IFNGR1",0.869483072,8.12193314,1.16121422e-05,0.000407489559,"p-value",FALSE
"BZRAP1-AS1",-0.894074493,-8.12190495,1.16124907e-05,0.000407489559,"p-value",FALSE
"XYLB",-1.60805096,-8.12176004,1.1614282e-05,0.000407489559,"p-value & Log2FC",FALSE
"POLR2J3",-0.656991972,-8.10046745,1.18807985e-05,0.000415798246,"p-value",FALSE
"SRI",0.596867902,8.09583044,1.19397176e-05,0.000416818223,"p-value",FALSE
"ADSS",0.758188168,8.08389822,1.20927988e-05,0.000419763689,"p-value",FALSE
"TIMP1",3.10012792,10.2494627,1.2112909e-05,0.000419763689,"p-value & Log2FC",FALSE
"RXRA",1.34001575,8.08225507,1.2114046e-05,0.000419763689,"p-value & Log2FC",FALSE
"MYO1E",2.46694566,8.06711659,1.23769017e-05,0.000427591638,"p-value & Log2FC",FALSE
"RP11-51J9.5",-1.19719872,-8.05845313,1.24264233e-05,0.000427591638,"p-value & Log2FC",FALSE
"CELA1",-3.51418366,-8.05806511,1.24315877e-05,0.000427591638,"p-value & Log2FC",FALSE
"ERCC1",0.676627415,8.05160825,1.25178708e-05,0.000428583776,"p-value",FALSE
"AP1S1",0.739535168,8.04792576,1.25673715e-05,0.000428583776,"p-value",FALSE
"IFI44",1.03412947,8.04765601,1.25710059e-05,0.000428583776,"p-value & Log2FC",FALSE
"TXN",1.5378283,8.55620445,1.25828939e-05,0.000428583776,"p-value & Log2FC",FALSE
"RGMB",-2.49126071,-8.04403,1.26199711e-05,0.000428803339,"p-value & Log2FC",FALSE
"CD276",5.2127905,8.03295796,1.27707754e-05,0.000432876719,"p-value & Log2FC",FALSE
"RP11-666A1.5",-2.35121486,-8.0268992,1.28541267e-05,0.000434649565,"p-value & Log2FC",FALSE
"VAMP4",0.622753782,8.02003913,1.29492172e-05,0.000436809858,"p-value",FALSE
"ADAM19",1.13593482,8.01622445,1.3002425e-05,0.000437550354,"p-value & Log2FC",FALSE
"PBDC1",0.696689772,8.01118985,1.3073013e-05,0.000438870764,"p-value",FALSE
"S1PR1",-1.30845113,-8.34544509,1.31485037e-05,0.00044034905,"p-value & Log2FC",FALSE
"LYST",0.879113477,7.98760047,1.34093501e-05,0.000447253535,"p-value",FALSE
"CRMP1",4.66244585,7.9869633,1.34185645e-05,0.000447253535,"p-value & Log2FC",FALSE
"IDS",0.855200038,7.9834632,1.3469304e-05,0.000447878354,"p-value",FALSE
"PCMTD2",-0.980134196,-7.98055054,1.35116868e-05,0.000448222993,"p-value",FALSE
"CDC25B",-1.54056166,-8.64976392,1.3563001e-05,0.000448861585,"p-value & Log2FC",FALSE
"RPS3A",-1.02559927,-7.97230027,1.36325277e-05,0.000449177411,"p-value & Log2FC",FALSE
"EIF2S3",-0.723100567,-7.97201569,1.36367169e-05,0.000449177411,"p-value",FALSE
"C22orf46",-0.920435847,-7.96594094,1.37264747e-05,0.000451072581,"p-value",FALSE
"MTHFD2",1.18087586,8.04754871,1.39503836e-05,0.000456529858,"p-value & Log2FC",FALSE
"ZNF674-AS1",-1.68650782,-7.9504843,1.39577669e-05,0.000456529858,"p-value & Log2FC",FALSE
"SLAMF1",0.796821031,7.92191715,1.4396483e-05,0.000469490014,"p-value",FALSE
"APOBEC3F",0.911304699,7.91645557,1.44820544e-05,0.000469490014,"p-value",FALSE
"PTPN22",0.649503564,7.91631201,1.44843113e-05,0.000469490014,"p-value",FALSE
"RP11-611E13.2",-0.82599909,-7.9140109,1.45205365e-05,0.000469490014,"p-value",FALSE
"FAM129A",1.02494446,7.91393755,1.45216927e-05,0.000469490014,"p-value & Log2FC",FALSE
"ORAI2",1.14190831,7.90927564,1.45953917e-05,0.000470785456,"p-value & Log2FC",FALSE
"TJP3",-1.69169001,-7.90357998,1.46859856e-05,0.000472618648,"p-value & Log2FC",FALSE
"ACOT4",1.5116082,7.90052882,1.4734768e-05,0.00047297818,"p-value & Log2FC",FALSE
"PTHLH",2.30358438,7.89668209,1.47965218e-05,0.00047297818,"p-value & Log2FC",FALSE
"SLC35E4",1.63793953,7.89655808,1.47985172e-05,0.00047297818,"p-value & Log2FC",FALSE
"CEACAM4",-4.09505119,-8.30286477,1.49409228e-05,0.000474265568,"p-value & Log2FC",FALSE
"MAP7D3",0.893941247,7.88710567,1.49514834e-05,0.000474265568,"p-value",FALSE
"PAM",1.0128088,7.8860969,1.49679092e-05,0.000474265568,"p-value & Log2FC",FALSE
"LIME1",-0.7290701,-7.88570407,1.49743111e-05,0.000474265568,"p-value",FALSE
"NOTCH1",1.09143712,7.87540304,1.51432514e-05,0.000477951432,"p-value & Log2FC",FALSE
"DIXDC1",2.73944032,7.8744509,1.5158971e-05,0.000477951432,"p-value & Log2FC",FALSE
"CD79B",0.782575954,7.87129841,1.52111453e-05,0.000478518704,"p-value",FALSE
"PCK2",0.692273329,7.86689427,1.52843617e-05,0.000479445268,"p-value",FALSE
"CERS5",0.731070605,7.8642286,1.53288631e-05,0.000479445268,"p-value",FALSE
"ZBTB43",0.824911107,7.86336297,1.53433445e-05,0.000479445268,"p-value",FALSE
"NAB2",1.54234158,7.85342998,1.55105856e-05,0.000483591733,"p-value & Log2FC",FALSE
"RP11-357H14.17",2.82285242,7.84835309,1.55968297e-05,0.000485200041,"p-value & Log2FC",FALSE
"TMEM14A",0.776212905,7.84239079,1.5698781e-05,0.000487288769,"p-value",FALSE
"PTP4A3",1.29692349,7.83743066,1.57841484e-05,0.000488854631,"p-value & Log2FC",FALSE
"TNF",2.78554814,8.96441554,1.5850025e-05,0.000489811258,"p-value & Log2FC",FALSE
"EIF3L",-0.70629743,-7.83100429,1.58955022e-05,0.00049013466,"p-value",FALSE
"UBL3",-1.05070498,-7.83052502,1.60197255e-05,0.000492879421,"p-value & Log2FC",FALSE
"GADD45A",0.929800964,7.81943975,1.60980468e-05,0.000493300949,"p-value",FALSE
"LRMP",-1.45323087,-7.81910776,1.61039027e-05,0.000493300949,"p-value & Log2FC",FALSE
"DPF3",2.06958911,7.81232573,1.62240369e-05,0.000495895834,"p-value & Log2FC",FALSE
"TNFSF13B",-1.0609093,-7.80922177,1.62793439e-05,0.00049592377,"p-value & Log2FC",FALSE
"PSMD5-AS1",-0.773347548,-7.80783394,1.63041388e-05,0.00049592377,"p-value",FALSE
"RP11-442H21.2",2.00991335,7.80632034,1.63312278e-05,0.00049592377,"p-value & Log2FC",FALSE
"TTC38",1.21393669,7.80020265,1.64412154e-05,0.000497959221,"p-value & Log2FC",FALSE
"ELOVL1",0.627859262,7.79864219,1.64693992e-05,0.000497959221,"p-value",FALSE
"RP11-61O1.2",-4.10973338,-7.79184421,1.65927929e-05,0.000500608853,"p-value & Log2FC",FALSE
"C19orf10",0.879417114,7.78560337,1.67069591e-05,0.000502969291,"p-value",FALSE
"DBP",-1.26263163,-7.77697402,1.68662286e-05,0.000505742386,"p-value & Log2FC",FALSE
"FBLN5",-2.74140701,-8.57713713,1.68713261e-05,0.000505742386,"p-value & Log2FC",FALSE
"MAP3K4",-0.780017222,-7.77471882,1.69081237e-05,0.000505762443,"p-value",FALSE
"HM13",0.643577383,7.77031664,1.69902301e-05,0.000507134822,"p-value",FALSE
"AC009133.17",-1.55646945,-7.7683729,1.70266211e-05,0.000507139722,"p-value & Log2FC",FALSE
"TSTA3",0.616364383,7.75631594,1.72542561e-05,0.000512828727,"p-value",FALSE
"C15orf48",4.72074471,7.7457682,1.7456112e-05,0.000516114721,"p-value & Log2FC",FALSE
"TM2D2",0.668466863,7.74443946,1.7481722e-05,0.000516114721,"p-value",FALSE
"LINC01136",-2.1437415,-7.74258995,1.75174375e-05,0.000516114721,"p-value & Log2FC",FALSE
"SGK1",1.797084,7.74465699,1.76031133e-05,0.000516114721,"p-value & Log2FC",FALSE
"ATM",-0.940513599,-7.73752644,1.76156242e-05,0.000516114721,"p-value",FALSE
"SUMO3",0.621335726,7.73727861,1.76204452e-05,0.000516114721,"p-value",FALSE
"ERBB2IP",-0.572988435,-7.73554886,1.76541338e-05,0.000516114721,"p-value",FALSE
"NUAK2",-3.29350548,-8.20156641,1.76597579e-05,0.000516114721,"p-value & Log2FC",FALSE
"DUSP4",2.21417429,8.94924849,1.77323305e-05,0.00051623313,"p-value & Log2FC",FALSE
"MYL12B",0.636628057,7.73128061,1.77375624e-05,0.00051623313,"p-value",FALSE
"STAT3",0.841514963,7.72559938,1.78492751e-05,0.00051829781,"p-value",FALSE
"GLRX",0.766609795,7.7229446,1.79017394e-05,0.00051829781,"p-value",FALSE
"GNG4",3.70309035,7.72204398,1.79195757e-05,0.00051829781,"p-value & Log2FC",FALSE
"RP11-397A16.1",-1.55855071,-7.71879505,1.79840796e-05,0.00051909099,"p-value & Log2FC",FALSE
"SIDT1",-1.04504068,-7.7108718,1.81424477e-05,0.000520206752,"p-value & Log2FC",FALSE
"STIM1",0.709783661,7.70967254,1.81665502e-05,0.000520206752,"p-value",FALSE
"VIMP",0.622322653,7.70961906,1.81676258e-05,0.000520206752,"p-value",FALSE
"SELK",0.653544533,7.7094326,1.81713767e-05,0.000520206752,"p-value",FALSE
"PHPT1",0.714059838,7.70512193,1.82583242e-05,0.000520694934,"p-value",FALSE
"AC011893.3",2.71118914,7.70383899,1.82842886e-05,0.000520694934,"p-value & Log2FC",FALSE
"RBM8A",0.64280311,7.7030629,1.83000148e-05,0.000520694934,"p-value",FALSE
"AL592284.1",-1.44054034,-7.70040018,1.83540825e-05,0.00052107066,"p-value & Log2FC",FALSE
"ARG2",3.64321928,8.17775739,1.83876638e-05,0.00052107066,"p-value & Log2FC",FALSE
"DNM3",-2.05691844,-7.69540546,1.84559714e-05,0.000521829077,"p-value & Log2FC",FALSE
"RGS9",2.06304516,7.69379379,1.84889794e-05,0.000521829077,"p-value & Log2FC",FALSE
"BID",0.70632689,7.68953809,1.85764477e-05,0.000523242841,"p-value",FALSE
"SLC7A8",-4.46681947,-7.68320201,1.87075089e-05,0.000524017907,"p-value & Log2FC",FALSE
"SYTL3",1.54976691,8.14642256,1.87154332e-05,0.000524017907,"p-value & Log2FC",FALSE
"PGM2L1",1.93067628,8.71441191,1.87162621e-05,0.000524017907,"p-value & Log2FC",FALSE
