population,configuration,n_donors_flipped,donors_flipped,is_observed,tf,score,rank
Treg,4,2,JIA_patient_1|JIA_patient_2,FALSE,HSF1,3.6336782,35
Treg,4,2,JIA_patient_1|JIA_patient_2,FALSE,EPAS1,1.40403846,222
Treg,5,1,JIA_patient_3,FALSE,HIF1A,5.85518312,7
Treg,5,1,JIA_patient_3,FALSE,NFKB1,6.01125145,6
Treg,5,1,JIA_patient_3,FALSE,STAT3,3.71864263,32
Treg,5,1,JIA_patient_3,FALSE,CREB1,4.12206127,22
Treg,5,1,JIA_patient_3,FALSE,ATF3,4.26942882,18
Treg,5,1,JIA_patient_3,FALSE,REL,3.96861296,27
Treg,5,1,JIA_patient_3,FALSE,HSF1,5.089997,10
Treg,5,1,JIA_patient_3,FALSE,EPAS1,1.40269025,213
Treg,6,2,JIA_patient_1|JIA_patient_3,FALSE,HIF1A,4.10030535,10
Treg,6,2,JIA_patient_1|JIA_patient_3,FALSE,NFKB1,2.22665152,85
Treg,6,2,JIA_patient_1|JIA_patient_3,FALSE,STAT3,1.18711994,228
Treg,6,2,JIA_patient_1|JIA_patient_3,FALSE,CREB1,2.37729725,69
Treg,6,2,JIA_patient_1|JIA_patient_3,FALSE,ATF3,3.6720566,15
Treg,6,2,JIA_patient_1|JIA_patient_3,FALSE,REL,1.98322967,111
Treg,6,2,JIA_patient_1|JIA_patient_3,FALSE,HSF1,4.12233749,9
Treg,6,2,JIA_patient_1|JIA_patient_3,FALSE,EPAS1,-0.59316259,510
Treg,7,2,JIA_patient_2|JIA_patient_3,FALSE,HIF1A,3.24396682,36
Treg,7,2,JIA_patient_2|JIA_patient_3,FALSE,NFKB1,4.24806062,18
Treg,7,2,JIA_patient_2|JIA_patient_3,FALSE,STAT3,3.06539511,45
Treg,7,2,JIA_patient_2|JIA_patient_3,FALSE,CREB1,2.4104089,78
Treg,7,2,JIA_patient_2|JIA_patient_3,FALSE,ATF3,1.87859478,121
Treg,7,2,JIA_patient_2|JIA_patient_3,FALSE,REL,1.70361541,141
Treg,7,2,JIA_patient_2|JIA_patient_3,FALSE,HSF1,2.99303934,49
Treg,7,2,JIA_patient_2|JIA_patient_3,FALSE,EPAS1,1.00619785,247
Treg,8,3,JIA_patient_1|JIA_patient_2|JIA_patient_3,FALSE,HIF1A,0.127425777,357
Treg,8,3,JIA_patient_1|JIA_patient_2|JIA_patient_3,FALSE,NFKB1,-0.533846941,483
Treg,8,3,JIA_patient_1|JIA_patient_2|JIA_patient_3,FALSE,STAT3,-0.2732368,433
Treg,8,3,JIA_patient_1|JIA_patient_2|JIA_patient_3,FALSE,CREB1,-0.108700627,397
Treg,8,3,JIA_patient_1|JIA_patient_2|JIA_patient_3,FALSE,ATF3,-0.180907615,414
Treg,8,3,JIA_patient_1|JIA_patient_2|JIA_patient_3,FALSE,REL,-1.7690782,584
Treg,8,3,JIA_patient_1|JIA_patient_2|JIA_patient_3,FALSE,HSF1,0.665987792,261
Treg,8,3,JIA_patient_1|JIA_patient_2|JIA_patient_3,FALSE,EPAS1,-0.995475092,543
Treg,9,1,JIA_patient_4,FALSE,HIF1A,6.15200793,7
Treg,9,1,JIA_patient_4,FALSE,NFKB1,6.72562636,6
Treg,9,1,JIA_patient_4,FALSE,STAT3,4.21704588,24
Treg,9,1,JIA_patient_4,FALSE,CREB1,4.40430608,20
Treg,9,1,JIA_patient_4,FALSE,ATF3,4.42553814,19
Treg,9,1,JIA_patient_4,FALSE,REL,6.03086131,9
Treg,9,1,JIA_patient_4,FALSE,HSF1,4.86900656,16
Treg,9,1,JIA_patient_4,FALSE,EPAS1,2.58144236,84
Treg,10,2,JIA_patient_1|JIA_patient_4,FALSE,HIF1A,4.23177207,10
Treg,10,2,JIA_patient_1|JIA_patient_4,FALSE,NFKB1,2.83383253,42
Treg,10,2,JIA_patient_1|JIA_patient_4,FALSE,STAT3,1.63776344,138
Treg,10,2,JIA_patient_1|JIA_patient_4,FALSE,CREB1,2.6320044,51
Treg,10,2,JIA_patient_1|JIA_patient_4,FALSE,ATF3,3.72839535,17
Treg,10,2,JIA_patient_1|JIA_patient_4,FALSE,REL,4.27090225,9
Treg,10,2,JIA_patient_1|JIA_patient_4,FALSE,HSF1,3.27778135,27
Treg,10,2,JIA_patient_1|JIA_patient_4,FALSE,EPAS1,1.04797966,228
Treg,11,2,JIA_patient_2|JIA_patient_4,FALSE,HIF1A,4.07291272,18
Treg,11,2,JIA_patient_2|JIA_patient_4,FALSE,NFKB1,5.39892828,9
Treg,11,2,JIA_patient_2|JIA_patient_4,FALSE,STAT3,3.70241374,24
Treg,11,2,JIA_patient_2|JIA_patient_4,FALSE,CREB1,3.3975318,31
Treg,11,2,JIA_patient_2|JIA_patient_4,FALSE,ATF3,2.7343717,60
Treg,11,2,JIA_patient_2|JIA_patient_4,FALSE,REL,4.15957673,17
Treg,11,2,JIA_patient_2|JIA_patient_4,FALSE,HSF1,3.0225951,48
