"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","core_enrichment","population","n_nominal"
"WT_heat_up","WT_heat_up",119,0.621783978,2.59152412,1.6131971e-14,3.2263942e-14,"CDKN1A/IL1RN/SDC4/CYSTM1/CCL4/CD70/TIMP1/FAH/RGS16/FOSL2/OAS3/SPINT1/HSPA1A/CD80/FASLG/NR4A1/LTA/NAB2/C15orf48/P4HA2/CLU/CCL20/CSF2/SEMA4A/ANXA2/DENND3/TMEM205/CCL3/PLXNB2/AK4/EGR3/ATP2B4/UPP1/TP73/CAMK2N1/ATF3/IL1A/CD53/ITGA3/FAM83G/CCL22/EMILIN2/EGR1/SERPINE1/HSPH1/PLAUR/FAM110C/HBEGF/GPRC5A/EGR2/BATF3/FOSL1/NR4A3/ZBTB32/HK2/GFI1/SLC41A1/PLA2G4C/ADORA2A/CD40LG/MST1R/ADAM8/PAK1/GPR183/DAGLA","Treg",199
"WT_heat_down","WT_heat_down",56,0.264350635,0.967559724,0.511650503,0.511650503,"RHOB/HLA-DRB1/HLA-DRB5/ENTPD1/PDE4A/CEACAM1/RBM3/BMP1/FAM167A/SAMD9L","Treg",94
