"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","core_enrichment","population","n_nominal"
"WT_heat_up","WT_heat_up",131,0.619020524,2.68259085,5.52617079e-17,1.10523416e-16,"RGS16/CDKN1A/ATP2B4/SEMA4A/CYSTM1/SDC4/CD70/UPP1/EOMES/CCL3/FOSL2/CCL4/OAS3/FASLG/PLAUR/ITGA3/ANXA2/P4HA2/PLXNB2/CLU/EGR2/DENND3/C15orf48/CCL20/FAM83G/TNFSF14/TIMP1/GFI1/ATF3/EMILIN2/CAMK2N1/NR4A1/CD53/CSF2/FAH/BATF3/ADAM8/EGR3/SPP1/TNFSF9/SPINT1/HSPA1A/IL1RN/OLR1/EGR1/DAB2/AK4/SGMS2/RAB34/FAM110C/CD83/SERPINE1/C3/TP73/SPHK1/PAK1/FOSL1/CASZ1/HBEGF/OAF/SCN9A/CD80/KLRC1/PLK3/TMEM205/B3GNT5/IGF2BP2/HK2/PXDC1/DMWD/PLEK2","Tcon",202
"WT_heat_down","WT_heat_down",64,0.372749002,1.43220386,0.0353682836,0.0353682836,"HLA-DRB1/HLA-DRB5/PDE4A/SAMD9L/ITGAE/ENTPD1/RHOB/GALNT10/FAM167A/BMF/CIITA/CEACAM1","Tcon",96
