"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","core_enrichment","population","n_nominal"
"WT_heat_up","WT_heat_up",114,0.505790096,2.06142355,3.43965366e-07,6.87930731e-07,"CYSTM1/CDKN1A/ANXA2/RGS16/SEMA4A/OAS3/SDC4/ATP2B4/CLU/CCL3/ITGA3/FASLG/SPINT1/CD70/HSPA1A/FAM110C/FAM83G/CCL4/PLK3/C15orf48/UPP1/AK4/PLXNB2/SGMS2/TP73/EMILIN2/CASZ1/ILDR1/EGR1/ASB2/CSF2/FAH/ADORA2A/SPP1/SLC4A11/B3GNT5/ATF3/PAK1/OLR1/NAB2/DENND3/IL1RN/CD80/ZBTB32/ADAM8/EPN2/SERPINE1/P4HA2/EOMES","CD8",202
"WT_heat_down","WT_heat_down",60,0.309302247,1.13312177,0.255753155,0.255753155,"PDE4A/SAMD9L/CIITA/HLA-DRB5/HLA-DRB1/AHR/ENTPD1/RHOB/CEACAM1/ITGAE/C9orf169/BMF","CD8",96
