set_name,coarse_label,tissue,n_cells,n_donors,mean,median,sd,metric,evidence_tier
HSR_core,CD8,peripheral_blood,15817,6,0.09679071041706182,0.0977647058823529,0.028769106829686225,AUCell,secondary_percell
HSR_core,CD8,synovial_fluid,19010,7,0.08961796268217966,0.0890980392156863,0.028190197317485077,AUCell,secondary_percell
Interaction_fdrOnly_up,Treg,peripheral_blood,13603,7,0.06777249869232337,0.0580560035185457,0.0537058776664442,AUCell,secondary_percell
Interaction_fdrOnly_up,Treg,synovial_fluid,13572,6,0.11104107751125836,0.0950984704100083,0.07277553956252032,AUCell,secondary_percell
Interaction_fdrOnly_up,Tcon,peripheral_blood,18411,6,0.054837990604943286,0.046962810927039,0.04475159247290779,AUCell,secondary_percell
Interaction_fdrOnly_up,Tcon,synovial_fluid,19502,7,0.08452930192652744,0.0724722670185212,0.061491707290619445,AUCell,secondary_percell
Interaction_fdrOnly_up,CD8,peripheral_blood,15817,6,0.059156625776052296,0.0525338415677076,0.04284748580854405,AUCell,secondary_percell
Interaction_fdrOnly_up,CD8,synovial_fluid,19010,7,0.09534281128847712,0.0820993989151151,0.06564887443559869,AUCell,secondary_percell
Interaction_up,Treg,peripheral_blood,13603,7,0.07165626257614073,0.0524996702282021,0.08312085492924368,AUCell,secondary_percell
Interaction_up,Treg,synovial_fluid,13572,6,0.12453881030153836,0.0987996306555863,0.11482639343389915,AUCell,secondary_percell
Interaction_up,Tcon,peripheral_blood,18411,6,0.0499980974221729,0.0193905817174515,0.06671210219304605,AUCell,secondary_percell
Interaction_up,Tcon,synovial_fluid,19502,7,0.08623996854211755,0.06588840522358524,0.09494769424400945,AUCell,secondary_percell
Interaction_up,CD8,peripheral_blood,15817,6,0.047788760107827725,0.0192586729982852,0.0630906814314641,AUCell,secondary_percell
Interaction_up,CD8,synovial_fluid,19010,7,0.09779130264266386,0.07934309457855165,0.10164402611900339,AUCell,secondary_percell
KO_heat_up,Treg,peripheral_blood,13603,7,0.010842499740409068,0.010474190453968,0.0052158457720656,AUCell,secondary_percell
