population,contrast,pathway_name,n_paired_donors,mean_sf,mean_pb,mean_difference,t_statistic,pvalue,ci_low,ci_high,padj,direction
CD8,SF_vs_PB_CD8,TGFb,6,3.3894821,-4.51563451,7.9051166,11.1730636,1.00201223e-4,6.0863899,9.72384331,0.0010530512,up
CD8,SF_vs_PB_CD8,EGFR,6,3.11465965,-3.78115978,6.89581942,10.2698284,1.50435886e-4,5.16976642,8.62187243,0.0010530512,up
CD8,SF_vs_PB_CD8,WNT,6,-1.8515714,2.42925254,-4.28082394,-8.92955825,2.93426575e-4,-5.5131590599999996,-3.04848882,0.00136932402,down
CD8,SF_vs_PB_CD8,JAK-STAT,6,3.40918022,-6.45472492,9.86390514,6.42982339,0.00135165646,5.9204103,13.8074,0.0047307976,up
CD8,SF_vs_PB_CD8,Hypoxia,6,2.60163174,-3.7066325,6.30826424,4.51797453,0.00629458607,2.71906528,9.8974632,0.017624841,up
CD8,SF_vs_PB_CD8,PI3K,6,0.928618331,-1.54018137,2.4687997,3.54293569,0.0165109616,0.677558703,4.2600407,0.0369536746,up
CD8,SF_vs_PB_CD8,VEGF,6,1.24041782,-1.34359026,2.58400808,3.43791864,0.0184768373,0.65190760699999994,4.51610855,0.0369536746,up
CD8,SF_vs_PB_CD8,NFkB,6,1.48970308,-1.87063335,3.36033643,3.26268194,0.0223790919,0.712815169,6.00785769,0.0391634108,up
CD8,SF_vs_PB_CD8,Estrogen,6,-1.03935845,1.17877798,-2.21813643,-3.03661128,0.0288623465,-4.09585495,-0.340417917,0.0448969834,down
CD8,SF_vs_PB_CD8,p53,6,-0.977855562,1.94285618,-2.92071174,-1.72666959,0.144811737,-7.26892554,1.42750206,0.202736432,down
CD8,SF_vs_PB_CD8,TNFa,6,-0.446289647,0.63741171,-1.08370136,-1.49622283,0.194846534,-2.94555172,0.778149004,0.247986497,down
CD8,SF_vs_PB_CD8,MAPK,6,0.408670132,-0.319479849,0.728149981,0.801623403,0.459155918,-1.60682316,3.06312312,0.497989676,up
