pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
WP_HLAC_ALLOTYPES_INTERACTIONS_WITH_KIR_ON_DNK_CELLS,WP_HLAC_ALLOTYPES_INTERACTIONS_WITH_KIR_ON_DNK_CELLS,WikiPathways,Tcon,SF_vs_PB_Tcon,1.34293455,0.459280707,0.118670325,0.242178529,19,9,IFNG/TNF/SYK/CSF2/RAC1/KIR2DL3/ITPR1/TYROBP/HLA-C,up,FALSE
WP_DUAL_HIJACK_MODEL_OF_VIF_IN_HIV_INFECTION,WP_DUAL_HIJACK_MODEL_OF_VIF_IN_HIV_INFECTION,WikiPathways,Tcon,SF_vs_PB_Tcon,1.37909486,0.601272647,0.1196721,0.243605382,8,5,APOBEC3G/CBFB/RBX1/TCEB2/TCEB1,up,FALSE
WP_ATM_SIGNALING,WP_ATM_SIGNALING,WikiPathways,Tcon,SF_vs_PB_Tcon,1.29857632,0.377792208,0.119942015,0.243605382,37,17,CDKN1A/CDK2/IKBKG/CDK1/BID/RAD51/GADD45A/JUN/TP73/SMC1A/NBN/MDM2/CDC25A/H2AFX/TP53BP1/RIPK1/BRCA1,up,FALSE
WP_IL2_SIGNALING,WP_IL2_SIGNALING,WikiPathways,Tcon,SF_vs_PB_Tcon,1.27816271,0.361773676,0.127381968,0.257645933,42,13,IL2RB/SYK/GAB2/JAK3/AKT1/MAPK1/STAT3/IL2RG/JUN/MAP2K2/FOS/PTK2B/HRAS,up,FALSE
WP_TRANSSULFURATION_ONECARBON_METABOLISM_AND_RELATED_PATHWAYS,WP_TRANSSULFURATION_ONECARBON_METABOLISM_AND_RELATED_PATHWAYS,WikiPathways,Tcon,SF_vs_PB_Tcon,-1.2502568,-0.322483158,0.127460561,0.257645933,52,15,ALDH7A1/DHFRL1/CHDH/CTH/MAT2B/AHCY/GSR/GPX4/CEPT1/MTHFD2L/CSAD/PHGDH/CDO1/MAT2A/DNMT3A,down,FALSE
WP_EFFECT_OF_DASATINIB_ON_THE_BCRABL_SIGNALING_PATHWAY,WP_EFFECT_OF_DASATINIB_ON_THE_BCRABL_SIGNALING_PATHWAY,WikiPathways,Tcon,SF_vs_PB_Tcon,1.2784065,0.365819482,0.129422885,0.260992595,40,14,MAPK11/KRAS/SPAG1/NRAS/MEF2C/DOK1/GAB2/MAP3K2/AKT1/MAPK1/SRC/AKT3/INPP5D/HRAS,up,FALSE
WP_SULFATION_BIOTRANSFORMATION_REACTION,WP_SULFATION_BIOTRANSFORMATION_REACTION,WikiPathways,Tcon,SF_vs_PB_Tcon,-1.362992,-0.58012311,0.130092641,0.26172302,8,3,GSR/SULT1A1/SULT1B1,down,FALSE
WP_AMPLIFICATION_AND_EXPANSION_OF_ONCOGENIC_PATHWAYS_AS_METASTATIC_TRAITS,WP_AMPLIFICATION_AND_EXPANSION_OF_ONCOGENIC_PATHWAYS_AS_METASTATIC_TRAITS,WikiPathways,Tcon,SF_vs_PB_Tcon,1.34435132,0.520682018,0.133104833,0.267151445,12,6,CXCR4/NOTCH1/VEGFA/PIK3CG/EPAS1/SRC,up,FALSE
WP_DNA_REPLICATION,WP_DNA_REPLICATION,WikiPathways,Tcon,SF_vs_PB_Tcon,1.2698529,0.359421652,0.133852389,0.267430411,42,19,MCM6/RFC2/CDK2/GMNN/POLE2/MCM7/RPA3/UBC/CDC7/MCM2/POLD3/CDC6/CDC45/PCNA/MCM4/MCM10/MCM5/MCM3/ORC1,up,FALSE
WP_SYNTHESIS_OF_CERAMIDES_AND_1DEOXYCERAMIDES,WP_SYNTHESIS_OF_CERAMIDES_AND_1DEOXYCERAMIDES,WikiPathways,Tcon,SF_vs_PB_Tcon,1.33428429,0.485517768,0.133872332,0.267430411,15,8,CERS5/KDSR/SGMS2/SPHK1/CERS2/B3GNT5/CERK/CERS4,up,FALSE
