population,database,gene_set,n_unique_set_genes,n_matched,n_matched_via_alias,n_alias_flagged_for_review,n_alias_rejected_ambiguous,n_expression_filtered,n_below_detection,n_absent_from_reference,set_size_resolved,n_alias_collapsed,reference_vocabulary_available,alias_pairs_applied,alias_pairs_flagged,alias_pairs_rejected,set_size_scored
Treg,mouse_projection,Interaction_up,7,6,0,0,0,1,0,0,6,0,TRUE,->,->,->,6
Treg,mouse_projection,KO_heat_up,221,132,4,0,0,59,23,3,136,0,TRUE,CAVIN1->PTRF/CCDC184->C12orf68/DYNLT2B->TCTEX1D2/GPAT3->AGPAT9,->,->,136
Treg,mouse_projection,WT_heat_up,202,119,1,0,0,57,22,3,120,0,TRUE,DYNLT2B->TCTEX1D2,->,->,120
Treg,TCR_activation,TCR_activation,66,63,1,0,0,1,0,1,64,0,TRUE,FYB1->FYB,->,->,64
Treg,sting_axes,ifn_only_up,200,60,1,0,2,58,27,52,61,0,TRUE,PLAAT2->HRASLS2,->,ACOD1->CAD/TDO2->TPH2,61
Treg,sting_axes,sting_specific_up,21,12,1,1,0,5,0,2,13,0,TRUE,SELENOK->SELK,MIR4435-2HG->MIR4435-1HG,->,13
Treg,HSR_lens,HSR_core,56,43,1,0,0,4,4,4,44,0,TRUE,HIKESHI->C11orf73,->,->,44
Treg,HSR_lens,HSR_sensitivity,176,137,3,0,1,18,12,5,140,0,TRUE,HIKESHI->C11orf73/NUP42->NUPL2/NUP58->NUPL1,->,CRNN->DRC1,140
Treg,project_frozen,HALLMARK_HYPOXIA,200,139,4,0,0,35,18,4,143,0,TRUE,CAVIN1->PTRF/CAVIN3->PRKCDBP/ERO1A->ERO1L/NOCT->CCRN4L,->,->,143
Treg,project_frozen,HALLMARK_IL2_STAT5_SIGNALING,199,167,4,0,0,25,3,0,171,0,TRUE,EEF1AKMT1->N6AMT2/ETFBKMT->METTL20/HYCC2->FAM126B/PLPP1->PPAP2A,->,->,171
Treg,project_frozen,HALLMARK_INFLAMMATORY_RESPONSE,200,141,2,0,0,39,18,0,143,0,TRUE,ADGRE1->EMR1/SELENOS->VIMP,->,->,143
Treg,project_frozen,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,91,2,0,0,4,0,0,93,0,TRUE,TENT5A->FAM46A/WARS1->WARS,->,->,93
Treg,project_frozen,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,175,1,0,0,16,7,1,176,0,TRUE,RIGI->DDX58,->,->,176
Treg,project_frozen,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,103,7,0,0,1,2,0,110,0,TRUE,ERO1A->ERO1L/H2AX->H2AFX/IARS1->IARS/MTREX->SKIV2L2/SKIC3->TTC37/SRPRA->SRPR/TARS1->TARS,->,->,110
Treg,project_frozen,HSR_core,56,43,1,0,0,4,4,4,44,0,TRUE,HIKESHI->C11orf73,->,->,44
Treg,Hallmark,HALLMARK_ADIPOGENESIS,200,157,6,0,1,23,12,1,163,0,TRUE,ATP5PO->ATP5O/CAVIN1->PTRF/GPAT4->AGPAT6/MIGA2->FAM73B/SLC66A3->PQLC3/SQOR->SQRDL,->,LAMA4->LAMA3,163
Treg,Hallmark,HALLMARK_ALLOGRAFT_REJECTION,200,167,5,0,1,18,9,0,172,0,TRUE,AARS1->AARS/DARS1->DARS/FYB1->FYB/RARS1->RARS/WARS1->WARS,->,MBL2->MBP,172
Treg,Hallmark,HALLMARK_ANDROGEN_RESPONSE,101,80,2,0,1,13,4,1,82,0,TRUE,H1-0->H1F0/PLPP1->PPAP2A,->,TARP->CD3G,82
Treg,Hallmark,HALLMARK_APICAL_JUNCTION,200,118,4,0,1,54,19,4,122,0,TRUE,FYB1->FYB/MAP3K20->MLTK/NECTIN1->PVRL1/PALS1->MPP5,->,CNTN1->F3,122
Treg,Hallmark,HALLMARK_APICAL_SURFACE,44,28,1,0,0,9,6,0,29,0,TRUE,CRYBG1->AIM1,->,->,29
Treg,Hallmark,HALLMARK_APOPTOSIS,161,136,1,0,0,16,7,1,137,0,TRUE,H1-0->H1F0,->,->,137
Treg,Hallmark,HALLMARK_BILE_ACID_METABOLISM,112,76,1,0,2,19,14,0,77,0,TRUE,SLC67A1->SLC22A18,->,GC->DBP/TTR->TTN,77
Treg,Hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,63,1,0,0,5,4,1,64,0,TRUE,NIBAN1->FAM129A,->,->,64
Treg,Hallmark,HALLMARK_COAGULATION,138,66,0,0,2,44,25,1,66,0,TRUE,->,->,MBL2->MBP/MMP1->CLGN,66
Treg,Hallmark,HALLMARK_COMPLEMENT,200,146,1,0,1,35,17,0,147,0,TRUE,RBSN->ZFYVE20,->,MMP12->MME,147
Treg,Hallmark,HALLMARK_DNA_REPAIR,150,141,3,0,0,6,0,0,144,0,TRUE,ELOA->TCEB3/GSDME->DFNA5/POLR1H->ZNRD1,->,->,144
Treg,Hallmark,HALLMARK_E2F_TARGETS,200,195,5,0,0,0,0,0,200,0,TRUE,CNOT9->RQCD1/H2AX->H2AFX/H2AZ1->H2AFZ/JPT1->HN1/MRE11->MRE11A,->,->,200
Treg,Hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,90,1,0,1,68,37,3,91,0,TRUE,P3H1->LEPRE1,->,MMP1->CLGN,91
Treg,Hallmark,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,123,6,0,0,49,20,2,129,0,TRUE,EEIG1->FAM102A/FCMR->FAIM3/MINDY1->FAM63A/NHERF1->SLC9A3R1/PLAAT3->PLA2G16/RETREG1->FAM134B,->,->,129
Treg,Hallmark,HALLMARK_ESTROGEN_RESPONSE_LATE,200,123,4,0,0,43,28,2,127,0,TRUE,EEIG1->FAM102A/GFUS->TSTA3/NHERF1->SLC9A3R1/PLAAT3->PLA2G16,->,->,127
Treg,Hallmark,HALLMARK_FATTY_ACID_METABOLISM,158,123,3,0,2,19,10,1,126,0,TRUE,H2AZ1->H2AFZ/KMT5A->SETD8/MIX23->CCDC58,->,CYP1A1->AHRR/TDO2->TPH2,126
Treg,Hallmark,HALLMARK_G2M_CHECKPOINT,200,182,10,0,0,3,2,3,192,0,TRUE,H2AX->H2AFX/H2AZ1->H2AFZ/H2AZ2->H2AFV/H2BC12->HIST1H2BK/JPT1->HN1/KMT5A->SETD8/KNL1->CASC5/MAP3K20->MLTK/NSD2->WHSC1/PRP4K->PRPF4B,->,->,192
Treg,Hallmark,HALLMARK_GLYCOLYSIS,200,145,3,0,1,37,14,0,148,0,TRUE,ERO1A->ERO1L/GFUS->TSTA3/RARS1->RARS,->,ARTN->NBN,148
Treg,Hallmark,HALLMARK_HEDGEHOG_SIGNALING,36,19,1,0,1,13,2,0,20,0,TRUE,ADGRG1->GPR56,->,SLIT1->SLIT3,20
Treg,Hallmark,HALLMARK_HEME_METABOLISM,200,146,6,0,0,28,18,2,152,0,TRUE,H1-0->H1F0/H4C3->HIST1H4C/MARCHF2->MARCH2/MARCHF8->MARCH8/SLC66A2->PQLC1/TENT5C->FAM46C,->,->,152
Treg,Hallmark,HALLMARK_HYPOXIA,200,139,4,0,0,35,18,4,143,0,TRUE,CAVIN1->PTRF/CAVIN3->PRKCDBP/ERO1A->ERO1L/NOCT->CCRN4L,->,->,143
Treg,Hallmark,HALLMARK_IL2_STAT5_SIGNALING,199,167,4,0,0,25,3,0,171,0,TRUE,EEF1AKMT1->N6AMT2/ETFBKMT->METTL20/HYCC2->FAM126B/PLPP1->PPAP2A,->,->,171
Treg,Hallmark,HALLMARK_INFLAMMATORY_RESPONSE,200,141,2,0,0,39,18,0,143,0,TRUE,ADGRE1->EMR1/SELENOS->VIMP,->,->,143
Treg,Hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,91,2,0,0,4,0,0,93,0,TRUE,TENT5A->FAM46A/WARS1->WARS,->,->,93
Treg,Hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,178,3,0,0,19,0,0,181,0,TRUE,MARCHF1->MARCH1/RIGI->DDX58/WARS1->WARS,->,->,181
Treg,Hallmark,HALLMARK_KRAS_SIGNALING_DN,200,71,5,0,3,57,63,1,76,0,TRUE,COQ8A->ADCK3/MACROH2A2->H2AFY2/PRKN->PARK2/TENT5C->FAM46C/VPS50->CCDC132,->,AKR1B10->ARL1/SLC38A3->NAT1/TNNI3->TNNC1,76
Treg,Hallmark,HALLMARK_KRAS_SIGNALING_UP,200,123,3,0,1,44,25,4,126,0,TRUE,ERO1A->ERO1L/H2BC3->HIST1H2BB/PRELID3B->SLMO2,->,SLPI->MPI,126
Treg,Hallmark,HALLMARK_MITOTIC_SPINDLE,199,180,2,0,0,14,2,1,182,0,TRUE,CEP131->AZI1/CPAP->CENPJ,->,->,182
Treg,Hallmark,HALLMARK_MTORC1_SIGNALING,200,188,5,0,0,5,1,1,193,0,TRUE,ATP5MC1->ATP5G1/ERO1A->ERO1L/NHERF1->SLC9A3R1/NIBAN1->FAM129A/WARS1->WARS,->,->,193
Treg,Hallmark,HALLMARK_MYC_TARGETS_V1,200,192,6,0,0,1,0,1,198,0,TRUE,H2AZ1->H2AFZ/IARS1->IARS/KARS1->KARS/PHB1->PHB/RACK1->GNB2L1/TOMM70->TOMM70A,->,->,198
Treg,Hallmark,HALLMARK_MYC_TARGETS_V2,58,57,1,0,0,0,0,0,58,0,TRUE,PHB1->PHB,->,->,58
Treg,Hallmark,HALLMARK_MYOGENESIS,200,106,1,0,3,56,33,1,107,0,TRUE,MYL11->MYLPF,->,CSRP3->LMO4/MYH2->MYPOP/MYL1->MLC1,107
Treg,Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,179,16,0,0,5,0,0,195,0,TRUE,ATP5F1A->ATP5A1/ATP5F1B->ATP5B/ATP5F1C->ATP5C1/ATP5F1D->ATP5D/ATP5F1E->ATP5E/ATP5MC1->ATP5G1/ATP5MC2->ATP5G2/ATP5MC3->ATP5G3/ATP5ME->ATP5I/ATP5MF->ATP5J2/ATP5MG->ATP5L/ATP5PB->ATP5F1/ATP5PD->ATP5H/ATP5PF->ATP5J/ATP5PO->ATP5O/TOMM70->TOMM70A,->,->,195
Treg,Hallmark,HALLMARK_P53_PATHWAY,200,168,8,0,0,14,9,1,176,0,TRUE,COQ8A->ADCK3/ELP1->IKBKAP/H1-2->HIST1H1C/H2AC25->HIST3H2A/H2AJ->H2AFJ/IRAG2->LRMP/PIDD1->PIDD/RACK1->GNB2L1,->,->,176
Treg,Hallmark,HALLMARK_PANCREAS_BETA_CELLS,40,13,0,0,1,8,18,0,13,0,TRUE,->,->,CHGA->CGA,13
Treg,Hallmark,HALLMARK_PEROXISOME,104,84,0,0,2,10,8,0,84,0,TRUE,->,->,CRABP1->RBP5/TTR->TTN,84
Treg,Hallmark,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,94,1,0,0,4,6,0,95,0,TRUE,GRK2->ADRBK1,->,->,95
Treg,Hallmark,HALLMARK_PROTEIN_SECRETION,96,88,1,0,0,4,2,1,89,0,TRUE,DOP1A->DOPEY1,->,->,89
Treg,Hallmark,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,45,2,0,0,2,0,0,47,0,TRUE,PTPA->PPP2R4/SELENOS->VIMP,->,->,47
Treg,Hallmark,HALLMARK_SPERMATOGENESIS,135,73,0,0,2,32,25,3,73,0,TRUE,->,->,ODF1->ODF2/TNNI3->TNNC1,73
Treg,Hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,175,1,0,0,16,7,1,176,0,TRUE,RIGI->DDX58,->,->,176
Treg,Hallmark,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,103,7,0,0,1,2,0,110,0,TRUE,ERO1A->ERO1L/H2AX->H2AFX/IARS1->IARS/MTREX->SKIV2L2/SKIC3->TTC37/SRPRA->SRPR/TARS1->TARS,->,->,110
Treg,Hallmark,HALLMARK_UV_RESPONSE_DN,144,90,3,0,0,38,10,3,93,0,TRUE,DMAC2L->ATP5S/SLC67A1->SLC22A18/TOGARAM1->FAM179B,->,->,93
Treg,Hallmark,HALLMARK_UV_RESPONSE_UP,158,117,4,0,1,27,9,0,121,0,TRUE,H2AX->H2AFX/NUP58->NUPL1/SELENOW->SEPW1/TARS1->TARS,->,CYP1A1->AHRR,121
Treg,Hallmark,HALLMARK_XENOBIOTIC_METABOLISM,200,126,3,0,3,43,24,1,129,0,TRUE,KARS1->KARS/MARCHF6->MARCH6/TKFC->DAK,->,CYP1A1->AHRR/MBL2->MBP/TDO2->TPH2,129
Treg,MitoPathways,MITOPATHWAYS_Metabolism,461,380,17,0,3,33,24,4,397,0,TRUE,ANTKMT->FAM173A/COQ8A->ADCK3/COQ8B->ADCK4/DGLUCY->C14orf159/ETFBKMT->METTL20/ETFRF1->LYRM5/FDX2->FDX1L/KYAT3->CCBL2/MMUT->MUT/NAXD->CARKD/NAXE->APOA1BP/NOCT->CCRN4L/PLPBP->PROSC/PRELID3B->SLMO2/PRXL2A->FAM213A/SELENOO->SELO/SQOR->SQRDL,->,ACOD1->CAD/AKR1B10->ARL1/SLC25A21->ODC1,397
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Amino_acid_metabolism,90,72,2,0,1,10,5,0,74,0,TRUE,DGLUCY->C14orf159/KYAT3->CCBL2,->,SLC25A21->ODC1,74
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism,73,61,1,0,1,6,3,1,62,0,TRUE,MMUT->MUT,->,ACOD1->CAD,62
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Itaconate_metabolism,6,5,0,0,1,0,0,0,5,0,TRUE,->,->,ACOD1->CAD,5
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Detoxification,51,37,2,0,1,8,2,1,39,0,TRUE,PRXL2A->FAM213A/SELENOO->SELO,->,AKR1B10->ARL1,39
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Detoxification.ROS_and_glutathione_metabolism,27,23,1,0,0,3,0,0,24,0,TRUE,PRXL2A->FAM213A,->,->,24
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Detoxification.Selenoproteins,5,4,1,0,0,0,0,0,5,0,TRUE,SELENOO->SELO,->,->,5
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Detoxification.Xenobiotic_metabolism,23,13,0,0,1,6,2,1,13,0,TRUE,->,->,AKR1B10->ARL1,13
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Electron_carriers,15,10,3,0,0,1,1,0,13,0,TRUE,ETFBKMT->METTL20/ETFRF1->LYRM5/SQOR->SQRDL,->,->,13
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Electron_carriers.Q-linked_reactions_other,11,6,3,0,0,1,1,0,9,0,TRUE,ETFBKMT->METTL20/ETFRF1->LYRM5/SQOR->SQRDL,->,->,9
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Lipid_metabolism,123,102,2,0,0,7,10,2,104,0,TRUE,MMUT->MUT/PRELID3B->SLMO2,->,->,104
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Lipid_metabolism.Cardiolipin_synthesis,16,14,0,0,0,1,0,1,14,0,TRUE,->,->,->,14
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Lipid_metabolism.Fatty_acid_oxidation,44,36,1,0,0,2,5,0,37,0,TRUE,MMUT->MUT,->,->,37
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Lipid_metabolism.Phospholipid_metabolism,23,21,1,0,0,1,0,0,22,0,TRUE,PRELID3B->SLMO2,->,->,22
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Metals_and_cofactors,122,102,7,0,0,7,5,1,109,0,TRUE,COQ8A->ADCK3/COQ8B->ADCK4/FDX2->FDX1L/KYAT3->CCBL2/NAXD->CARKD/NAXE->APOA1BP/NOCT->CCRN4L,->,->,109
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,13,11,2,0,0,0,0,0,13,0,TRUE,COQ8A->ADCK3/COQ8B->ADCK4,->,->,13
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Metals_and_cofactors.Fe-S_cluster_biosynthesis,23,22,1,0,0,0,0,0,23,0,TRUE,FDX2->FDX1L,->,->,23
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Metals_and_cofactors.Fe-S-containing_proteins,31,29,1,0,0,1,0,0,30,0,TRUE,FDX2->FDX1L,->,->,30
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Metals_and_cofactors.Heme_synthesis_and_processing,16,13,1,0,0,0,2,0,14,0,TRUE,FDX2->FDX1L,->,->,14
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Metals_and_cofactors.Molybdenum_cofactor_synthesis_and_proteins,5,3,0,0,0,1,0,1,3,0,TRUE,->,->,->,3
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Metals_and_cofactors.NAD_biosynthesis_and_metabolism,14,9,4,0,0,1,0,0,13,0,TRUE,KYAT3->CCBL2/NAXD->CARKD/NAXE->APOA1BP/NOCT->CCRN4L,->,->,13
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Nucleotide_metabolism,40,34,1,0,0,2,3,0,35,0,TRUE,ANTKMT->FAM173A,->,->,35
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Sulfur_metabolism,11,10,1,0,0,0,0,0,11,0,TRUE,SQOR->SQRDL,->,->,11
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Vitamin_metabolism,49,42,2,0,1,3,1,0,44,0,TRUE,MMUT->MUT/PLPBP->PROSC,->,AKR1B10->ARL1,44
Treg,MitoPathways,MITOPATHWAYS_Metabolism.Vitamin_metabolism.Vitamin_A_metabolism,5,4,0,0,1,0,0,0,4,0,TRUE,->,->,AKR1B10->ARL1,4
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma,231,213,15,0,0,2,0,1,228,0,TRUE,GATB->PET112/KARS1->KARS/MRM2->FTSJ2/MRM3->RNMTL1/MRPL57->MRP63/MRPL58->ICT1/MTERF1->MTERF/MTERF2->MTERFD3/MTERF3->MTERFD1/MTERF4->MTERFD2/MTRES1->C6orf203/MYG1->C12orf10/PRORP->KIAA0391/RCC1L->WBSCR16/TWNK->C10orf2,->,->,228
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.mtDNA_maintenance,31,28,3,0,0,0,0,0,31,0,TRUE,MTERF1->MTERF/MTERF2->MTERFD3/TWNK->C10orf2,->,->,31
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_nucleoid,11,8,3,0,0,0,0,0,11,0,TRUE,MTERF1->MTERF/MTERF2->MTERFD3/TWNK->C10orf2,->,->,11
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,14,13,1,0,0,0,0,0,14,0,TRUE,TWNK->C10orf2,->,->,14
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism,76,69,7,0,0,0,0,0,76,0,TRUE,MRM2->FTSJ2/MRM3->RNMTL1/MTERF1->MTERF/MTRES1->C6orf203/MYG1->C12orf10/PRORP->KIAA0391/RCC1L->WBSCR16,->,->,76
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mt-rRNA_modifications,18,14,4,0,0,0,0,0,18,0,TRUE,MRM2->FTSJ2/MRM3->RNMTL1/MYG1->C12orf10/RCC1L->WBSCR16,->,->,18
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_granules,28,26,2,0,0,0,0,0,28,0,TRUE,MRM2->FTSJ2/PRORP->KIAA0391,->,->,28
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.Polycistronic_mtRNA_processing,13,12,1,0,0,0,0,0,13,0,TRUE,PRORP->KIAA0391,->,->,13
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.Transcription,8,6,2,0,0,0,0,0,8,0,TRUE,MTERF1->MTERF/MTRES1->C6orf203,->,->,8
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.Translation,155,143,9,0,0,2,0,1,152,0,TRUE,GATB->PET112/KARS1->KARS/MRM2->FTSJ2/MRM3->RNMTL1/MRPL57->MRP63/MRPL58->ICT1/MTERF3->MTERFD1/MTERF4->MTERFD2/MTRES1->C6orf203,->,->,152
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome,83,79,2,0,0,2,0,0,81,0,TRUE,MRPL57->MRP63/MRPL58->ICT1,->,->,81
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome_assembly,24,20,4,0,0,0,0,0,24,0,TRUE,MRM2->FTSJ2/MRM3->RNMTL1/MTERF3->MTERFD1/MTERF4->MTERFD2,->,->,24
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.mt-tRNA_synthetases,22,19,2,0,0,0,0,1,21,0,TRUE,GATB->PET112/KARS1->KARS,->,->,21
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Translation_factors,16,15,1,0,0,0,0,0,16,0,TRUE,MRPL58->ICT1,->,->,16
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance,104,86,10,0,0,5,0,3,96,0,TRUE,ATP5ME->ATP5I/ATP5MG->ATP5L/MARCHF5->MARCH5/MICOS10->MINOS1/MICOS13->C19orf70/MIGA1->FAM73A/MIGA2->FAM73B/NIPSNAP2->GBAS/PRKN->PARK2/RTL10->C22orf29,->,->,96
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Apoptosis,35,29,1,0,0,4,0,1,30,0,TRUE,RTL10->C22orf29,->,->,30
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Autophagy,18,15,3,0,0,0,0,0,18,0,TRUE,MARCHF5->MARCH5/NIPSNAP2->GBAS/PRKN->PARK2,->,->,18
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Cristae_formation,11,6,4,0,0,0,0,1,10,0,TRUE,ATP5ME->ATP5I/ATP5MG->ATP5L/MICOS10->MINOS1/MICOS13->C19orf70,->,->,10
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Cristae_formation.MICOS_complex,7,5,2,0,0,0,0,0,7,0,TRUE,MICOS10->MINOS1/MICOS13->C19orf70,->,->,7
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Fusion,9,7,2,0,0,0,0,0,9,0,TRUE,MIGA1->FAM73A/MIGA2->FAM73B,->,->,9
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Mitophagy,14,11,3,0,0,0,0,0,14,0,TRUE,MARCHF5->MARCH5/NIPSNAP2->GBAS/PRKN->PARK2,->,->,14
Treg,MitoPathways,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Organelle_contact_sites,14,12,1,0,0,0,0,1,13,0,TRUE,MIGA2->FAM73B,->,->,13
Treg,MitoPathways,MITOPATHWAYS_OXPHOS,169,131,27,0,0,5,4,2,158,0,TRUE,ATP5F1A->ATP5A1/ATP5F1B->ATP5B/ATP5F1C->ATP5C1/ATP5F1D->ATP5D/ATP5F1E->ATP5E/ATP5IF1->ATPIF1/ATP5MC1->ATP5G1/ATP5MC2->ATP5G2/ATP5MC3->ATP5G3/ATP5ME->ATP5I/ATP5MF->ATP5J2/ATP5MG->ATP5L/ATP5PB->ATP5F1/ATP5PD->ATP5H/ATP5PF->ATP5J/ATP5PO->ATP5O/ATPSCKMT->FAM173B/COA8->APOPT1/DMAC1->TMEM261/DMAC2->ATP5SL/DMAC2L->ATP5S/FMC1->C7orf55/NDUFAF8->C17orf89/RAB5IF->C20orf24/SDHAF3->ACN9/SDHAF4->C6orf57/UQCC3->C11orf83,->,->,158
Treg,MitoPathways,MITOPATHWAYS_OXPHOS.Complex_I,66,61,3,0,0,2,0,0,64,0,TRUE,DMAC1->TMEM261/DMAC2->ATP5SL/NDUFAF8->C17orf89,->,->,64
Treg,MitoPathways,MITOPATHWAYS_OXPHOS.Complex_I.CI_assembly_factors,22,19,3,0,0,0,0,0,22,0,TRUE,DMAC1->TMEM261/DMAC2->ATP5SL/NDUFAF8->C17orf89,->,->,22
Treg,MitoPathways,MITOPATHWAYS_OXPHOS.Complex_II,8,6,2,0,0,0,0,0,8,0,TRUE,SDHAF3->ACN9/SDHAF4->C6orf57,->,->,8
Treg,MitoPathways,MITOPATHWAYS_OXPHOS.Complex_III,16,14,1,0,0,1,0,0,15,0,TRUE,UQCC3->C11orf83,->,->,15
Treg,MitoPathways,MITOPATHWAYS_OXPHOS.Complex_III.CIII_assembly_factors,6,5,1,0,0,0,0,0,6,0,TRUE,UQCC3->C11orf83,->,->,6
Treg,MitoPathways,MITOPATHWAYS_OXPHOS.Complex_IV,51,44,1,0,0,2,4,0,45,0,TRUE,COA8->APOPT1,->,->,45
Treg,MitoPathways,MITOPATHWAYS_OXPHOS.Complex_IV.CIV_assembly_factors,30,29,1,0,0,0,0,0,30,0,TRUE,COA8->APOPT1,->,->,30
Treg,MitoPathways,MITOPATHWAYS_OXPHOS.Complex_V,26,5,19,0,0,0,0,2,24,0,TRUE,ATP5F1A->ATP5A1/ATP5F1B->ATP5B/ATP5F1C->ATP5C1/ATP5F1D->ATP5D/ATP5F1E->ATP5E/ATP5IF1->ATPIF1/ATP5MC1->ATP5G1/ATP5MC2->ATP5G2/ATP5MC3->ATP5G3/ATP5ME->ATP5I/ATP5MF->ATP5J2/ATP5MG->ATP5L/ATP5PB->ATP5F1/ATP5PD->ATP5H/ATP5PF->ATP5J/ATP5PO->ATP5O/ATPSCKMT->FAM173B/DMAC2L->ATP5S/FMC1->C7orf55,->,->,24
Treg,MitoPathways,MITOPATHWAYS_OXPHOS.Complex_V.CV_assembly_factors,5,3,2,0,0,0,0,0,5,0,TRUE,ATPSCKMT->FAM173B/FMC1->C7orf55,->,->,5
Treg,MitoPathways,MITOPATHWAYS_OXPHOS.Complex_V.CV_subunits,21,2,17,0,0,0,0,2,19,0,TRUE,ATP5F1A->ATP5A1/ATP5F1B->ATP5B/ATP5F1C->ATP5C1/ATP5F1D->ATP5D/ATP5F1E->ATP5E/ATP5IF1->ATPIF1/ATP5MC1->ATP5G1/ATP5MC2->ATP5G2/ATP5MC3->ATP5G3/ATP5ME->ATP5I/ATP5MF->ATP5J2/ATP5MG->ATP5L/ATP5PB->ATP5F1/ATP5PD->ATP5H/ATP5PF->ATP5J/ATP5PO->ATP5O/DMAC2L->ATP5S,->,->,19
Treg,MitoPathways,MITOPATHWAYS_OXPHOS.OXPHOS_assembly_factors,68,58,10,0,0,0,0,0,68,0,TRUE,ATPSCKMT->FAM173B/COA8->APOPT1/DMAC1->TMEM261/DMAC2->ATP5SL/FMC1->C7orf55/NDUFAF8->C17orf89/RAB5IF->C20orf24/SDHAF3->ACN9/SDHAF4->C6orf57/UQCC3->C11orf83,->,->,68
