population,sample_id,donor,tissue,n_cells,pathway_name,activity,pvalue,n_genes_scored
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,EGFR,-2.72785291,0.00638253211,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,Estrogen,-1.49671065,0.134490487,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,Estrogen,0.970762667,0.331682787,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,Estrogen,-1.43271208,0.15196185,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,Estrogen,0.223901928,0.822836793,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,Estrogen,-1.31883496,0.187245271,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,Estrogen,0.341536671,0.732704588,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,Estrogen,0.647936502,0.517036354,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,Estrogen,-0.152266274,0.878979058,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,Estrogen,0.232949851,0.815803659,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,Estrogen,0.771189185,0.440607461,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,Estrogen,1.25718421,0.208707336,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,Estrogen,-0.0112177071,0.991049908,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,Estrogen,-0.0828682755,0.933957432,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,Hypoxia,3.69303792,2.2241035e-4,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,Hypoxia,-4.78198344,1.75292504e-6,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,Hypoxia,-3.18201861,0.00146563051,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,Hypoxia,-5.27359719,1.35711019e-7,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,Hypoxia,3.45194259,5.58164628e-4,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,Hypoxia,10.6479657,2.23403557e-26,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,Hypoxia,-3.04689866,0.00231634389,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,Hypoxia,1.85610348,0.063459228,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,Hypoxia,-5.07981171,3.82535343e-7,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,Hypoxia,3.28847231,0.00100974294,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,Hypoxia,-4.3312206,1.4928861e-5,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,Hypoxia,2.9778903,0.00290723271,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,Hypoxia,-2.85652173,0.00428923953,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,JAK-STAT,15.0519084,8.16727464e-51,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,JAK-STAT,0.362326925,0.717113058,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,JAK-STAT,2.65140354,0.00802457867,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,JAK-STAT,-10.7832343,5.23866901e-27,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,JAK-STAT,19.0888424,3.0566040499999994e-80,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,JAK-STAT,5.04651733,4.55422778e-7,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,JAK-STAT,-6.22102269,5.07590419e-10,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,JAK-STAT,-2.47445477,0.0133554074,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,JAK-STAT,-6.00923089,1.90903889e-9,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,JAK-STAT,0.521391372,0.602102181,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,JAK-STAT,-5.64816566,1.65236666e-8,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,JAK-STAT,-1.61786887,0.105712768,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,JAK-STAT,-9.56675696,1.27908238e-21,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,MAPK,-0.113439391,0.909683793,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,MAPK,-1.03118588,0.302470984,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,MAPK,-3.49770114,4.70702376e-4,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,MAPK,-2.10910007,0.0349531669,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,MAPK,-0.406210249,0.684594162,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,MAPK,-0.203497329,0.83874921,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,MAPK,-1.54359802,0.122707726,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,MAPK,2.47260617,0.0134246516,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,MAPK,-1.69140414,0.0907812872,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,MAPK,3.10775437,0.0018888176,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,MAPK,2.00934542,0.0445191433,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,MAPK,1.21595609,0.224021587,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,MAPK,-0.701471012,0.483020458,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,NFkB,1.52800581,0.126533065,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,NFkB,-3.69280871,2.22610787e-4,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,NFkB,-1.11661587,0.264177241,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,NFkB,-5.38096305,7.52480361e-8,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,NFkB,3.72017974,1.99837745e-4,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,NFkB,3.47598426,5.10482309e-4,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,NFkB,-2.34970277,0.0188018392,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,NFkB,4.04824927,5.18721318e-5,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,NFkB,-5.9386512,2.93996313e-9,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,NFkB,3.01891776,0.00254123563,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,NFkB,-2.77152306,0.00558663493,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,NFkB,6.43194833,1.29956084e-10,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,NFkB,-4.46856456,7.93468831e-6,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,PI3K,-0.541185774,0.588387916,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,PI3K,-1.38324509,0.166611179,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,PI3K,0.134439325,0.893057067,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,PI3K,-2.40094124,0.0163655678,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,PI3K,2.34914991,0.0188297701,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,PI3K,1.37902192,0.167909421,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,PI3K,-1.78076297,0.0749722633,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,PI3K,3.13078534,0.00174688357,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,PI3K,-1.91481386,0.0555360428,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,PI3K,4.33006902,1.50070437e-5,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,PI3K,-0.995649324,0.319437295,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,PI3K,-1.24514317,0.213099394,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,PI3K,-4.32405587,1.54216688e-5,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,TGFb,2.10566366,0.035250851800000003,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,TGFb,-5.25265158,1.52060969e-7,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,TGFb,1.92374822,0.0544058459,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,TGFb,-5.64848862,1.64927291e-8,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,TGFb,3.03592489,0.0024022768299999998,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,TGFb,2.97655492,0.00291991616,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,TGFb,-5.49525806,3.96768287e-8,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,TGFb,6.66722158,2.70185305e-11,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,TGFb,-4.8521175,1.23429566e-6,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,TGFb,6.86110531,7.11195881e-12,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,TGFb,-4.78673178,1.7120396e-6,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,TGFb,2.10094956,0.0356627365,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,TGFb,-5.71044807,1.14904336e-8,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,TNFa,0.918634341,0.358302254,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,TNFa,0.240269243,0.810124958,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,TNFa,0.259584579,0.795187944,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,TNFa,1.08059281,0.279896383,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,TNFa,-2.28604544,0.0222660599,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,TNFa,-2.44920173,0.0143291583,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,TNFa,-1.50525367,0.132280811,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,TNFa,1.09229691,0.274720898,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,TNFa,1.0440036,0.296501255,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,TNFa,-0.411146133,0.680971504,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,TNFa,-1.11008864,0.266979372,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,TNFa,0.833433397,0.404614173,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,TNFa,2.14425091,0.032029482,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,Trail,0.442015477,0.658484646,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,Trail,-1.6257078,0.104033719,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,Trail,0.561961965,0.574150683,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,Trail,-0.292236963,0.77010966300000006,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,Trail,-1.0439539,0.296524248,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,Trail,-1.00858144,0.313192361,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,Trail,-0.153370539,0.878108226,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,Trail,2.01320696,0.0441114387,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,Trail,0.654450593,0.512832003,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,Trail,0.509017064,0.610748064,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,Trail,-0.645891699,0.518359791,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,Trail,-0.832045618,0.405396998,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,Trail,0.240947806,0.809599001,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,VEGF,3.14731897,0.00165111232,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,VEGF,-3.23934974,0.00120074355,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,VEGF,1.3060932,0.191541735,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,VEGF,-2.62390741,0.00870191293,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,VEGF,0.538136465,0.590491159,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,VEGF,2.31003271,0.0209004158,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,VEGF,-2.37449433,0.0175860375,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,VEGF,2.63532356,0.00841471848,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,VEGF,-0.931815816,0.351447346,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,VEGF,1.51664903,0.129377277,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,VEGF,-1.26394342,0.2062708,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,VEGF,0.389553026,0.696872855,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,VEGF,-3.28289629,0.00102991348,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,WNT,-1.72478483,0.0845877202,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,WNT,2.83825681,0.00454241292,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,WNT,-2.19372348,0.0282712245,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,WNT,0.899824117,0.368228909,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,WNT,-1.54517177,0.122326703,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,WNT,-0.951475012,0.341379271,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,WNT,1.64073126,0.100875058,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,WNT,-0.823951473,0.409980782,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,WNT,1.02261899,0.306505211,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,WNT,-2.21246309,0.0269503186,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,WNT,2.11330166,0.0345921162,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,WNT,-0.945790395,0.34427138,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,WNT,3.01385915,0.00258396428,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,p53,1.74432156,0.0811243756,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,p53,-0.26193399,0.793376081,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,p53,1.88839215,0.058993412,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,p53,-1.9713661200000001,0.0487011335,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,p53,-0.469796964,0.638507199,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,p53,0.314845865,0.752883249,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,p53,-0.453523599,0.65017859,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,p53,1.00888119,0.313048572,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,p53,0.033854009,0.972994037,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,p53,-3.4630222,5.35696853e-4,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,p53,-3.43032464,6.04550909e-4,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,p53,3.30359209,9.56874794e-4,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,p53,2.49723885,0.0125275412,14411
Treg,JIA_patient_1|synovial_fluid|Treg,JIA_patient_1,synovial_fluid,1761,Androgen,0.982722711,0.325760931,13999
Treg,JIA_patient_1|peripheral_blood|Treg,JIA_patient_1,peripheral_blood,2360,Androgen,0.582562164,0.560197475,13999
Treg,JIA_patient_2|synovial_fluid|Treg,JIA_patient_2,synovial_fluid,2669,Androgen,-0.578364575,0.563027319,13999
Treg,JIA_patient_2|peripheral_blood|Treg,JIA_patient_2,peripheral_blood,1271,Androgen,-1.09413449,0.273914843,13999
Treg,JIA_patient_3|synovial_fluid|Treg,JIA_patient_3,synovial_fluid,1636,Androgen,0.633755117,0.526251014,13999
Treg,JIA_patient_3|peripheral_blood|Treg,JIA_patient_3,peripheral_blood,1581,Androgen,-1.51203751,0.130546918,13999
Treg,JIA_patient_4|synovial_fluid|Treg,JIA_patient_4,synovial_fluid,2867,Androgen,1.47301541,0.140769389,13999
Treg,JIA_patient_4|peripheral_blood|Treg,JIA_patient_4,peripheral_blood,2230,Androgen,-1.95769249,0.0502859658,13999
Treg,JIA_patient_5|peripheral_blood|Treg,JIA_patient_5,peripheral_blood,3942,Androgen,0.863769531,0.387729324,13999
Treg,JIA_patient_6|synovial_fluid|Treg,JIA_patient_6,synovial_fluid,1825,Androgen,-0.318306568,0.750257156,13999
Treg,JIA_patient_6|peripheral_blood|Treg,JIA_patient_6,peripheral_blood,1953,Androgen,-1.18101842,0.23761549,13999
Treg,JIA_patient_7|synovial_fluid|Treg,JIA_patient_7,synovial_fluid,2814,Androgen,2.52774244,0.0114907733,13999
Treg,JIA_patient_7|peripheral_blood|Treg,JIA_patient_7,peripheral_blood,266,Androgen,0.115006154,0.908441895,13999
Treg,JIA_patient_1|synovial_fluid|Treg,JIA_patient_1,synovial_fluid,1761,EGFR,7.44709964,1.00991496e-13,13999
Treg,JIA_patient_1|peripheral_blood|Treg,JIA_patient_1,peripheral_blood,2360,EGFR,-4.41415657,1.02164335e-5,13999
Treg,JIA_patient_2|synovial_fluid|Treg,JIA_patient_2,synovial_fluid,2669,EGFR,5.98120868,2.26891604e-9,13999
Treg,JIA_patient_2|peripheral_blood|Treg,JIA_patient_2,peripheral_blood,1271,EGFR,-4.69800886,2.65211116e-6,13999
Treg,JIA_patient_3|synovial_fluid|Treg,JIA_patient_3,synovial_fluid,1636,EGFR,3.10728069,0.00189195325,13999
Treg,JIA_patient_3|peripheral_blood|Treg,JIA_patient_3,peripheral_blood,1581,EGFR,-6.72230893,1.85799979e-11,13999
Treg,JIA_patient_4|synovial_fluid|Treg,JIA_patient_4,synovial_fluid,2867,EGFR,5.2566965,1.48824e-7,13999
Treg,JIA_patient_4|peripheral_blood|Treg,JIA_patient_4,peripheral_blood,2230,EGFR,-3.80468072,1.42591875e-4,13999
Treg,JIA_patient_5|peripheral_blood|Treg,JIA_patient_5,peripheral_blood,3942,EGFR,-7.27492527,3.65048141e-13,13999
Treg,JIA_patient_6|synovial_fluid|Treg,JIA_patient_6,synovial_fluid,1825,EGFR,7.51591198,5.99439731e-14,13999
Treg,JIA_patient_6|peripheral_blood|Treg,JIA_patient_6,peripheral_blood,1953,EGFR,-6.32328324,2.63845627e-10,13999
Treg,JIA_patient_7|synovial_fluid|Treg,JIA_patient_7,synovial_fluid,2814,EGFR,6.50703756,7.92570882e-11,13999
Treg,JIA_patient_7|peripheral_blood|Treg,JIA_patient_7,peripheral_blood,266,EGFR,-3.69182243,2.23499446e-4,13999
Treg,JIA_patient_1|synovial_fluid|Treg,JIA_patient_1,synovial_fluid,1761,Estrogen,-0.493550669,0.621631298,13999
Treg,JIA_patient_1|peripheral_blood|Treg,JIA_patient_1,peripheral_blood,2360,Estrogen,-0.675809765,0.49917261,13999
Treg,JIA_patient_2|synovial_fluid|Treg,JIA_patient_2,synovial_fluid,2669,Estrogen,-1.97975362,0.0477507953,13999
Treg,JIA_patient_2|peripheral_blood|Treg,JIA_patient_2,peripheral_blood,1271,Estrogen,2.03942484,0.0414264039,13999
Treg,JIA_patient_3|synovial_fluid|Treg,JIA_patient_3,synovial_fluid,1636,Estrogen,-0.493413845,0.621727951,13999
Treg,JIA_patient_3|peripheral_blood|Treg,JIA_patient_3,peripheral_blood,1581,Estrogen,-0.801061895,0.423109425,13999
Treg,JIA_patient_4|synovial_fluid|Treg,JIA_patient_4,synovial_fluid,2867,Estrogen,1.70105475,0.0889549386,13999
Treg,JIA_patient_4|peripheral_blood|Treg,JIA_patient_4,peripheral_blood,2230,Estrogen,-1.20743397,0.227285481,13999
Treg,JIA_patient_5|peripheral_blood|Treg,JIA_patient_5,peripheral_blood,3942,Estrogen,2.04874847,0.040505342,13999
Treg,JIA_patient_6|synovial_fluid|Treg,JIA_patient_6,synovial_fluid,1825,Estrogen,0.436916438,0.662178696,13999
Treg,JIA_patient_6|peripheral_blood|Treg,JIA_patient_6,peripheral_blood,1953,Estrogen,0.0303310612,0.975803458,13999
Treg,JIA_patient_7|synovial_fluid|Treg,JIA_patient_7,synovial_fluid,2814,Estrogen,-0.0846530174,0.93253846,13999
Treg,JIA_patient_7|peripheral_blood|Treg,JIA_patient_7,peripheral_blood,266,Estrogen,-0.398985175,0.68991022,13999
Treg,JIA_patient_1|synovial_fluid|Treg,JIA_patient_1,synovial_fluid,1761,Hypoxia,4.07897719,4.54850045e-5,13999
Treg,JIA_patient_1|peripheral_blood|Treg,JIA_patient_1,peripheral_blood,2360,Hypoxia,-1.68563873,0.0918877144,13999
Treg,JIA_patient_2|synovial_fluid|Treg,JIA_patient_2,synovial_fluid,2669,Hypoxia,0.309893791,0.756646342,13999
Treg,JIA_patient_2|peripheral_blood|Treg,JIA_patient_2,peripheral_blood,1271,Hypoxia,-7.54816903,4.68665616e-14,13999
Treg,JIA_patient_3|synovial_fluid|Treg,JIA_patient_3,synovial_fluid,1636,Hypoxia,4.80192316,1.58776879e-6,13999
Treg,JIA_patient_3|peripheral_blood|Treg,JIA_patient_3,peripheral_blood,1581,Hypoxia,-4.22359835,2.41954156e-5,13999
Treg,JIA_patient_4|synovial_fluid|Treg,JIA_patient_4,synovial_fluid,2867,Hypoxia,7.8414475,4.77471659e-15,13999
