population,sample_id,donor,tissue,n_cells,pathway_name,activity,pvalue,n_genes_scored
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,Hypoxia,-0.358884544,0.719686875,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,Hypoxia,-3.55136994,3.84489862e-4,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,Hypoxia,5.51035146,3.6444393499999997e-08,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,Hypoxia,9.56106528,1.3566010200000001e-21,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,Hypoxia,-3.05836107,0.00222971473,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,Hypoxia,-0.887016976,0.375084999,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,Hypoxia,-4.7817108,1.75579075e-6,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,Hypoxia,-0.751001468,0.452664396,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,Hypoxia,-7.50921019,6.30767526e-14,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,Hypoxia,3.15346653,0.00161684634,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,Hypoxia,-1.49945376,0.133778505,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,JAK-STAT,13.2343595,9.6267356e-40,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,JAK-STAT,-1.38229312,0.166903771,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,JAK-STAT,0.814601375,0.41531438,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,JAK-STAT,-10.2726061,1.145571e-24,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,JAK-STAT,18.295569,6.509922119999999e-74,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,JAK-STAT,5.72115342,1.07968346e-8,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,JAK-STAT,-6.38414402,1.77793967e-10,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,JAK-STAT,-1.97267016,0.0485527996,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,JAK-STAT,-6.81401679,9.87894352e-12,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,JAK-STAT,4.98267007,6.3461482e-7,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,JAK-STAT,-5.64641771,1.67009402e-8,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,JAK-STAT,-2.3250329,0.0200844238,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,JAK-STAT,-8.22887178,2.05549301e-16,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,MAPK,-0.743383121,0.457262236,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,MAPK,-1.27071561,0.203850958,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,MAPK,-2.63112501,0.00851959716,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,MAPK,-0.353237568,0.723915665,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,MAPK,-0.340646478,0.733374847,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,MAPK,1.18029479,0.237903045,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,MAPK,-1.91598822,0.0553869396,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,MAPK,0.73786006,0.46061186,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,MAPK,-0.916516123,0.359412043,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,MAPK,1.98297637,0.0473895808,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,MAPK,3.444075,5.74694844e-4,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,MAPK,1.92539771,0.054199855,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,MAPK,-0.90449658,0.365747712,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,NFkB,0.577018728,0.563936083,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,NFkB,1.0510773,0.293241232,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,NFkB,0.143660256,0.885770824,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,NFkB,-1.51243161,0.130446672,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,NFkB,2.49896464,0.0124670395,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,NFkB,2.46283879,0.0137961363,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,NFkB,-2.37622552,0.0175041413,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,NFkB,-0.0122652705,0.99021415,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,NFkB,-3.47131185,5.19484123e-4,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,NFkB,1.2251624,0.220534652,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,NFkB,-2.67117332,0.00756740198,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,NFkB,4.54180358,5.62406979e-6,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,NFkB,-2.24373509,0.0248650186,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,PI3K,0.216423842,0.828660537,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,PI3K,-0.465474874,0.641598667,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,PI3K,-1.71075348,0.0871487849,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,PI3K,-1.85971866,0.062946302,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,PI3K,3.6541239,2.59004686e-4,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,PI3K,3.01974111,0.00253446833,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,PI3K,-1.29254424,0.196190068,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,PI3K,2.03812451,0.0415562387,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,PI3K,-1.76868967,0.0769674491,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,PI3K,3.43117777,6.02702198e-4,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,PI3K,0.0664727212,0.947002424,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,PI3K,-1.42300377,0.154757347,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,PI3K,-3.92113349,8.85535727e-5,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,TGFb,3.25331128,0.00114338849,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,TGFb,-4.37538857,1.22093463e-5,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,TGFb,6.49631628,8.50918619e-11,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,TGFb,-4.12895889,3.66522936e-5,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,TGFb,5.9390159,2.93533968e-9,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,TGFb,4.47709207,7.62645434e-6,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,TGFb,-4.58421625,4.59635716e-6,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,TGFb,1.96178575,0.0498072187,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,TGFb,-4.97245296,6.68939824e-7,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,TGFb,1.87292266,0.0610998899,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,TGFb,-5.66801609,1.47310254e-8,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,TGFb,2.27546453,0.0228931233,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,TGFb,-3.36477428,7.68120273e-4,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,TNFa,1.24940711,0.211537097,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,TNFa,-1.04606165,0.29555063,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,TNFa,-0.354830109,0.722722216,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,TNFa,0.580843024,0.561355605,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,TNFa,-0.936803664,0.348875721,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,TNFa,-1.38458356,0.16620191,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,TNFa,1.26702785,0.20516641,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,TNFa,-0.380452063,0.703615647,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,TNFa,1.86190429,0.0626375207,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,TNFa,-2.07430418,0.038069302,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,TNFa,-0.293715366,0.768979766,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,TNFa,0.267024916,0.78945391,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,TNFa,1.45447211,0.14583788,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,Trail,0.205181282,0.837433476,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,Trail,-0.016772112,0.986618657,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,Trail,1.61018208,0.107380659,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,Trail,0.480420157,0.630936171,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,Trail,-1.02464059,0.305550509,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,Trail,-0.081218017,0.935269732,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,Trail,0.364588295,0.715424261,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,Trail,-1.36144711,0.173394348,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,Trail,0.381123838,0.70311714300000006,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,Trail,-1.00364717,0.315566059,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,Trail,-1.1827491,0.236928687,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,Trail,-0.0847941858,0.932426228,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,Trail,1.37577632,0.168912907,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,VEGF,2.86882097,0.00412621108,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,VEGF,-2.85028907,0.00437433205,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,VEGF,0.834312951,0.404118892,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,VEGF,-1.90057393,0.057378365,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,VEGF,0.922623405,0.356219395,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,VEGF,1.44240427,0.149210733,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,VEGF,-1.9831384,0.0473714814,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,VEGF,1.56112197,0.118517581,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,VEGF,0.90572982,0.365094463,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,VEGF,0.620140005,0.535175711,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,VEGF,-0.510139913,0.609961487,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,VEGF,0.115706772,0.907886599,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,VEGF,-1.72313005,0.0848870926,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,WNT,-2.20224535,0.0276642264,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,WNT,3.52415011,4.26199095e-4,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,WNT,-2.48555752,0.0129464492,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,WNT,2.15931284,0.0308428353,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,WNT,-3.27409795,0.00106257108,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,WNT,-2.11239528,0.03467022,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,WNT,3.07422505,0.00211456299,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,WNT,-1.07619503,0.281858588,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,WNT,1.34923126,0.177284518,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,WNT,-1.44026174,0.149815725,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,WNT,2.26962502,0.023245486,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,WNT,-1.79277346,0.0730307372,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,WNT,2.19897099,0.0278962823,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,p53,1.66098486,0.0967388807,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,p53,5.84476219,5.18582256e-9,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,p53,2.77254232,0.00556938148,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,p53,0.114192348,0.909086955,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,p53,-4.94888446,7.55078924e-7,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,p53,-5.98592791,2.20419595e-9,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,p53,3.68338048,2.31027891e-4,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,p53,-0.124381226,0.901015223,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,p53,2.79912137,0.00513119848,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,p53,-7.63934252,2.32465927e-14,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,p53,-7.45417355,9.57331294e-14,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,p53,3.44899111,5.64341882e-4,14014
