pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
CEBPB,CEBPB,TF_Targets,Treg,SF_vs_PB_Treg,2.00881635,0.436119469,2.43938267e-9,1.3128314e-7,258,75,CDKN1A/CTSC/ATP1B1/IL1RN/KAT2B/RBPJ/DDIT4/CCL4/GADD45G/FURIN/CCR5/IL10/TNF/FASLG/NR4A1/CISH/ID2/PTHLH/PCK2/GADD45A/STAT3/BCL2L1/LRPAP1/CCL20/CCL5/LDLR/CSF2/PSMD10/EBP/ICAM1/CAST/GNLY/CCL3/ITGAX/LY96/PPARG/CD44/FOS/PRDM1/ALOX5AP/KRAS/ATF3/VLDLR/IL1A/HSPA9/CES4A/BAD/TIMM17A/CXCR4/ANXA5/SCD/DGAT2/SREBF1/HSD17B10/NCAM1/MAPK8/AKR1A1/SOD1/CSRP1/EGR2/ALDH2/CDK9/DDIT3/NFKBIA/SLC19A1/PTTG1IP/EDNRB/TRIB3/PTGS1/SFTPD/CIITA/FAS/ACTG2/KLF4/AKT1,up,FALSE
SP3,SP3,TF_Targets,Treg,SF_vs_PB_Treg,2.01193987,0.438977959,3.54222425e-9,1.7474973e-7,246,82,APOBEC3G/CDKN1A/ATP1B1/TNFRSF4/TYMP/CD74/PKM/CTSB/UCP3/FOXP3/IL10/TIMP1/PDLIM7/LMNA/TNFRSF8/CSF1/TNF/FASLG/FKBP1A/CYP7B1/NOTCH1/SGK1/SERPINH1/VIM/PDGFA/SLC2A3/BSG/TCN2/EMC7/OAS1/LDLR/EPAS1/EIF2AK2/ITGAX/FGL2/PTTG1/TPMT/NOS3/CD44/PRDM1/KRAS/ATF3/IGFBP4/IL1A/F2R/ITGA3/DNASE2/FKBP1B/B3GNT9/ITGA2/SREBF1/CTSL/MAPK8/PLAU/PLAUR/PAPSS1/HBEGF/PCYT1A/SQSTM1/HSPA1B/ANG/ATP2A2/SLC2A1/UBC/ABCA1/RRAS/SLC19A1/PSAP/PTGS1/TSPO/FAS/TGFBI/FASN/PROS1/VEGFA/CCL2/ACSS2/FLT1/PARK7/SOCS3/CALM1/HHEX,up,FALSE
SPI1,SPI1,TF_Targets,Treg,SF_vs_PB_Treg,1.98055603,0.435235539,8.66711664e-9,3.94687158e-7,231,72,ACP5/IL1RN/SERPINB1/CDK6/IL10/HLA-DQB1/OSM/EBI3/TIMP1/PDLIM7/CSF1/TNF/CD80/FASLG/NR4A1/NOTCH1/NAB2/GADD45A/STAT3/SCARB2/CCND2/VIM/BSG/BCL2L1/F12/CCL5/OAS1/ANXA1/CSF2/ICAM1/LRG1/CYBA/CCL3/ITGAX/LY96/CD68/FGL2/CD44/PRDM1/P2RY10/ITGAM/CLEC7A/MPO/MMP9/ITGA3/ITGB2/CCL22/DAPK2/YWHAB/MAP1S/TNFSF4/PLAU/IL12RB1/NSFL1C/NCF4/EGR2/PRDX6/FN1/ETS2/NFKBIA/C1QB/CXCR1/IL18R1/PIN1/CIITA/TSPO/XAF1/KLF4/KEAP1/ME3/AKT1/LSP1,up,FALSE
ETS1,ETS1,TF_Targets,Treg,SF_vs_PB_Treg,2.13797583,0.49855682,3.38094052e-8,1.42965485e-6,144,57,CDKN1A/IL2RB/CTSB/FOXP3/IL10/TIMP1/C3AR1/TNFRSF8/TNF/FASLG/NR4A1/PTHLH/PDGFA/BCL2L1/ILK/CD4/NR1H2/RHOC/CSF2/B4GALT5/PERP/PSMB5/NOS3/CD44/FOS/MMP9/ITGA3/ITGB2/TIMM17A/CXCR4/PRF1/EGR1/SERPINE1/PLAU/PCYT1A/SQSTM1/ANG/FN1/ETS2/DDIT3/PSEN1/NDRG1/HPGD/CD3D/FAS/CASP1/TGFBR1/SRF/JAK3/CCL2/FLT1/DPP3/HMOX1/NRP1/CGA/SOCS1/DUSP6,up,FALSE
IRF1,IRF1,TF_Targets,Treg,SF_vs_PB_Treg,2.15810433,0.514747965,4.73144319e-8,1.86734291e-6,123,54,CDKN1A/LGALS3/KAT2B/CD74/CCL4/CCR5/SOCS2/FOXP3/IL2RA/IL10/TNF/CD80/FASLG/RSAD2/IFNGR1/CCL5/IFI35/ICAM1/POLR2K/EIF2AK2/CEACAM1/CD274/IL7/UPP1/TP73/NOS3/HLA-A/MMP9/CASP9/TAP1/MAPK8/IL12RB1/CASP7/CIITA/XAF1/IFNL1/DOT1L/CASP1/ME3/AKT1/CCL2/TAPBP/OPTN/SOCS1/OGN/CXCL10/IFNG/PSMB9/TRIM21/MYD88/GBP2/IL15/HSPA4/MYB,up,FALSE
CEBPA,CEBPA,TF_Targets,Treg,SF_vs_PB_Treg,2.03203007,0.480029513,4.31686973e-7,1.5972418e-5,132,61,CDKN1A/IL10/VDR/PGK1/LGALS1/CSF1/TNF/MT2A/MIF/CRMP1/PCK2/STAT3/LRPAP1/CCL5/ANXA1/CTNNA1/CSF2/ICAM1/TP63/CCL3/ITGAX/COMT/CD68/PPARG/CCR2/FOS/ALOX5AP/VLDLR/MPO/SCD/DGAT2/DAPK2/SOAT1/SREBF1/CTSL/SERPINE1/GAPDH/SOD1/FN1/EDNRB/SFTPD/PIN1/ADRB2/FASN/PROS1/GFI1/SLC29A1/VEGFA/CCL2/HMOX1/SOCS3/FOSB/CD33/CFLAR/SOX4/ZNF268/ANGPTL4/ABCA3/AACS/FLT3/CD7,up,FALSE
NR3C1,NR3C1,TF_Targets,Treg,SF_vs_PB_Treg,1.95389225,0.447694607,5.38206781e-7,1.87422597e-5,164,54,CDKN1A/ATP1B1/RHOB/CDK6/IL10/VDR/TIMP1/TNF/MT2A/FASLG/NR4A1/CTLA4/RXRA/PTHLH/SGK1/SLC2A3/BCL2L1/CCL5/ANXA1/S100A10/CSF2/ICAM1/GZMA/PPARG/CCR2/FOS/KRAS/VLDLR/IL1A/MMP9/IFI16/BAD/ITGB2/MT1F/SERPINE1/PLAU/FOXO1/SLC2A1/ABCA1/ELK1/FN1/HRH1/NCOA1/NFKBIA/RASD1/NR4A3/PTGS1/SLC37A4/FAS/NFIL3/TINF2/SRF/GOT1/DPAGT1,up,FALSE
NFKB2,NFKB2,TF_Targets,Treg,SF_vs_PB_Treg,2.17886111,0.593914788,8.3778251e-7,2.75537359e-5,57,29,CDKN1A/CXCL13/CDK6/IL2RA/IL10/CD2/PDLIM7/TNF/LTA/CCND2/IL32/BCL2L1/CCL20/CCL5/CSF2/CD99/HIF1A/CD44/MAPRE1/IL1A/MMP9/CCL22/HSPB1/NFKB2/NFKBIA/RAC3/FAS/IFNL1/B2M,up,FALSE
CEBPG,CEBPG,TF_Targets,Treg,SF_vs_PB_Treg,2.08334414,0.517283788,9.05434056e-7,2.8211419e-5,96,37,CDKN1A/IL1RN/DDIT4/OSM/PDLIM7/TNF/NR5A2/GADD45A/CCND2/LRPAP1/LDLR/EBP/ICAM1/CCL3/ITGAX/PPARG/PFKFB3/CCR2/FOS/ALOX5AP/ATF3/VLDLR/TUBA1A/MPO/TIMM17A/SCD/SREBF1/CTSL/YWHAZ/AKR1A1/SOD1/ALDH2/DDIT3/SFTPD/PIN1/CIITA/FAS,up,FALSE
HSF1,HSF1,TF_Targets,Treg,SF_vs_PB_Treg,2.20889946,0.583766444,1.1252358e-6,3.33069796e-5,67,30,CDKN1A/PHLDA1/IL10/STIP1/SLC6A6/TNF/HSPA1A/TXN/FASLG/SERPINH1/CLU/CSF2/LDHA/HSP90AB1/ICAM1/FOS/KRAS/ATF3/HSPA9/SERPINE1/HSPA1B/HSPB1/UBB/NR4A3/FAS/XAF1/HOPX/HSPA6/FLT1/SOCS3,up,FALSE
ESR2,ESR2,TF_Targets,Treg,SF_vs_PB_Treg,2.01203619,0.482733789,1.44409984e-6,4.07098622e-5,119,52,CDKN1A/IQGAP1/HLA-DQB1/VDR/TNF/FASLG/NR5A2/NOTCH1/GADD45A/GLRX/PDGFA/CLU/LDLR/TP63/CTSD/CAPN2/CD68/B3GAT3/GSN/TRIP10/NOS3/FOS/ARHGDIA/NINJ1/MUC1/FECH/CRYZ/PES1/MAPK8/SERPINE1/VANGL1/MED7/FHL1/NOTCH2/UBC/SRA1/NFKBIA/CTIF/PTGS1/DLG4/AKT1/VEGFA/CCL2/MEF2D/HMOX1/NELL2/GNB1/MLH1/FCGR3A/PTPRC/TDG/NCOR1,up,FALSE
TBX21,TBX21,TF_Targets,Treg,SF_vs_PB_Treg,2.18739371,0.630763795,3.38306988e-6,8.95059239e-5,43,17,CD74/PDCD1/IL2RB/CXCR3/CCL4/IL10/STAT4/DUSP16/TNF/GPR132/HAVCR2/TBX21/CCL3/B3GAT1/PTPRJ/ICOS/EGR2,up,FALSE
STAT5A,STAT5A,TF_Targets,Treg,SF_vs_PB_Treg,1.92688713,0.451842039,3.4774261e-6,8.95059239e-5,138,51,CDKN1A/SOCS2/FOXP3/IL2RA/IL10/OSM/RGS16/FOSL2/NTRK1/TNF/FKBP1A/CISH/LTA/ID2/DPF3/STAT3/CCND2/VIM/MAF/BCL2L1/PIM1/CSF2/GNLY/IL7/PTTG1/CD44/FOS/MUC1/QPCT/CPD/PRF1/MAPK8/PIAS3/LIF/HRH1/PSAP/IRF5/IL18R1/ME3/FASN/AKT1/GFI1/JAK3/DPAGT1/CCL2/SOCS3/SOCS1/HMGCR/IFNG/PIM2/PML,up,FALSE
CEBPD,CEBPD,TF_Targets,Treg,SF_vs_PB_Treg,2.18090056,0.617475849,4.2340596e-6,1.00435366e-4,47,21,CTSC/GADD45G/IL10/TNF/MIF/GADD45A/CCL20/CCL5/CSF2/EBP/HSP90AB1/PPARG/ALOX5AP/GAPDH/SOD1/DDIT3/SFTPD/CIITA/GFI1/CDC27/CCL2,up,FALSE
KLF5,KLF5,TF_Targets,Treg,SF_vs_PB_Treg,2.13693275,0.58838458,4.25049635e-6,1.00435366e-4,54,23,CDKN1A/GADD45G/NOTCH1/PDGFA/ILK/PIM1/ICAM1/GZMA/CTSD/HIF1A/PPARG/MMP9/B3GNT9/ITGB2/CXCR4/EGR1/SERPINE1/FOXO1/DHCR24/HK1/KLF4/FASN/VEGFA,up,FALSE
RFXAP,RFXAP,TF_Targets,Treg,SF_vs_PB_Treg,2.23395447,0.812156028,4.41101268e-6,1.00435366e-4,16,10,HLA-DQA2/HLA-DMA/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/HLA-DPB1/HLA-DPA1/HLA-DQA1/HLA-DMB,up,FALSE
STAT5B,STAT5B,TF_Targets,Treg,SF_vs_PB_Treg,2.08399771,0.546277144,4.65654097e-6,1.00684388e-4,70,20,CDKN1A/SOCS2/CDK6/IL2RA/IL10/OSM/RGS16/CISH/DPF3/CCND2/MAF/BCL2L1/CD4/CSF2/PPARG/MUC1/PRF1/HSPB1/RASD1/PSAP,up,FALSE
