population,signature,contrast,NES_full,pvalue_full,padj_full,NES_purged,pvalue_purged,padj_purged,delta_NES_purged_minus_full,n_genes_full,n_genes_purged,n_genes_removed,genes_removed,set_size_full_in_ranked,set_size_purged_in_ranked,evidence_tier
Treg,WT_heat_up,SF_vs_PB,2.59140430748665,5.1511006596228104e-15,1.03022013192456e-14,2.42706974421344,1.0057597095556e-11,2.0115194191112e-11,-0.16433456327321005,202,184,18,ADM;ADORA2B;AK4;ANXA2;ATF3;CCN1;CDKN1A;EGFR;F3;FOSL2;HK2;IER3;P4HA2;PDGFB;PLAUR;SDC4;SERPINE1;TGM2,120,108,primary_pseudobulk
Tcon,WT_heat_up,SF_vs_PB,2.68259085286049,5.52617078783487e-17,1.10523415756697e-16,2.55645060200689,3.46632321565203e-14,6.93264643130407e-14,-0.12614025085360003,202,184,18,ADM;ADORA2B;AK4;ANXA2;ATF3;CCN1;CDKN1A;EGFR;F3;FOSL2;HK2;IER3;P4HA2;PDGFB;PLAUR;SDC4;SERPINE1;TGM2,131,116,primary_pseudobulk
CD8,WT_heat_up,SF_vs_PB,2.06142355250022,3.43965365685505e-07,6.8793073137101e-07,1.91807723029625,3.2372709267723e-05,6.47454185354461e-05,-0.1433463222039697,202,184,18,ADM;ADORA2B;AK4;ANXA2;ATF3;CCN1;CDKN1A;EGFR;F3;FOSL2;HK2;IER3;P4HA2;PDGFB;PLAUR;SDC4;SERPINE1;TGM2,114,102,primary_pseudobulk
