population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,MitoPathways,running_sum,top 5 by |NES|,1,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism,Mitochondrial Central Dogma Mtrna Metabolism,down,-1.77244126,-0.438409899,7.3200488e-4,0.0261081741,0.0144067694,MitoPathways,69,35,0.507246377
CD8,SF_vs_PB_CD8,MitoPathways,running_sum,top 5 by |NES|,2,MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,Protein Import Sorting and Homeostasis Protein Homeostasis Chaperones,down,-1.77096162,-0.657287665,0.00784893641,0.139972699,0.070765113,MitoPathways,13,9,0.692307692
CD8,SF_vs_PB_CD8,MitoPathways,running_sum,top 5 by |NES|,3,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,Mitochondrial Central Dogma Mtrna Metabolism Mt-Trna Modifications,down,-1.7628635,-0.566313942,0.00667641785,0.139972699,0.0637844682,MitoPathways,22,13,0.590909091
CD8,SF_vs_PB_CD8,MitoPathways,running_sum,top 5 by |NES|,4,MITOPATHWAYS_Mitochondrial_central_dogma.Translation,Mitochondrial Central Dogma Translation,down,-1.6846363,-0.368163287,1.16249742e-4,0.00621936119,0.003793794,MitoPathways,143,83,0.58041958
CD8,SF_vs_PB_CD8,MitoPathways,running_sum,top 5 by |NES|,5,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Gluconeogenesis,Metabolism Carbohydrate Metabolism Gluconeogenesis,up,1.66196538,0.770037686,0.012539069,0.167710048,0.095396094,MitoPathways,7,4,0.571428571
