reference_symbol,matrix_symbol,entrez_id,n_aliases_in_vocabulary,resolution
AARS1,AARS,16,1,accepted
ABHD18,C4orf29,80167,1,accepted
ABITRAM,FAM206A,54942,1,accepted
ABRAXAS1,FAM175A,84142,1,accepted
ABRAXAS2,FAM175B,23172,1,accepted
ABTB3,BTBD11,121551,1,accepted
ACP3,ACPP,55,1,accepted
ACP7,PAPL,390928,1,accepted
ACSM6,C10orf129,142827,1,accepted
ACTMAP,C19orf54,284325,1,accepted
ADA2,CECR1,51816,1,accepted
ADGRA2,GPR124,25960,1,accepted
ADGRA3,GPR125,166647,1,accepted
ADGRB1,BAI1,575,1,accepted
ADGRB2,BAI2,576,1,accepted
ADGRD1,GPR133,283383,1,accepted
ADGRE1,EMR1,2015,1,accepted
ADGRE3,EMR3,84658,1,accepted
ADGRE5,CD97,976,1,accepted
ADGRF1,GPR110,266977,1,accepted
ADGRF3,GPR113,165082,1,accepted
ADGRF5,GPR116,221395,1,accepted
ADGRG1,GPR56,9289,1,accepted
ADGRG2,GPR64,10149,1,accepted
ADGRG3,GPR97,222487,1,accepted
ADGRG5,GPR114,221188,1,accepted
ADGRG6,GPR126,57211,1,accepted
ADGRG7,GPR128,84873,1,accepted
ADGRL1,LPHN1,22859,1,accepted
ADGRV1,GPR98,84059,1,accepted
ADISSP,C20orf27,54976,1,accepted
ADPRS,ADPRHL2,54936,1,accepted
ADSS1,ADSSL1,122622,1,accepted
ADSS2,ADSS,159,1,accepted
AFDN,MLLT4,4301,1,accepted
AFG1L,LACE1,246269,1,accepted
AFG2A,SPATA5,166378,1,accepted
AFG2B,SPATA5L1,79029,1,accepted
AGAP7P,AGAP7,653268,1,accepted
AHSA2P,AHSA2,130872,1,accepted
AIRIM,C1orf109,54955,1,accepted
AJM1,C9orf172,389813,1,accepted
AKR1C8,AKR1CL1,340811,1,accepted
ANOS1,KAL1,3730,1,accepted
ANTKMT,FAM173A,65990,1,accepted
AOPEP,C9orf3,84909,1,accepted
ARB2A,FAM172A,83989,1,accepted
ARFGEF3,KIAA1244,57221,1,accepted
ARHGAP45,HMHA1,23526,1,accepted
ARK2C,RNF165,494470,1,accepted
ARK2N,C18orf25,147339,1,accepted
ARLN,C4orf3,401152,1,accepted
ARMH3,C10orf76,79591,1,accepted
ARMH4,C14orf37,145407,1,accepted
ARPIN,C15orf38,348110,1,accepted
ATE1OSP,ATE1-AS1,100130887,1,accepted
ATG101,C12orf44,60673,1,accepted
ATOSB,FAM214B,80256,1,accepted
ATP23,XRCC6BP1,91419,1,accepted
ATP5F1A,ATP5A1,498,1,accepted
ATP5F1B,ATP5B,506,1,accepted
ATP5F1C,ATP5C1,509,1,accepted
ATP5F1D,ATP5D,513,1,accepted
ATP5F1E,ATP5E,514,1,accepted
ATP5F1EP2,ATP5EP2,432369,1,accepted
ATP5IF1,ATPIF1,93974,1,accepted
ATP5MC1,ATP5G1,516,1,accepted
ATP5MC2,ATP5G2,517,1,accepted
ATP5MC3,ATP5G3,518,1,accepted
ATP5ME,ATP5I,521,1,accepted
ATP5MF,ATP5J2,9551,1,accepted
ATP5MG,ATP5L,10632,1,accepted
ATP5MGL,ATP5L2,267020,1,accepted
ATP5MJ,C14orf2,9556,1,accepted
ATP5MK,USMG5,84833,1,accepted
ATP5PB,ATP5F1,515,1,accepted
ATP5PD,ATP5H,10476,1,accepted
ATP5PF,ATP5J,522,1,accepted
ATP5PO,ATP5O,539,1,accepted
ATPSCKMT,FAM173B,134145,1,accepted
B3GLCT,B3GALTL,145173,1,accepted
B4GAT1,B3GNT1,11041,1,accepted
BABAM2,BRE,9577,1,accepted
BACC1,C17orf49,124944,1,accepted
BBLN,C9orf16,79095,1,accepted
BBOF1,CCDC176,80127,1,accepted
BCLAF3,CXorf23,256643,1,accepted
BEX3,NGFRAP1,27018,1,accepted
BICDL1,CCDC64,92558,1,accepted
BICDL2,CCDC64B,146439,1,accepted
BICRA,GLTSCR1,29998,1,accepted
BICRAL,GLTSCR1L,23506,1,accepted
BLTP1,KIAA1109,84162,1,accepted
BLTP2,KIAA0100,9703,1,accepted
BLTP3A,UHRF1BP1,54887,1,accepted
BLTP3B,UHRF1BP1L,23074,1,accepted
BMAL1,ARNTL,406,1,accepted
BMAL2,ARNTL2,56938,1,accepted
BMERB1,C16orf45,89927,1,accepted
BORCS5,LOH12CR1,118426,1,accepted
BORCS6,C17orf59,54785,1,accepted
BORCS7,C10orf32,119032,1,accepted
BORCS8,MEF2BNB,729991,1,accepted
BPNT2,IMPAD1,54928,1,accepted
BRME1,C19orf57,79173,1,accepted
BUD23,WBSCR22,114049,1,accepted
C1QTNF12,FAM132A,388581,1,accepted
CABCOCO1,C10orf107,219621,1,accepted
CALHM6,FAM26F,441168,1,accepted
CARD17P,CARD17,440068,1,accepted
CARD19,C9orf89,84270,1,accepted
CARMIL1,LRRC16A,55604,1,accepted
CARMIL2,RLTPR,146206,1,accepted
CARMIL3,LRRC16B,90668,1,accepted
CARMN,MIR143HG,728264,1,accepted
CARNMT1,C9orf41,138199,1,accepted
CARS1,CARS,833,1,accepted
CASTOR1,GATSL3,652968,1,accepted
CASTOR2,GATSL2,729438,1,accepted
CASTOR3P,GATS,352954,1,accepted
CATIP,C2orf62,375307,1,accepted
CATSPERE,C1orf101,257044,1,accepted
CATSPERZ,TEX40,25858,1,accepted
CAVIN1,PTRF,284119,1,accepted
CAVIN2,SDPR,8436,1,accepted
CAVIN3,PRKCDBP,112464,1,accepted
CAVIN4,MURC,347273,1,accepted
CBLL2,ZNF645,158506,1,accepted
CCDC184,C12orf68,387856,1,accepted
CCDC186,C10orf118,55088,1,accepted
CCDC198,C14orf105,55195,1,accepted
CCDC32,C15orf57,90416,1,accepted
CCN4,WISP1,8840,1,accepted
CCN6,WISP3,8838,1,accepted
CCNP,CNTD2,79935,1,accepted
CCNQ,FAM58A,92002,1,accepted
CDIN1,C15orf41,84529,1,accepted
CEBPZOS,CEBPZ-AS1,100505876,1,accepted
CEMIP,KIAA1199,57214,1,accepted
CEMIP2,TMEM2,23670,1,accepted
CENATAC,CCDC84,338657,1,accepted
CENPS,APITD1,378708,1,accepted
CENPX,STRA13,201254,1,accepted
CEP126,KIAA1377,57562,1,accepted
CEP131,AZI1,22994,1,accepted
CEP15,C3orf14,57415,1,accepted
CEP162,KIAA1009,22832,1,accepted
CEP20,FOPNL,123811,1,accepted
CEP295,KIAA1731,85459,1,accepted
CEP295NL,DDC8,100653515,1,accepted
CEP43,FGFR1OP,11116,1,accepted
CEP83,CCDC41,51134,1,accepted
CERT1,COL4A3BP,10087,1,accepted
