donor,tissue,coarse_label,WT_heat_up,WT_heat_down,WT_heat_updown,score_eTreg,score_HSP,HALLMARK_HYPOXIA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,n_cells
JIA_patient_1,peripheral_blood,Treg,-0.07019465973022404,-0.0003431580276292478,-0.0698515017025948,-0.04279688945360298,0.06925737224965386,0.08256700058783188,0.08593993297091289,2360
JIA_patient_1,synovial_fluid,Treg,-0.04918696974432154,0.016396983621116957,-0.06558395336543851,0.10338392252795947,0.11120314218860612,0.09777194710047168,0.09106214640886025,1761
JIA_patient_2,peripheral_blood,Treg,-0.07656589293695518,-0.023935102964189707,-0.05263078997276547,-0.05774994567460941,0.009372370255299972,0.07193753041390194,0.08585451005258367,1271
JIA_patient_2,synovial_fluid,Treg,-0.04147816556838693,0.009864026215257218,-0.05134219178364417,0.09947032955618117,0.049509011983923275,0.08951995183405273,0.08390676292236932,2669
JIA_patient_3,peripheral_blood,Treg,-0.07562645618037002,-0.01884871938332169,-0.056777736797048305,-0.066059697363219,0.023514100828278563,0.07346751342714972,0.08444608907826202,1581
JIA_patient_3,synovial_fluid,Treg,-0.04808085646701758,0.016398395541156807,-0.06447925200817442,0.1077898886674467,0.09420317885551767,0.10039823975013074,0.08672437292022186,1636
JIA_patient_4,peripheral_blood,Treg,-0.06322177579859778,-0.0060538844994750185,-0.05716789129912276,-0.04572117337068032,0.029752444745290554,0.07717734777988024,0.08229661950730165,2230
JIA_patient_4,synovial_fluid,Treg,-0.05002744105394279,0.022696544017996603,-0.07272398507193942,0.10330033218411408,0.12237407431738187,0.10380784530364462,0.08681260705701589,2867
JIA_patient_5,peripheral_blood,Treg,-0.07035387575565695,-0.015029485909713904,-0.055324389845943046,-0.054561250306341576,0.01845714538815104,0.06844338867333563,0.08342355716426308,3942
JIA_patient_6,peripheral_blood,Treg,-0.06805252066584565,-0.011701022849437534,-0.0563514978164081,-0.0622033839484048,0.009093825581507729,0.07068158369072036,0.07907219821967479,1953
JIA_patient_6,synovial_fluid,Treg,-0.03691547666687202,0.011713449631816041,-0.04862892629868809,0.1473805700975486,0.07885292658111,0.09552402248792462,0.08612793808547167,1825
JIA_patient_7,peripheral_blood,Treg,-0.064629967880927,-0.006211367611303188,-0.05841860026962381,-0.0584910795716452,-0.008986663269833625,0.06980711895345298,0.08168819174008561,266
JIA_patient_7,synovial_fluid,Treg,-0.05621401677025523,0.013678954397976837,-0.06989297116823208,0.0697483230867415,0.0414195305682464,0.09738883205771309,0.08376114464299686,2814
JIA_patient_1,peripheral_blood,Tcon,-0.07000747727419099,-0.04274767548699671,-0.02725980178719425,-0.06540430755036263,0.08557983187532621,0.07841145851073421,0.09338428470532911,2885
JIA_patient_1,synovial_fluid,Tcon,-0.051263422268307615,-0.029867228052215974,-0.021396194216091638,0.021452656764358563,0.0037583501016379035,0.0932094123753353,0.08897239774888803,2851
JIA_patient_2,peripheral_blood,Tcon,-0.05841538820201329,-0.0494160720260618,-0.008999316175951483,-0.05654629378294892,0.04274669623011411,0.06815120501584934,0.09145611259560066,2480
JIA_patient_2,synovial_fluid,Tcon,-0.04184083064880311,-0.032153583239791436,-0.009687247409011675,0.021977276753114842,-0.0012091872463888187,0.08031553513407409,0.08491511722324163,2238
JIA_patient_3,synovial_fluid,Tcon,-0.052942595391129554,-0.02972253977252182,-0.023220055618607724,0.024057645747492515,0.011326458109106433,0.0939176903790271,0.08334339276981462,1653
JIA_patient_4,peripheral_blood,Tcon,-0.059994940318798415,-0.04446356087477982,-0.01553137944401859,-0.05510923863765967,0.06922011411748412,0.07398228955843562,0.08935295368031802,2222
JIA_patient_4,synovial_fluid,Tcon,-0.042452712429121214,-0.027187044237746177,-0.01526566819137504,0.03604882567390418,0.041557644059473056,0.10132799153680126,0.08387662797560864,2579
JIA_patient_5,peripheral_blood,Tcon,-0.06159822866573197,-0.04662936760012786,-0.014968861065604093,-0.059078346414767245,0.04332518746037848,0.06500589213964897,0.09109218813200638,3516
JIA_patient_5,synovial_fluid,Tcon,-0.03271530033895637,-0.017403481727969843,-0.015311818610986534,0.07272237539959917,0.05862539937731361,0.08743368960628205,0.0855395062477067,3074
JIA_patient_6,peripheral_blood,Tcon,-0.05498045122071839,-0.03954928040354042,-0.015431170817177957,-0.0633806641789176,0.0038375776728291114,0.05647844536247479,0.07791486625363228,4276
JIA_patient_6,synovial_fluid,Tcon,-0.03297245290184609,-0.023952947272794557,-0.009019505629051542,0.06419925508207575,0.0219355246860652,0.0844998131185581,0.07991481131123722,4454
