coarse_label,tissue,readout,n_cells,mean,sd,median,frac_above_p90,mean_pct_counts_mt,sf_minus_pb_mean,sf_minus_pb_smd,global_p90
Treg,peripheral_blood,HALLMARK_HYPOXIA,13603,0.07358391616266217,0.013802423651838092,0.0732080924855491,0.016540469014188045,4.493528392366089,0.023775152320733614,1.665233423540752,0.104757225433526
Treg,synovial_fluid,HALLMARK_HYPOXIA,13572,0.09735906848339579,0.014738049579900584,0.0970520231213873,0.29818744473916886,5.009056892253144,0.023775152320733614,1.665233423540752,0.104757225433526
Treg,peripheral_blood,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,13603,0.08336269770562492,0.016297174595767648,0.0827043908242555,0.06322134823200765,4.493528392366089,0.0026944609023277083,0.16234983961490915,0.108822545265271
Treg,synovial_fluid,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,13572,0.08605715860795263,0.01689145154891732,0.0851674907982303,0.09254347185381669,5.009056892253144,0.0026944609023277083,0.16234983961490915,0.108822545265271
Treg,peripheral_blood,WT_heat_updown,13603,-0.05827213447228981,0.04140306549186408,-0.0563416888707937,0.020730721164449017,4.493528392366089,-0.004499747681867131,-0.10284669770512973,0.021367291243110594
Treg,synovial_fluid,WT_heat_updown,13572,-0.06277188215415694,0.04598604485251425,-0.06359333512440746,0.03551429413498379,5.009056892253144,-0.004499747681867131,-0.10284669770512973,0.021367291243110594
Treg,peripheral_blood,score_HSP,13603,0.026980172193352643,0.15343690351201042,0.020183277516229947,0.10335955303977064,4.493528392366089,0.05358218472415093,0.31202169914698136,0.22466935859563977
Treg,synovial_fluid,score_HSP,13572,0.08056235691750357,0.18828229119394355,0.06940231503423569,0.16674034777483054,5.009056892253144,0.05358218472415093,0.31202169914698136,0.22466935859563977
Treg,peripheral_blood,score_eTreg,13603,-0.05387941799130255,0.03308416492359378,-0.05591859730333086,0.00014702639123722708,4.493528392366089,0.1559493434984569,2.6967811822418746,0.13854253773239697
Treg,synovial_fluid,score_eTreg,13572,0.10206992550715435,0.0748246051440584,0.09705106123626223,0.2985558502799882,5.009056892253144,0.1559493434984569,2.6967811822418746,0.13854253773239697
