group,n_cells,WT_heat_up_median,WT_heat_up_q25,WT_heat_up_q75,WT_heat_updown_median,WT_heat_updown_q25,WT_heat_updown_q75,WT_heat_up_rbc_vs_normal,WT_heat_up_p_vs_normal,WT_heat_updown_rbc_vs_normal,WT_heat_updown_p_vs_normal,evidence_tier,caveat
mt_hi_effector,291.0,-0.0363382692,-0.0558761083,-0.01458472,-0.0754815885,-0.114546614,-0.0360071876,0.479565712,4.21882367e-45,-0.169815994,6.03070841e-07,secondary_percell,secondary_percell; WT_heat_up shift is confounded (correlates with effector/depth); balanced WT_heat_updown is flat; pseudobulk go/no-go NES unchanged when these cells were recovered. NOT evidence the pocket carries heat.
mt_hi_noneffector,216.0,-0.0598541238,-0.0771875339,-0.043354194,-0.0713242711,-0.109999204,-0.042567887,nan,nan,nan,nan,secondary_percell,secondary_percell; WT_heat_up shift is confounded (correlates with effector/depth); balanced WT_heat_updown is flat; pseudobulk go/no-go NES unchanged when these cells were recovered. NOT evidence the pocket carries heat.
normal_Treg,26668.0,-0.060400581,-0.0764044838,-0.0435420453,-0.0595638646,-0.0895078342,-0.0307937985,nan,nan,nan,nan,secondary_percell,secondary_percell; WT_heat_up shift is confounded (correlates with effector/depth); balanced WT_heat_updown is flat; pseudobulk go/no-go NES unchanged when these cells were recovered. NOT evidence the pocket carries heat.
Tcon,37913.0,-0.0522273365,-0.0679271649,-0.0356001806,-0.0135512211,-0.039544201,0.0109423128,nan,nan,nan,nan,secondary_percell,secondary_percell; WT_heat_up shift is confounded (correlates with effector/depth); balanced WT_heat_updown is flat; pseudobulk go/no-go NES unchanged when these cells were recovered. NOT evidence the pocket carries heat.
CD8,34827.0,-0.0474369841,-0.063111849,-0.0311994595,-0.0371164316,-0.0683665528,-0.0070706159,nan,nan,nan,nan,secondary_percell,secondary_percell; WT_heat_up shift is confounded (correlates with effector/depth); balanced WT_heat_updown is flat; pseudobulk go/no-go NES unchanged when these cells were recovered. NOT evidence the pocket carries heat.
