"population","contrast","pathway_name","n_paired_donors","mean_sf","mean_pb","mean_difference","ci_low","ci_high","t_statistic","pvalue","padj","direction","significant"
"CD8","SF_vs_PB_CD8","Hypoxia",6,2.60163174,-3.7066325,6.30826424,2.71906528,9.8974632,4.51797453,0.00629458607,0.017624841,"up",TRUE
"CD8","SF_vs_PB_CD8","NFkB",6,1.48970308,-1.87063335,3.36033643,0.712815169,6.00785769,3.26268194,0.0223790919,0.0391634108,"up",TRUE
"CD8","SF_vs_PB_CD8","VEGF",6,1.24041782,-1.34359026,2.58400808,0.651907607,4.51610855,3.43791864,0.0184768373,0.0369536746,"up",TRUE
"CD8","SF_vs_PB_CD8","PI3K",6,0.928618331,-1.54018137,2.4687997,0.677558703,4.2600407,3.54293569,0.0165109616,0.0369536746,"up",TRUE
"CD8","SF_vs_PB_CD8","MAPK",6,0.408670132,-0.319479849,0.728149981,-1.60682316,3.06312312,0.801623403,0.459155918,0.497989676,"up",FALSE
"CD8","SF_vs_PB_CD8","Trail",6,-0.11929052,0.233731233,-0.353021753,-1.50056123,0.79451773,-0.790797458,0.464901053,0.497989676,"down",FALSE
"CD8","SF_vs_PB_CD8","Androgen",6,-0.0992337597,0.297668523,-0.396902283,-1.79401442,1.00020985,-0.730270515,0.497989676,0.497989676,"down",FALSE
"CD8","SF_vs_PB_CD8","TNFa",6,-0.446289647,0.63741171,-1.08370136,-2.94555172,0.778149004,-1.49622283,0.194846534,0.247986497,"down",FALSE
"CD8","SF_vs_PB_CD8","Estrogen",6,-1.03935845,1.17877798,-2.21813643,-4.09585495,-0.340417917,-3.03661128,0.0288623465,0.0448969834,"down",TRUE
"CD8","SF_vs_PB_CD8","p53",6,-0.977855562,1.94285618,-2.92071174,-7.26892554,1.42750206,-1.72666959,0.144811737,0.202736432,"down",FALSE
"CD8","SF_vs_PB_CD8","WNT",6,-1.8515714,2.42925254,-4.28082394,-5.51315906,-3.04848882,-8.92955825,0.000293426575,0.00136932402,"down",TRUE
