"population","database","pathway_id","direction","nes","padj","padj_pooled","set_size","n_tests_in_db","n_tests_pooled","n_sig_pooled_in_database","n_sig_per_database_only"
"Tcon","GO_BP","GOBP_ZYMOGEN_ACTIVATION","up",1.9815343,0.00339285509,0.00319037556,34,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY","up",1.71378404,0.00339285509,0.00319037556,160,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY","up",1.75273605,0.00345204598,0.00324223929,131,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_RESPIRATORY_BURST","up",2.02414385,0.00348223934,0.00326708063,27,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS","up",1.61131591,0.00348223934,0.00326708063,234,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS","up",1.99893978,0.00350868573,0.00328810162,39,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY","up",1.90170481,0.00367195719,0.00343717011,58,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS","up",1.79032319,0.00371939784,0.00347761748,110,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION","up",1.95843338,0.00377555559,0.00352613452,34,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_PYRIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS","up",1.84365133,0.003792584,0.00354670968,83,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY","up",1.85108478,0.00379566763,0.00354992301,78,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_LEUKOCYTE_HOMEOSTASIS","up",1.79256166,0.00382564479,0.00358264838,107,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION","up",1.95174447,0.00391525882,0.00366689658,49,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION","up",1.97111312,0.00394581069,0.00369583763,41,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS","up",1.69530392,0.00395843685,0.00371247966,171,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_MONOCYTE_DIFFERENTIATION","up",1.96822962,0.00397644586,0.00372951457,33,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION","up",1.59314875,0.00402039093,0.00377122183,247,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_B_CELL_PROLIFERATION","up",1.89539618,0.0040378416,0.00378551318,66,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_ENDOCYTOSIS","up",1.7680039,0.00409230649,0.00383013811,113,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_MITOCHONDRIAL_GENE_EXPRESSION","down",-1.68735825,0.00414520659,0.00387948177,156,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION","up",1.80030801,0.00414520659,0.00388033687,92,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS","up",1.83757915,0.00415942503,0.00389398933,85,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION","up",1.97891814,0.00418019832,0.00392057391,31,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY","up",1.59307175,0.00418019832,0.0039208597,242,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE","up",1.53969573,0.00422352827,0.00395626486,324,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_PIGMENT_GRANULE_LOCALIZATION","up",2.02084886,0.0042430631,0.00397367126,21,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","up",1.7744345,0.00426308446,0.00399310561,108,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION","up",1.55512295,0.00426308446,0.00399310561,288,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_MUSCLE_HYPERTROPHY_IN_RESPONSE_TO_STRESS","up",2.05186104,0.00426813905,0.00400285641,15,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION","up",1.82976878,0.00433241087,0.0040587304,82,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING","up",1.86415272,0.00435246725,0.0040826106,75,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS","up",1.72724591,0.00440262769,0.00412042497,164,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY","up",1.88261434,0.00442780454,0.00414914171,57,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS","up",1.69733765,0.00447577753,0.00420465582,159,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION","up",1.94082171,0.00447577753,0.00420996345,45,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_BONE_MINERALIZATION","up",1.92626644,0.00447577753,0.00420996345,43,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_TRANSLATIONAL_INITIATION","down",-1.72246125,0.00447577753,0.00420996345,121,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_TUMOR_CELL","up",2.01290595,0.00447642089,0.00421571872,11,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_MACROPHAGE_MIGRATION","up",1.95676292,0.00451227899,0.00424978873,33,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS","up",1.73963542,0.00453539622,0.00427186158,123,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY","up",1.88222701,0.00454401026,0.00428192327,63,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_ADAPTIVE_THERMOGENESIS","up",1.7495161,0.00454401026,0.00428545386,117,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION","up",1.99921492,0.00455732954,0.00430347262,23,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS","up",1.88037915,0.00455732954,0.00430347262,6,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS","up",1.67919535,0.00457330016,0.00431882819,163,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION","up",2.0001764,0.00463165168,0.00438438224,13,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE","up",1.9557926,0.00463165168,0.00438438224,39,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE","up",2.01236522,0.00470872792,0.00445760042,12,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION","up",1.98493141,0.00472357077,0.00447694973,27,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","up",1.69588093,0.00474820618,0.00450054442,158,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NATURAL_KILLER_CELL_ACTIVATION","up",1.82017827,0.00480917088,0.0045636988,83,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION","up",1.82705433,0.00482290139,0.00458893943,77,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_PODOSOME_ASSEMBLY","up",2.00581511,0.00482290139,0.0045930099,11,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_BONE_MINERALIZATION","up",1.85979114,0.00482290139,0.0045930099,70,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA","up",1.66429526,0.00482290139,0.0045930099,186,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_RESPONSE_TO_PEPTIDE_HORMONE","up",1.53083578,0.00493023006,0.00469843702,309,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION","up",1.91813519,0.00493023006,0.00470104555,48,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT","up",1.80438713,0.00493023006,0.00470104555,89,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","up",1.9434424,0.00496750417,0.00473819046,40,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT","up",1.99322906,0.00496750417,0.0047422121,15,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION","up",1.95911991,0.0049977812,0.00477657206,35,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE","up",1.97148525,0.005024775,0.00480360995,30,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_STEROID_BIOSYNTHETIC_PROCESS","up",1.75183959,0.005024775,0.00480360995,106,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_EXOCYTOSIS","up",1.86339864,0.00502680259,0.00481009303,59,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_AXONOGENESIS","up",1.90556072,0.00504268127,0.00483618794,51,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS","up",1.5936194,0.00504268127,0.00483618794,218,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION","up",1.83727871,0.00511755358,0.00490584106,75,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_DNA_DEAMINATION","up",1.98811716,0.00517803393,0.00495543182,12,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_MUSCLE_TISSUE_DEVELOPMENT","up",1.58785468,0.00519389968,0.00497618585,225,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION","up",1.9841245,0.00527840836,0.00505180668,20,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION","up",1.92699419,0.00528845423,0.00506157831,42,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION","up",1.97900899,0.00532045842,0.00509787801,15,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION","up",1.87034084,0.00533213817,0.00511473782,64,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE","up",1.95506617,0.00540361276,0.00518356686,9,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_RESPONSE_TO_INSULIN","up",1.62432085,0.00540361276,0.00518356686,199,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS","up",1.9855959,0.00542463192,0.00519867418,22,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_STRIATED_MUSCLE_ADAPTATION","up",1.99688753,0.00542463192,0.0052039974,21,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_ENDOTHELIAL_CELL_DEVELOPMENT","up",1.88753932,0.00557125677,0.00532770079,52,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_SEQUESTERING_OF_CALCIUM_ION","up",1.80493546,0.00558999884,0.00535544349,83,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE","up",2.03906995,0.00558999884,0.00535734185,14,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS","up",1.88732253,0.00578315723,0.00553087028,50,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION","up",1.82358184,0.00582230387,0.00557437897,74,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS","up",1.58471557,0.00582410588,0.00557865478,219,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_T_HELPER_2_CELL_DIFFERENTIATION","up",2.001647,0.0058612712,0.00561793676,17,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY","up",1.93861916,0.00590105265,0.00565621933,32,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY","up",1.72908975,0.00596983586,0.00570432671,116,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS","up",1.98130866,0.00600199743,0.00574124836,21,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_SPHINGOLIPID_METABOLIC_PROCESS","up",1.73499481,0.00617279819,0.00591098223,111,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_DENDRITIC_CELL_DIFFERENTIATION","up",1.90902186,0.00619762006,0.00592411621,41,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_LEUKOCYTE_DEGRANULATION","up",1.85627189,0.00621192222,0.00593643311,64,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_MYELOID_CELL_APOPTOTIC_PROCESS","up",1.97785189,0.00621355211,0.00594434537,19,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE","up",1.98210543,0.00623444655,0.00596451653,16,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_MUSCLE_CELL_DIFFERENTIATION","down",-1.49816878,0.00628849339,0.00601640613,269,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_MYELINATION","up",1.94732016,0.00631706085,0.00604392041,11,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_AMYLOID_BETA_CLEARANCE","up",1.93059981,0.00636625566,0.00608834774,8,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_EPIDERMIS_DEVELOPMENT","up",1.63545086,0.00636625566,0.00608834774,179,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT","up",1.64334398,0.00639722761,0.00611490663,167,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_TISSUE_REMODELING","up",1.8907113,0.00644748502,0.00615888957,49,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_RESPONSE_TO_AXON_INJURY","up",1.89294418,0.00644748502,0.00617059578,47,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_FOAM_CELL_DIFFERENTIATION","up",1.95442233,0.00644748502,0.00617626721,26,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","up",1.90055353,0.00644748502,0.00617626721,46,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY","up",1.98003863,0.00655847433,0.00627638668,16,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS","up",1.95659625,0.00656689771,0.0062909984,15,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_CHEMOKINE_PRODUCTION","up",1.88788454,0.00658132315,0.00630850409,49,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","up",1.81323578,0.00658132315,0.00631152627,72,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_FOCAL_ADHESION_ASSEMBLY","up",1.96496284,0.00669582587,0.00641502712,18,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_MATURATION_OF_LSU_RRNA","down",-1.95398875,0.00674452745,0.00646835949,32,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS","up",1.74647603,0.00696789902,0.00666935637,103,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION","up",1.96242509,0.00720576386,0.00690053529,25,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION","up",1.89687436,0.00720576386,0.00690053529,41,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_PLASMA_MEMBRANE_REPAIR","up",1.95495092,0.00720964633,0.00691527473,23,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_MUSCLE_CONTRACTION","up",1.77701705,0.00720964633,0.00691527473,86,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY","up",1.83399883,0.00722200835,0.00693419144,58,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_T_HELPER_1_CELL_DIFFERENTIATION","up",1.90824175,0.00723048666,0.00694938553,35,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_PINOCYTOSIS","up",1.96060688,0.00723256542,0.00695842515,18,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","up",1.65578884,0.00734196676,0.00703858509,152,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_PODOSOME_ASSEMBLY","up",1.92329145,0.00742592292,0.00710954765,9,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_ASTROCYTE_DEVELOPMENT","up",1.92980799,0.0074586555,0.00714810341,29,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS","up",1.89944651,0.007547469,0.00724067771,36,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_MUSCLE_CELL_MIGRATION","up",1.84854664,0.007547469,0.00724067771,56,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CYTIDINE_TO_URIDINE_EDITING","up",1.90646292,0.00761989676,0.00731033171,8,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY","up",1.76998686,0.0076778496,0.00736553526,84,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION","up",1.94863617,0.00772036629,0.00740706266,21,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION","up",1.93183743,0.00773818452,0.00743155787,10,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_DENDRITIC_CELL_MIGRATION","up",1.92891679,0.00777642814,0.00747570826,29,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT","up",1.81147321,0.00777926145,0.00748584247,62,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY","up",1.56353543,0.00781623081,0.00751425783,216,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_BONE_REMODELING","up",1.86154432,0.00782698573,0.00753202401,53,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_KINASE_ACTIVITY","up",1.73047874,0.00782826283,0.00753338092,103,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","up",1.46535165,0.00787359514,0.00756983406,393,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_AUTOPHAGY","up",1.49348486,0.00789767197,0.00760043217,322,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","up",1.70219377,0.00790500977,0.00761493653,111,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION","up",1.51637842,0.00799227585,0.00767701222,287,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS","up",1.95398758,0.00801906303,0.00771026343,19,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_VASCULAR_TRANSPORT","up",1.8559298,0.00811738967,0.00780494747,53,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS","up",1.63281968,0.00827062905,0.00793731581,161,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN","up",1.93708999,0.00827858955,0.00794512945,26,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN","up",1.9367933,0.00828164322,0.00795576735,24,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_DEVELOPMENTAL_MATURATION","up",1.58344084,0.00840196917,0.00805627582,201,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY","up",1.92373402,0.00840905448,0.00807864641,27,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA","up",1.89176585,0.00840905448,0.00807864641,38,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_T_CELL_CYTOKINE_PRODUCTION","up",1.88784754,0.0084101429,0.00808745946,37,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS","up",1.79965288,0.00843114334,0.00810786304,69,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_MUSCLE_ORGAN_DEVELOPMENT","up",1.587259,0.00850753304,0.00817373704,197,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CARBOHYDRATE_CATABOLIC_PROCESS","up",1.65452671,0.00861629948,0.00826417076,140,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_HORMONE_SECRETION","up",1.66063885,0.00861629948,0.00827083552,137,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING","up",1.87874976,0.00869739666,0.00835322005,39,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS","up",1.8553259,0.008708754,0.00835322005,52,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION","up",1.76326109,0.00879640031,0.00843642138,80,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING","up",1.94011657,0.00880655749,0.00843854723,18,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT","up",1.68805866,0.00884810357,0.00848658105,117,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION","up",1.56784571,0.00884810357,0.00848658105,207,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS","up",1.90807819,0.00899516224,0.00858831891,28,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION","up",1.90762557,0.0089992334,0.00860844033,9,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY","up",1.69142706,0.0089992334,0.00860844033,113,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION","up",1.74943629,0.00901357228,0.00863057813,85,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE","up",1.93424869,0.00901357228,0.00863835745,23,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_BODY_FLUID_LEVELS","up",1.53338917,0.00932645201,0.00891316247,231,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_RESPONSE_TO_STARVATION","up",1.6082323,0.00938474837,0.00895380637,176,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS","up",1.64737121,0.00941095681,0.00898721367,142,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_REGULATION_OF_LYMPHOCYTE_MIGRATION","up",1.82321491,0.00942109284,0.00900528951,56,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_ORGANELLE_FUSION","up",1.6422824,0.00956595027,0.00914401079,139,5902,11459,1107,1092
"Tcon","GO_BP","GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION","up",1.86972091,0.00960815183,0.00919288271,38,5902,11459,1107,1092
