"population","database","pathway_id","direction","nes","padj","padj_pooled","set_size","n_tests_in_db","n_tests_pooled","n_sig_pooled_in_database","n_sig_per_database_only"
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION","up",1.90099653,3.52936025e-05,2.3096297e-05,214,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_MACROPHAGE_APOPTOTIC_PROCESS","up",2.05960079,4.08870006e-05,2.7219881e-05,7,5777,11242,501,482
"CD8","GO_BP","GOBP_SISTER_CHROMATID_SEGREGATION","up",1.88169528,4.19218135e-05,2.83754937e-05,221,5777,11242,501,482
"CD8","GO_BP","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN","up",2.21636245,7.20206371e-05,4.78851424e-05,58,5777,11242,501,482
"CD8","GO_BP","GOBP_MITOTIC_CYTOKINESIS","up",2.10673066,7.4231846e-05,4.97302833e-05,94,5777,11242,501,482
"CD8","GO_BP","GOBP_CYTOKINESIS","up",1.96436784,8.21969319e-05,5.50243934e-05,152,5777,11242,501,482
"CD8","GO_BP","GOBP_MITOTIC_NUCLEAR_DIVISION","up",1.85767705,8.5180077e-05,5.82749334e-05,245,5777,11242,501,482
"CD8","GO_BP","GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION","up",1.7323402,8.5180077e-05,5.82749334e-05,329,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION","up",2.02379816,8.65201667e-05,6.04067017e-05,135,5777,11242,501,482
"CD8","GO_BP","GOBP_CELL_SUBSTRATE_ADHESION","up",1.85975254,8.65201667e-05,6.04067017e-05,212,5777,11242,501,482
"CD8","GO_BP","GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","up",2.25544017,8.97355887e-05,6.30224854e-05,17,5777,11242,501,482
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION","up",1.93958159,9.42708567e-05,6.70826096e-05,161,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION","up",1.79459313,0.000139394473,9.63094904e-05,260,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_T_CELL_ACTIVATION","up",1.72705243,0.000163575211,0.000112736977,325,5777,11242,501,482
"CD8","GO_BP","GOBP_METAPHASE_CHROMOSOME_ALIGNMENT","up",2.04098543,0.000173996397,0.000119775358,97,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION","up",1.94913637,0.000180256553,0.000125620225,129,5777,11242,501,482
"CD8","GO_BP","GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS","up",2.03744,0.000180256553,0.000126280059,105,5777,11242,501,482
"CD8","GO_BP","GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE","up",1.77526679,0.00021358759,0.000150396015,251,5777,11242,501,482
"CD8","GO_BP","GOBP_TRANSLATIONAL_INITIATION","down",-1.96832758,0.000241542688,0.000173481856,121,5777,11242,501,482
"CD8","GO_BP","GOBP_MACROPHAGE_APOPTOTIC_PROCESS","up",2.14810663,0.000241542688,0.000173975961,10,5777,11242,501,482
"CD8","GO_BP","GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX","down",-2.30362791,0.000253359025,0.000184888058,15,5777,11242,501,482
"CD8","GO_BP","GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX","up",2.24336099,0.000253359025,0.000184888058,19,5777,11242,501,482
"CD8","GO_BP","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","up",1.88234185,0.000253359025,0.000184888058,185,5777,11242,501,482
"CD8","GO_BP","GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY","up",1.87417611,0.000268400152,0.000200135589,169,5777,11242,501,482
"CD8","GO_BP","GOBP_CELL_MATRIX_ADHESION","up",1.93303116,0.000268400152,0.000201872386,143,5777,11242,501,482
"CD8","GO_BP","GOBP_VESICLE_LOCALIZATION","up",1.88960243,0.000268400152,0.000201872386,171,5777,11242,501,482
"CD8","GO_BP","GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS","up",1.88597613,0.000276452351,0.000209941176,148,5777,11242,501,482
"CD8","GO_BP","GOBP_ACTIN_FILAMENT_ORGANIZATION","up",1.72109758,0.000320159995,0.000243957147,309,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS","up",1.76171254,0.00038448949,0.000283805216,244,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_HEMOPOIESIS","up",1.67234791,0.000391079137,0.000290416993,331,5777,11242,501,482
"CD8","GO_BP","GOBP_TAXIS","up",1.74050454,0.000395728209,0.000294189477,271,5777,11242,501,482
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","up",1.92418219,0.000414287224,0.000313223189,125,5777,11242,501,482
"CD8","GO_BP","GOBP_PROTEIN_POLYMERIZATION","up",1.80140018,0.000414287224,0.000313522193,207,5777,11242,501,482
"CD8","GO_BP","GOBP_MYELOID_CELL_DIFFERENTIATION","up",1.66739208,0.000461981238,0.0003498918,340,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION","up",1.91463419,0.000461981238,0.000351787355,127,5777,11242,501,482
"CD8","GO_BP","GOBP_MATURATION_OF_LSU_RRNA","down",-2.22269704,0.000471298324,0.000362318826,32,5777,11242,501,482
"CD8","GO_BP","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","up",1.64785363,0.000471298324,0.000362933638,352,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_CELL_MATRIX_ADHESION","up",2.01619139,0.000506557424,0.000392267347,79,5777,11242,501,482
"CD8","GO_BP","GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT","up",1.70065293,0.000506557424,0.000392267347,304,5777,11242,501,482
"CD8","GO_BP","GOBP_TRNA_PROCESSING","down",-1.92182005,0.000506557424,0.000393281316,127,5777,11242,501,482
"CD8","GO_BP","GOBP_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION","up",2.16165248,0.000510218526,0.000399199795,13,5777,11242,501,482
"CD8","GO_BP","GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY","down",-2.25995476,0.000562959575,0.000439318295,21,5777,11242,501,482
"CD8","GO_BP","GOBP_CYTOKINETIC_PROCESS","up",2.0780724,0.000647586893,0.000509467,50,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_PLASMA_MEMBRANE_ORGANIZATION","up",2.16977006,0.000647586893,0.000514111192,15,5777,11242,501,482
"CD8","GO_BP","GOBP_CHROMOSOME_LOCALIZATION","up",1.89515282,0.000647586893,0.000514111192,112,5777,11242,501,482
"CD8","GO_BP","GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE","up",2.07726717,0.000669902779,0.000530396828,54,5777,11242,501,482
"CD8","GO_BP","GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS","up",1.79843551,0.0006880014,0.000545937091,189,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","up",1.6033004,0.000735834213,0.000577087997,400,5777,11242,501,482
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION","up",1.69863811,0.000890039292,0.000692803996,281,5777,11242,501,482
"CD8","GO_BP","GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT","up",1.81047051,0.000960095113,0.000757667067,164,5777,11242,501,482
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT","up",1.80907202,0.000960095113,0.000757667067,164,5777,11242,501,482
"CD8","GO_BP","GOBP_DNA_CYTOSINE_DEAMINATION","up",2.03095151,0.00098893097,0.000778528503,8,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT","up",1.74054638,0.00103506974,0.00081658305,232,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS","up",1.78224661,0.00103754923,0.000823922677,157,5777,11242,501,482
"CD8","GO_BP","GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION","up",1.85971376,0.00104372749,0.000838657569,127,5777,11242,501,482
"CD8","GO_BP","GOBP_ESTABLISHMENT_OF_CELL_POLARITY","up",1.84766829,0.00104372749,0.000842469306,116,5777,11242,501,482
"CD8","GO_BP","GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS","up",1.77799113,0.00104372749,0.000844777652,179,5777,11242,501,482
"CD8","GO_BP","GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION","up",2.06303983,0.00104372749,0.000846285877,35,5777,11242,501,482
"CD8","GO_BP","GOBP_LYMPHOCYTE_CHEMOTAXIS","up",2.08538916,0.00119473853,0.000960470873,32,5777,11242,501,482
"CD8","GO_BP","GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION","up",1.86617168,0.00119473853,0.000963762361,119,5777,11242,501,482
"CD8","GO_BP","GOBP_GLIAL_CELL_DEVELOPMENT","up",1.9250275,0.00128444376,0.00103355606,85,5777,11242,501,482
