group,pathway_id,cell_state,source_table,tested,contrast,nes,pvalue,padj_per_collection,padj_pooled,significant_pooled,genes_in_ranked_list,leading_edge_size,rank_padj_pooled,rank_nes_signed,n_sets_in_pooled_family
cGAS-STING and interferon,ifn_only_up,Tcon,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Tcon,2.32913742,8.92266089e-09,1.78453218e-08,6.16818299e-07,True,72.0,30.0,170,63,11752.0
cGAS-STING and interferon,ifn_only_up,CD8,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_CD8,2.60345181,2.08966781e-12,4.17933563e-12,5.12724451e-10,True,59.0,38.0,47,2,11532.0
cGAS-STING and interferon,HALLMARK_INTERFERON_ALPHA_RESPONSE,Treg,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Treg,2.33602879,1.80356582e-09,8.19802646e-09,1.98281226e-07,True,93.0,52.0,104,62,11514.0
cGAS-STING and interferon,HALLMARK_INTERFERON_ALPHA_RESPONSE,Tcon,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Tcon,2.27584434,5.03834585e-09,2.09931077e-08,3.70066503e-07,True,93.0,40.0,160,90,11752.0
cGAS-STING and interferon,HALLMARK_INTERFERON_ALPHA_RESPONSE,CD8,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_CD8,2.22776361,1.15208206e-08,9.60068382e-08,1.60070004e-06,True,93.0,36.0,83,30,11532.0
"Proteostasis, inflammation and the effector-Treg reference",HSR_core,Treg,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Treg,1.48548119,0.0319525992,0.0319525992,0.150717832,False,44.0,20.0,2441,2493,11514.0
"Proteostasis, inflammation and the effector-Treg reference",HSR_core,Tcon,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Tcon,-1.3293108,0.084939843,0.0990964835,0.233554758,False,44.0,10.0,4274,11218,11752.0
"Proteostasis, inflammation and the effector-Treg reference",HSR_core,CD8,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_CD8,-1.12795746,0.257263391,0.257263391,0.523320499,False,44.0,9.0,5669,10258,11532.0
"Proteostasis, inflammation and the effector-Treg reference",HALLMARK_TNFA_SIGNALING_VIA_NFKB,Treg,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Treg,2.27879527,1.5146303e-11,1.26219192e-10,3.18548172e-09,True,176.0,81.0,54,89,11514.0
"Proteostasis, inflammation and the effector-Treg reference",HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tcon,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Tcon,2.49573568,1.51935524e-15,2.01221477e-14,4.15243322e-13,True,180.0,80.0,43,22,11752.0
