lineage,n_cells,n_hook_lineage,frac_hook_lineage,n_hook_effector,frac_hook_effector,n_hook_mthi_viable,frac_hook_mthi_viable,n_hook_or_union,frac_hook_or_union,n_anno_heat_hi,frac_anno_heat_hi,n_anno_heat_lo,frac_anno_heat_lo,median_WT_heat_up,median_score_eTreg,median_score_HSP,median_pct_counts_mt,median_n_genes_by_counts
Tcon,37913,0,0.0,1395,0.03679476696647588,0,0.0,1395,0.03679476696647588,3851,0.10157465776910295,3247,0.08564344683881518,-0.0522273365420068,-0.022949995931934697,0.02321961051539373,4.974036693572998,1817.0
CD8,34827,0,0.0,4543,0.13044476986246303,0,0.0,4543,0.13044476986246303,4411,0.12665460705774256,2262,0.06494960806270997,-0.0474369840556324,0.04286645869768052,-0.018516912105480177,5.522592544555664,1785.0
Treg,27175,27175,1.0,4054,0.14918123275068998,340,0.012511499540018399,27175,1.0,1730,0.06366145354185833,4483,0.1649678012879485,-0.0602321583695034,-0.0030571864878962823,0.04374631438982468,4.24715518951416,2092.0
