lineage,n_cells,median_WT_heat_up,mean_WT_heat_up,median_score_eTreg,mean_score_eTreg,median_score_HSP,mean_score_HSP,median_pct_counts_mt,mean_pct_counts_mt
Tcon,37913,-0.0522273365420068,-0.050773563225298426,-0.022949995931934697,-0.007918935343635141,0.02321961051539373,0.030764357106266065,4.974036693572998,6.943910121917725
CD8,34827,-0.0474369840556324,-0.046686669651499,0.04286645869768052,0.04966642373437697,-0.018516912105480177,-0.007814147029041537,5.522592544555664,6.830621719360352
Treg,27175,-0.0602321583695034,-0.058727771006284055,-0.0030571864878962823,0.024006303810392274,0.04374631438982468,0.05374070249974368,4.24715518951416,4.750998497009277
