membership_category,n_cells,frac_all_cells,frac_of_union,n_all_cells,n_union,union_frac_all_cells
baseline (not in union),66802,0.6685883000550468,,99915,33113,0.33141169994495323
lineage only,22879,0.2289846369414002,0.6909370941926132,99915,33113,0.33141169994495323
effector only,5938,0.059430515938547764,0.1793253405007097,99915,33113,0.33141169994495323
lineage + effector,3956,0.03959365460641545,0.11946969468184701,99915,33113,0.33141169994495323
mt-hi viable pocket,340,0.0034028924585898014,0.010267870624830127,99915,33113,0.33141169994495323
