population,mouse_arm,subcomponent,curated_set,contrast,n_genes,set_size_in_ranked,gsea_min_size,testable,untestable_reason,nes,pvalue,padj,leading_edge,evidence_tier
Tcon,WT_heat_down,upr_er,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,SF_vs_PB,0,0,5,False,no WT_heat_down gene belongs to this curated set,,,,,secondary_annotation
Tcon,WT_heat_down,hypoxia,HALLMARK_HYPOXIA,SF_vs_PB,0,0,5,False,no WT_heat_down gene belongs to this curated set,,,,,secondary_annotation
Tcon,WT_heat_down,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,SF_vs_PB,2,2,5,False,"2 of 2 gene(s) present in the ranked list, below the gsea_min_size floor of 5",,,,,secondary_annotation
Tcon,WT_heat_down,ifn_type_i,HALLMARK_INTERFERON_ALPHA_RESPONSE,SF_vs_PB,3,3,5,False,"3 of 3 gene(s) present in the ranked list, below the gsea_min_size floor of 5",,,,,secondary_annotation
Tcon,WT_heat_down,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,SF_vs_PB,2,2,5,False,"2 of 2 gene(s) present in the ranked list, below the gsea_min_size floor of 5",,,,,secondary_annotation
Tcon,WT_heat_down,t_activation,HALLMARK_IL2_STAT5_SIGNALING,SF_vs_PB,6,5,5,True,,1.48592256185261,0.0524079867145561,0.0611426511669821,RHOB;ITGAE;AHR,secondary_annotation
Tcon,WT_heat_down,unassigned,(none),SF_vs_PB,83,51,5,True,,1.2716906949467,0.125794433486741,0.125794433486741,PDE4A;HLA-DRB5;HLA-DRB1;ENTPD1;GALNT10;CIITA;BMF;CEACAM1,secondary_annotation
CD8,WT_heat_up,thermal_proteostasis,HSR_core,SF_vs_PB,2,2,5,False,"2 of 2 gene(s) present in the ranked list, below the gsea_min_size floor of 5",,,,,secondary_annotation
CD8,WT_heat_up,upr_er,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,SF_vs_PB,1,1,5,False,"1 of 1 gene(s) present in the ranked list, below the gsea_min_size floor of 5",,,,,secondary_annotation
CD8,WT_heat_up,hypoxia,HALLMARK_HYPOXIA,SF_vs_PB,18,12,5,True,,1.81836310074011,0.00306072012471,0.0107125204364853,CDKN1A;ANXA2;SDC4;AK4;ATF3;SERPINE1,secondary_annotation
