group,n_cells,frac_of_total
drafted (hook_or_union),33113.0,0.3314117
not drafted (background),66802.0,0.6685883
drafted: hook_lineage,27175.0,0.271981184
drafted: hook_effector,9992.0,0.100005004
drafted: hook_mthi_viable,340.0,0.00340289246
