membership_category,n_cells,frac_all_cells,frac_of_union,n_all_cells,n_union,union_frac_all_cells
baseline (not in union),66802.0,0.6685883,nan,99915.0,33113.0,0.3314117
lineage only,22879.0,0.228984637,0.690937094,99915.0,33113.0,0.3314117
effector only,5938.0,0.0594305159,0.179325341,99915.0,33113.0,0.3314117
lineage + effector,3956.0,0.0395936546,0.119469695,99915.0,33113.0,0.3314117
mt-hi viable pocket,340.0,0.00340289246,0.0102678706,99915.0,33113.0,0.3314117
