population,mouse_arm,subcomponent,curated_set,contrast,n_genes,set_size_in_ranked,nes,pvalue,padj,n_ranked_genes,evidence_tier
Treg,WT_heat_up,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,SF_vs_PB,21.0,12.0,1.90000131,0.00081326359,0.00142321128,14714.0,secondary_annotation
Tcon,WT_heat_up,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,SF_vs_PB,21.0,11.0,1.95753337,0.000318638477,0.000557617334,15229.0,secondary_annotation
CD8,WT_heat_up,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,SF_vs_PB,21.0,12.0,1.51864021,0.0488194365,0.0873916979,15070.0,secondary_annotation
