population,mouse_arm,subcomponent,curated_set,contrast,n_genes,set_size_in_ranked,nes,pvalue,padj,n_ranked_genes,evidence_tier
Treg,WT_heat_up,unassigned,(none),SF_vs_PB,137.0,70.0,2.21480227,2.78892833e-07,1.95224983e-06,13999.0,secondary_annotation
Tcon,WT_heat_up,unassigned,(none),SF_vs_PB,137.0,75.0,2.27240852,1.04045581e-07,7.28319068e-07,14411.0,secondary_annotation
CD8,WT_heat_up,unassigned,(none),SF_vs_PB,137.0,66.0,2.09750546,5.48642076e-06,3.84049453e-05,14014.0,secondary_annotation
