population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,Reactome,running_sum,top 5 by |NES|,1,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Eukaryotic Translation Elongation,down,-3.75800103,-0.882296005,5.2803466499999995e-50,4.18995506e-47,2.0297652499999997e-46,Reactome,92,80,0.869565217
CD8,SF_vs_PB_CD8,Reactome,running_sum,top 5 by |NES|,2,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,Eukaryotic Translation Initiation,down,-3.73428709,-0.840580569,6.830121509999999e-51,1.08394028e-47,5.75261461e-47,Reactome,118,88,0.745762712
CD8,SF_vs_PB_CD8,Reactome,running_sum,top 5 by |NES|,3,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Srp Dependent Cotranslational Protein Targeting to Membrane,down,-3.72290672,-0.846658525,1.6407610899999995e-49,8.67962614e-47,3.7842513699999995e-46,Reactome,111,80,0.720720721
CD8,SF_vs_PB_CD8,Reactome,running_sum,top 5 by |NES|,4,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,Response of Eif2ak4 Gcn2 to Amino Acid Deficiency,down,-3.70028026,-0.856614539,6.72955134e-47,2.66994949e-44,1.10864551e-43,Reactome,100,77,0.77
CD8,SF_vs_PB_CD8,Reactome,running_sum,top 5 by |NES|,5,REACTOME_SELENOAMINO_ACID_METABOLISM,Selenoamino Acid Metabolism,down,-3.66624976,-0.834942676,1.02944008e-46,3.2674428e-44,1.31905589e-43,Reactome,110,81,0.736363636
