set_a,set_b,n_a,n_b,n_intersect,jaccard,genes_intersect
WT_heat_up,HSR_core,202.0,56.0,2.0,0.0078125,HSPA1A;HSPH1
WT_heat_up,HSR_sensitivity,202.0,176.0,4.0,0.0106951872,ANO1;HSPA1A;HSPH1;IL1A
