gsm,n_cells_in,log1p_total_counts_lo,log1p_total_counts_hi,log1p_n_genes_by_counts_lo,log1p_n_genes_by_counts_hi,pct_mt_hi,pct_mt_ceiling,mt_policy,excluded_gsm,n_flagged_outlier
GSM4859835,2942,7.65759801864624,9.690454959869385,6.973520903512683,8.270828286122562,40.0,40.0,ceiling_only,False,86
GSM4859836,2368,7.459805488586426,9.444010734558105,6.739476073621376,8.114812193195853,40.0,40.0,ceiling_only,False,110
GSM4859837,1770,7.497125148773193,9.695806980133057,6.864501340006072,8.32828326812232,40.0,40.0,ceiling_only,False,111
GSM4859838,2726,7.4755072593688965,9.652454853057861,6.6991100593506605,8.223020969357906,40.0,40.0,ceiling_only,False,133
GSM4859839,3132,7.504576683044434,9.795722007751465,6.8952514415938975,8.37728776516485,40.0,40.0,ceiling_only,False,58
GSM4859840,4462,5.599257946014404,11.519520282745361,5.745202300174023,9.411088383023467,40.0,40.0,ceiling_only,False,7
GSM4859841,2757,7.68780517578125,9.590662002563477,6.895186064557182,8.167918698257397,40.0,40.0,ceiling_only,False,102
GSM4859842,2961,7.87862491607666,9.753005027770996,6.981187753993366,8.299058591397362,40.0,40.0,ceiling_only,False,74
GSM4859843,2611,7.777242660522461,9.576272964477539,6.852222962915484,8.107505299414568,40.0,40.0,ceiling_only,False,121
GSM4859844,2324,7.514981269836426,9.634055137634277,6.722945979091367,8.08439460093338,40.0,40.0,ceiling_only,False,85
GSM4859845,3863,7.550691604614258,9.708208084106445,6.761531086964727,8.157146703475863,40.0,40.0,ceiling_only,False,345
GSM4859846,4317,5.249270439147949,11.557883262634277,5.23231349380738,9.330457833333185,40.0,40.0,ceiling_only,False,41
GSM4859847,3210,7.670724391937256,9.637787342071533,6.806999134623775,8.065056498079922,40.0,40.0,ceiling_only,False,173
GSM4859848,1819,7.780950546264648,10.022600173950195,7.117828509332715,8.529463352337189,40.0,40.0,ceiling_only,False,49
GSM4859849,2776,7.700960636138916,9.601438045501709,6.9721035687212485,8.300435638037499,40.0,40.0,ceiling_only,False,107
GSM4859850,1657,7.414255142211914,10.329036712646484,6.944232432657662,8.712640285657507,40.0,40.0,ceiling_only,False,15
GSM4859851,2870,7.251014709472656,10.423622131347656,6.687210061106836,8.796725738534533,40.0,40.0,ceiling_only,False,3
GSM4859852,3426,2.0822348594665527,3.3338656425476074,1.186867336422997,3.418302849565094,40.0,40.0,ceiling_only,True,188
GSM4859853,1995,7.4996442794799805,10.471245765686035,6.929920341161017,8.771844988458687,40.0,40.0,ceiling_only,False,156
GSM4859854,2882,7.757436752319336,9.91050910949707,7.029936806004864,8.51514748563349,40.0,40.0,ceiling_only,False,67
GSM4859855,2468,7.666744709014893,9.588756084442139,6.945749672552321,8.333534903163704,40.0,40.0,ceiling_only,False,92
GSM4859856,1299,6.948232650756836,10.440101623535156,6.366970107224621,8.941916345715601,40.0,40.0,ceiling_only,False,25
GSM4859857,1662,7.474695682525635,9.880353450775146,6.783315884443075,8.484874910867012,40.0,40.0,ceiling_only,False,69
GSM4859858,2391,7.465965270996094,9.320919036865234,6.727630794831703,8.10512616355415,40.0,40.0,ceiling_only,False,146
GSM4859859,4197,7.3998212814331055,9.527764320373535,6.5998982365265215,8.293271961788928,40.0,40.0,ceiling_only,False,253
GSM4859860,2287,7.113726615905762,9.93103313446045,6.370800172917098,8.581011765817696,40.0,40.0,ceiling_only,False,322
GSM4859861,356,7.560499668121338,9.52872610092163,6.648899407066108,8.195249372578708,40.0,40.0,ceiling_only,False,53
GSM4859862,2863,7.475481033325195,9.493446350097656,6.826937884475553,8.276486546227067,40.0,40.0,ceiling_only,False,74
GSM4859863,2608,7.092691421508789,9.609113693237305,6.5225132909859695,8.355429893805754,40.0,40.0,ceiling_only,False,56
GSM4859864,2557,7.394371032714844,9.517965316772461,6.807999305293744,8.318401879422396,40.0,40.0,ceiling_only,False,63
GSM4859865,2516,6.956855773925781,9.975997924804688,6.387215937268758,8.49249005252725,40.0,40.0,ceiling_only,False,10
GSM4859866,2938,7.483063697814941,9.64661693572998,6.852957819154091,8.336810955278946,40.0,40.0,ceiling_only,False,290
GSM4859867,3551,6.928652763366699,10.034893989562988,6.395262877577236,8.622311463691316,40.0,40.0,ceiling_only,False,264
GSM4859868,2897,7.651294708251953,9.377082824707031,6.880742788866531,8.157557126473115,40.0,40.0,ceiling_only,False,127
GSM4859869,2680,7.533243656158447,9.619000911712646,6.897334430425811,8.25895651441312,40.0,40.0,ceiling_only,False,123
GSM4859870,1829,7.574392318725586,9.667993545532227,6.857620998720018,8.250000705296445,40.0,40.0,ceiling_only,False,189
GSM4859871,2802,7.606875419616699,9.373795509338379,6.84276169908561,7.95847945565666,40.0,40.0,ceiling_only,False,125
GSM4859872,3195,7.374616622924805,9.397274017333984,6.6940487310709385,8.067709340057295,40.0,40.0,ceiling_only,False,407
GSM4859873,3362,6.097053050994873,10.718372821807861,5.910647256180493,8.86600846297372,40.0,40.0,ceiling_only,False,50
GSM4859874,3088,7.763729572296143,9.379821300506592,6.908195971042764,7.966216762699821,40.0,40.0,ceiling_only,False,223
