metric,metric_tier,median_mthi_eff,median_mthi_noneff,median_normal,mannwhitney_u,rank_biserial,pvalue,elevated_in_pocket,fdr,comparison,evidence_tier,doublet_score_n_nonnull,qc_min_genes_floor
n_genes_by_counts,objective_qc,1338.0,877.0,2105.0,951646.5,-0.7547425463778358,5.482864926778348e-109,False,1.0965729853556696e-108,mt_hi_effector_vs_normal_Treg,secondary_percell,27175,200
total_counts,objective_qc,2651.0,1604.0,5878.0,396141.5,-0.897906779918736,1.9835787106787852e-153,False,7.934314842715141e-153,mt_hi_effector_vs_normal_Treg,secondary_percell,27175,200
score_apoptosis,tier3_handmarker_descriptive,0.04582842826843264,0.038149747848510746,0.09264279047648113,3341226.0,-0.13890233323385381,4.468857490509511e-05,False,4.468857490509511e-05,mt_hi_effector_vs_normal_Treg,secondary_percell,27175,200
score_HSP,tier3_handmarker_descriptive,-0.028465099823780593,-0.15449545915264234,0.045498179497690305,3011777.0,-0.2238076240517871,4.805635561228437e-11,False,6.407514081637916e-11,mt_hi_effector_vs_normal_Treg,secondary_percell,27175,200
