group,n_cells,WT_heat_up_median,WT_heat_up_q25,WT_heat_up_q75,WT_heat_updown_median,WT_heat_updown_q25,WT_heat_updown_q75,WT_heat_up_rbc_vs_normal,WT_heat_up_p_vs_normal,WT_heat_updown_rbc_vs_normal,WT_heat_updown_p_vs_normal,evidence_tier,caveat
mt_hi_effector,291,-0.0363382692453986,-0.05587610831169205,-0.01458472000871135,-0.0754815884548521,-0.11454661404464285,-0.036007187581541755,0.47956571243602775,4.2188236740157536e-45,-0.16981599373639567,6.03070840633461e-07,secondary_percell,secondary_percell; WT_heat_up shift is confounded (correlates with effector/depth); balanced WT_heat_updown is flat; pseudobulk go/no-go NES unchanged when these cells were recovered. NOT evidence the pocket carries heat.
mt_hi_noneffector,216,-0.059854123834617204,-0.07718753391830338,-0.04335419403403627,-0.071324271097921,-0.10999920426912604,-0.042567886998961475,,,,,secondary_percell,secondary_percell; WT_heat_up shift is confounded (correlates with effector/depth); balanced WT_heat_updown is flat; pseudobulk go/no-go NES unchanged when these cells were recovered. NOT evidence the pocket carries heat.
normal_Treg,26668,-0.06040058095475425,-0.07640448379204055,-0.04354204533674155,-0.05956386460020645,-0.08950783424223112,-0.030793798536169627,,,,,secondary_percell,secondary_percell; WT_heat_up shift is confounded (correlates with effector/depth); balanced WT_heat_updown is flat; pseudobulk go/no-go NES unchanged when these cells were recovered. NOT evidence the pocket carries heat.
Tcon,37913,-0.0522273365420068,-0.0679271649274979,-0.0356001805549756,-0.0135512210806466,-0.0395442009573891,0.0109423127579063,,,,,secondary_percell,secondary_percell; WT_heat_up shift is confounded (correlates with effector/depth); balanced WT_heat_updown is flat; pseudobulk go/no-go NES unchanged when these cells were recovered. NOT evidence the pocket carries heat.
CD8,34827,-0.0474369840556324,-0.06311184898112204,-0.03119945947271455,-0.037116431606282,-0.0683665527743514,-0.0070706158982152,,,,,secondary_percell,secondary_percell; WT_heat_up shift is confounded (correlates with effector/depth); balanced WT_heat_updown is flat; pseudobulk go/no-go NES unchanged when these cells were recovered. NOT evidence the pocket carries heat.
