"pathway_id","scored_in_population","contrast","nes","pvalue","padj","set_size","direction","seed_population","gate","gse","seeded_from_this_population","n_genes","n_seed_genes","frac_seed_genes","pctVar","hit_rank","terms_aligned_with_query"
"CORESH_tcon_up_fdr_logfc_GSE102751","treg","SF_vs_PB_Treg",2.11743632,2.12133123e-05,4.94977286e-05,34,"Up","tcon","fdr_logfc","GSE102751",FALSE,50,36,0.72,15.6475133,1,"lung / explants"
"CORESH_tcon_up_fdr_logfc_GSE150876","cd8","SF_vs_PB_CD8",1.65482032,0.00862314351,0.0120724009,38,"Up","tcon","fdr_logfc","GSE150876",FALSE,50,36,0.72,10.3706827,5,"fresh / control / yonatan / fadi / fresh"
"CORESH_tcon_up_fdr_logfc_GSE150876","tcon","SF_vs_PB_Tcon",2.54152915,2.90160302e-10,1.33716605e-09,47,"Up","tcon","fdr_logfc","GSE150876",TRUE,50,36,0.72,10.3706827,5,"fresh / control / yonatan / fadi / fresh"
"CORESH_tcon_up_fdr_logfc_GSE150876","treg","SF_vs_PB_Treg",1.25991828,0.142061885,0.157015768,41,"Up","tcon","fdr_logfc","GSE150876",FALSE,50,36,0.72,10.3706827,5,"fresh / control / yonatan / fadi / fresh"
"CORESH_tcon_up_fdr_only_GSE118383","cd8","SF_vs_PB_CD8",-1.3647319,0.0682946498,0.0717093823,43,"Down","tcon","fdr_only","GSE118383",FALSE,50,13,0.26,20.6537003,1,"wild / type / crtl / fractionated / absorbance"
"CORESH_tcon_up_fdr_only_GSE118383","tcon","SF_vs_PB_Tcon",1.30134248,0.111515535,0.130101458,45,"Up","tcon","fdr_only","GSE118383",TRUE,50,13,0.26,20.6537003,1,"wild / type / crtl / fractionated / absorbance"
"CORESH_tcon_up_fdr_only_GSE118383","treg","SF_vs_PB_Treg",1.44196885,0.047426258,0.0586722765,41,"Up","tcon","fdr_only","GSE118383",FALSE,50,13,0.26,20.6537003,1,"wild / type / crtl / fractionated / absorbance"
"CORESH_tcon_up_fdr_only_GSE173929","cd8","SF_vs_PB_CD8",-1.6058436,0.010739071,0.0140950306,45,"Down","tcon","fdr_only","GSE173929",FALSE,50,12,0.24,20.4375825,2,"syndrome / clinical / isolated"
"CORESH_tcon_up_fdr_only_GSE173929","tcon","SF_vs_PB_Tcon",-1.18105601,0.196011515,0.216644306,46,"Down","tcon","fdr_only","GSE173929",TRUE,50,12,0.24,20.4375825,2,"syndrome / clinical / isolated"
"CORESH_tcon_up_fdr_only_GSE173929","treg","SF_vs_PB_Treg",-1.01464132,0.422976266,0.444125079,45,"Down","tcon","fdr_only","GSE173929",FALSE,50,12,0.24,20.4375825,2,"syndrome / clinical / isolated"
"CORESH_tcon_up_fdr_only_GSE216963","cd8","SF_vs_PB_CD8",2.12358762,9.58455707e-06,1.82977908e-05,48,"Up","tcon","fdr_only","GSE216963",FALSE,50,25,0.5,20.2308929,3,"neoformans / cryptococcus / with"
"CORESH_tcon_up_fdr_only_GSE216963","tcon","SF_vs_PB_Tcon",1.97017399,0.000200047827,0.00030007174,49,"Up","tcon","fdr_only","GSE216963",TRUE,50,25,0.5,20.2308929,3,"neoformans / cryptococcus / with"
"CORESH_tcon_up_fdr_only_GSE216963","treg","SF_vs_PB_Treg",2.18553795,2.31561536e-06,9.7255845e-06,49,"Up","tcon","fdr_only","GSE216963",FALSE,50,25,0.5,20.2308929,3,"neoformans / cryptococcus / with"
"CORESH_tcon_up_fdr_only_GSE86566","cd8","SF_vs_PB_CD8",0.940683981,0.540247072,0.540247072,14,"Up","tcon","fdr_only","GSE86566",FALSE,48,2,0.0416666667,19.5736161,5,"exome / rrna"
"CORESH_tcon_up_fdr_only_GSE86566","tcon","SF_vs_PB_Tcon",1.04534705,0.404091397,0.424295967,13,"Up","tcon","fdr_only","GSE86566",TRUE,48,2,0.0416666667,19.5736161,5,"exome / rrna"
"CORESH_tcon_up_fdr_only_GSE86566","treg","SF_vs_PB_Treg",0.764330361,0.776082355,0.776082355,13,"Up","tcon","fdr_only","GSE86566",FALSE,48,2,0.0416666667,19.5736161,5,"exome / rrna"
"CORESH_treg_up_fdr_logfc_GSE110097","cd8","SF_vs_PB_CD8",2.13786351,7.33663829e-06,1.54069404e-05,46,"Up","treg","fdr_logfc","GSE110097",FALSE,50,17,0.34,7.59606857,1,"anti-cd28 / th17cd28 / th0cd28"
"CORESH_treg_up_fdr_logfc_GSE110097","tcon","SF_vs_PB_Tcon",2.53263319,3.18372869e-10,1.33716605e-09,46,"Up","treg","fdr_logfc","GSE110097",FALSE,50,17,0.34,7.59606857,1,"anti-cd28 / th17cd28 / th0cd28"
"CORESH_treg_up_fdr_logfc_GSE110097","treg","SF_vs_PB_Treg",2.24414822,5.13115339e-07,2.69385553e-06,46,"Up","treg","fdr_logfc","GSE110097",TRUE,50,17,0.34,7.59606857,1,"anti-cd28 / th17cd28 / th0cd28"
"CORESH_treg_up_fdr_logfc_GSE199729","cd8","SF_vs_PB_CD8",-1.518345,0.0230336937,0.025458293,43,"Down","treg","fdr_logfc","GSE199729",FALSE,50,15,0.3,7.29497798,2,"ccr5"
"CORESH_treg_up_fdr_logfc_GSE199729","tcon","SF_vs_PB_Tcon",1.72384685,0.00391513677,0.005138617,43,"Up","treg","fdr_logfc","GSE199729",FALSE,50,15,0.3,7.29497798,2,"ccr5"
"CORESH_treg_up_fdr_logfc_GSE199729","treg","SF_vs_PB_Treg",1.44272028,0.0474966048,0.0586722765,40,"Up","treg","fdr_logfc","GSE199729",TRUE,50,15,0.3,7.29497798,2,"ccr5"
"CORESH_treg_up_fdr_logfc_GSE114065","cd8","SF_vs_PB_CD8",1.92466014,0.000246119516,0.000430709152,48,"Up","treg","fdr_logfc","GSE114065",FALSE,50,15,0.3,7.27642323,3,"removed / female / resolved / other / allergic"
"CORESH_treg_up_fdr_logfc_GSE114065","tcon","SF_vs_PB_Tcon",2.11689687,1.85704569e-05,3.24982996e-05,49,"Up","treg","fdr_logfc","GSE114065",FALSE,50,15,0.3,7.27642323,3,"removed / female / resolved / other / allergic"
"CORESH_treg_up_fdr_logfc_GSE114065","treg","SF_vs_PB_Treg",2.07802941,1.60334215e-05,4.20877315e-05,50,"Up","treg","fdr_logfc","GSE114065",TRUE,50,15,0.3,7.27642323,3,"removed / female / resolved / other / allergic"
"CORESH_treg_up_fdr_logfc_GSE173807","cd8","SF_vs_PB_CD8",1.73055121,0.00643502864,0.00965254296,24,"Up","treg","fdr_logfc","GSE173807",FALSE,50,13,0.26,7.24907043,5,"neutrophils-treated / control / untreated"
"CORESH_treg_up_fdr_logfc_GSE173807","tcon","SF_vs_PB_Tcon",2.28788874,8.62108982e-07,1.81042886e-06,34,"Up","treg","fdr_logfc","GSE173807",FALSE,50,13,0.26,7.24907043,5,"neutrophils-treated / control / untreated"
"CORESH_treg_up_fdr_logfc_GSE173807","treg","SF_vs_PB_Treg",2.21868049,5.78765355e-06,1.73629607e-05,25,"Up","treg","fdr_logfc","GSE173807",TRUE,50,13,0.26,7.24907043,5,"neutrophils-treated / control / untreated"
"CORESH_treg_up_fdr_only_GSE237034","cd8","SF_vs_PB_CD8",-2.23255598,1.97293629e-06,5.17895777e-06,48,"Down","treg","fdr_only","GSE237034",FALSE,50,8,0.16,18.6493394,1,"multiplexed-fibroblast"
"CORESH_treg_up_fdr_only_GSE237034","tcon","SF_vs_PB_Tcon",-2.033253,2.83367535e-05,4.57747557e-05,48,"Down","treg","fdr_only","GSE237034",FALSE,50,8,0.16,18.6493394,1,"multiplexed-fibroblast"
"CORESH_treg_up_fdr_only_GSE237034","treg","SF_vs_PB_Treg",-1.56612541,0.0129144615,0.0208618224,48,"Down","treg","fdr_only","GSE237034",TRUE,50,8,0.16,18.6493394,1,"multiplexed-fibroblast"
"CORESH_treg_up_fdr_only_GSE200469","cd8","SF_vs_PB_CD8",-1.56495352,0.0134934453,0.0166683736,48,"Down","treg","fdr_only","GSE200469",FALSE,50,15,0.3,17.8606717,2,"dmso"
"CORESH_treg_up_fdr_only_GSE200469","tcon","SF_vs_PB_Tcon",0.95872136,0.525298166,0.525298166,48,"Up","treg","fdr_only","GSE200469",FALSE,50,15,0.3,17.8606717,2,"dmso"
"CORESH_treg_up_fdr_only_GSE200469","treg","SF_vs_PB_Treg",1.44060686,0.0422671542,0.0586722765,48,"Up","treg","fdr_only","GSE200469",TRUE,50,15,0.3,17.8606717,2,"dmso"
"CORESH_treg_up_fdr_only_GSE202919","cd8","SF_vs_PB_CD8",-2.80340865,1.70073645e-13,1.78577327e-12,47,"Down","treg","fdr_only","GSE202919",FALSE,50,5,0.1,17.6176759,3,"none / transcript / mrna-derived / poly / breast"
"CORESH_treg_up_fdr_only_GSE202919","tcon","SF_vs_PB_Tcon",-2.40962139,9.2953363e-08,2.1689118e-07,47,"Down","treg","fdr_only","GSE202919",FALSE,50,5,0.1,17.6176759,3,"none / transcript / mrna-derived / poly / breast"
"CORESH_treg_up_fdr_only_GSE202919","treg","SF_vs_PB_Treg",-2.15254529,5.25105354e-06,1.73629607e-05,47,"Down","treg","fdr_only","GSE202919",TRUE,50,5,0.1,17.6176759,3,"none / transcript / mrna-derived / poly / breast"
"CORESH_treg_up_fdr_only_GSE181061","cd8","SF_vs_PB_CD8",-3.1112128,4.8302091e-19,1.01434391e-17,50,"Down","treg","fdr_only","GSE181061",FALSE,50,3,0.06,17.5096224,5,"umap / normalizedcounts / single / embedding / final"
"CORESH_treg_up_fdr_only_GSE181061","tcon","SF_vs_PB_Tcon",-3.00674904,2.80859701e-17,5.89805373e-16,50,"Down","treg","fdr_only","GSE181061",FALSE,50,3,0.06,17.5096224,5,"umap / normalizedcounts / single / embedding / final"
"CORESH_treg_up_fdr_only_GSE181061","treg","SF_vs_PB_Treg",-2.63865764,1.1038612e-11,1.15905426e-10,50,"Down","treg","fdr_only","GSE181061",TRUE,50,3,0.06,17.5096224,5,"umap / normalizedcounts / single / embedding / final"
