population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",1,ATF3,Atf3,up,2.47295677,0.644970744,1.67350246e-10,1.41530494e-8,2.32141651e-8,72,40,0.555555556
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",2,REL,Rel,up,2.36956187,0.60230985,1.59999292e-9,9.47195809e-8,1.66458523e-7,83,29,0.34939759
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",3,NFKB1,NF-kappaB1,up,2.348397,0.505449373,9.461715309999999e-17,3.08996445e-14,4.62225362e-14,280,116,0.414285714
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",4,HIF1A,HIF-1alpha,up,2.32893136,0.498886636,1.04390691e-16,3.08996445e-14,4.88722418e-14,293,109,0.372013652
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",5,STAT3,STAT3,up,2.27936405,0.489659093,1.68630398e-15,3.32763986e-13,6.76689699e-13,285,112,0.392982456
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",6,CREB1,CREB-1,up,2.23843944,0.482508552,2.728611e-14,4.03834428e-12,9.01725682e-12,276,110,0.398550725
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",7,RFXAP,Rfxap,up,2.23395447,0.812156028,4.41101268e-6,1.00435366e-4,1.52498887e-4,16,10,0.625
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",8,HSF1,Hsf1,up,2.20889946,0.583766444,1.1252358e-6,3.33069796e-5,4.78907174e-5,67,30,0.447761194
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",9,CIITA,Ciita,up,2.19530092,0.700799958,1.16935998e-5,1.97788889e-4,3.37761665e-4,27,14,0.518518519
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",10,TBX21,Tbx21,up,2.18739371,0.630763795,3.38306988e-6,8.95059239e-5,1.22619913e-4,43,17,0.395348837
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",11,ID3,Id3,up,2.18294167,0.75827024,2.62798377e-5,3.79455218e-4,6.51832796e-4,19,6,0.315789474
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",12,CEBPD,Cebpd,up,2.18090056,0.617475849,4.2340596e-6,1.00435366e-4,1.48205276e-4,47,21,0.446808511
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",13,NFKB2,NF-kappaB2,up,2.17886111,0.593914788,8.3778251e-7,2.75537359e-5,3.69149972e-5,57,29,0.50877193
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",14,FOS,Fos,up,2.1662981,0.485716508,1.47861447e-10,1.41530494e-8,2.15762496e-8,195,84,0.430769231
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",15,EGR1,Egr1,up,2.15830123,0.476265261,3.45324044e-11,4.08863668e-9,6.25816283e-9,223,87,0.390134529
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",16,RFXANK,Rfxank,up,2.15829367,0.760334574,5.45911543e-5,6.59550272e-4,0.00117506937,18,10,0.555555556
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",17,IRF1,IRF1,up,2.15810433,0.514747965,4.73144319e-8,1.86734291e-6,3.08125909e-6,123,54,0.43902439
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",18,IRF5,IRF-5,up,2.15782521,0.740063341,2.57036476e-5,3.79455218e-4,6.4179152e-4,20,9,0.45
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",19,NEUROD1,Neurod1,up,2.14936038,0.721102806,3.83820738e-5,5.04937505e-4,8.8373152e-4,22,7,0.318181818
Treg,SF_vs_PB_Treg,TF_Targets,barplot,"pooled FDR < 0.05 only, then top 20 of those 152 by |NES|",20,ETS1,Ets1,up,2.13797583,0.49855682,3.38094052e-8,1.42965485e-6,2.40431948e-6,144,57,0.395833333
