gene_set,genes_scored,cell_state,tissue,n_cells,n_donors,mean,median,q25,q75,min,max,frac_at_zero,median_shift_sf_minus_pb,delta_cliffs_sf_vs_pb,delta_n_donors_paired,delta_donor_min,delta_donor_max,delta_donors_agreeing_in_sign
sting_specific_published,18.0,Treg,synovial fluid,13572.0,6.0,0.0423932262,0.0442124259,0.0103634957,0.0637277649,0.0,0.197525135,0.202549366,0.0312193864,0.369941756,6.0,0.0124784647,0.604488284,6.0
sting_specific_published,18.0,Treg,paired blood,13603.0,7.0,0.0220273545,0.0129930394,0.0,0.0392369167,0.0,0.157669502,0.399250165,0.0312193864,0.369941756,6.0,0.0124784647,0.604488284,6.0
sting_specific_published,18.0,Tcon,synovial fluid,19502.0,7.0,0.0809167899,0.0818767724,0.0537380768,0.10162413,0.0,0.338334622,0.0229720029,0.031606084,0.418185548,6.0,0.314345357,0.506873768,6.0
sting_specific_published,18.0,Tcon,paired blood,18411.0,6.0,0.0547246202,0.0502706883,0.0349316834,0.079350348,0.0,0.228357824,0.100103199,0.031606084,0.418185548,6.0,0.314345357,0.506873768,6.0
sting_specific_published,18.0,CD8,synovial fluid,19010.0,7.0,0.0816015831,0.0832173241,0.0542407837,0.102603764,0.0,0.312812581,0.0219358233,0.016447538,0.239379835,6.0,0.0545314644,0.444093904,6.0
sting_specific_published,18.0,CD8,paired blood,15817.0,6.0,0.0671919645,0.066769786,0.0449084816,0.0908481567,0.0,0.301985048,0.0506417146,0.016447538,0.239379835,6.0,0.0545314644,0.444093904,6.0
ifn_generic_axis,119.0,Treg,synovial fluid,13572.0,6.0,0.0290491035,0.0238968031,0.0151047761,0.037851947,0.0,0.165309746,0.00515767757,0.00919296638,0.420415661,6.0,0.303007246,0.655237779,6.0
ifn_generic_axis,119.0,Treg,paired blood,13603.0,7.0,0.0171930355,0.0147038367,0.00950389893,0.0212784237,0.0,0.183114726,0.0119826509,0.00919296638,0.420415661,6.0,0.303007246,0.655237779,6.0
ifn_generic_axis,119.0,Tcon,synovial fluid,19502.0,7.0,0.0218561561,0.0179358988,0.0112017543,0.0275420782,0.0,0.158043743,0.0104604656,0.00535131287,0.316108567,6.0,0.106891407,0.39052283,6.0
ifn_generic_axis,119.0,Tcon,paired blood,18411.0,6.0,0.0143114923,0.0125845859,0.00773649284,0.0182795611,0.0,0.185070328,0.0210743577,0.00535131287,0.316108567,6.0,0.106891407,0.39052283,6.0
ifn_generic_axis,119.0,CD8,synovial fluid,19010.0,7.0,0.0225457909,0.0178131623,0.0109071866,0.0283194096,0.0,0.186363153,0.0116780642,0.00626774566,0.38131443,6.0,0.177618102,0.488590318,6.0
ifn_generic_axis,119.0,CD8,paired blood,15817.0,6.0,0.0128183759,0.0115454166,0.00705325947,0.0167248983,0.0,0.180799097,0.0268066005,0.00626774566,0.38131443,6.0,0.177618102,0.488590318,6.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,97.0,Treg,synovial fluid,13572.0,6.0,0.155158675,0.148550941,0.127433308,0.176677989,0.0393003993,0.394652683,0.0,0.0218997676,0.390377759,6.0,0.275916644,0.616699839,6.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,97.0,Treg,paired blood,13603.0,7.0,0.130582196,0.126651173,0.10977693,0.145601176,0.0306994021,0.414913692,0.0,0.0218997676,0.390377759,6.0,0.275916644,0.616699839,6.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,97.0,Tcon,synovial fluid,19502.0,7.0,0.132097269,0.127962179,0.109968119,0.149243688,0.0329837316,0.388246628,0.0,0.0112925332,0.251464007,6.0,0.0395808399,0.299754065,6.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,97.0,Tcon,paired blood,18411.0,6.0,0.117948157,0.116669646,0.100882943,0.132818863,0.0254255805,0.415916811,0.0,0.0112925332,0.251464007,6.0,0.0395808399,0.299754065,6.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,97.0,CD8,synovial fluid,19010.0,7.0,0.136883467,0.131433367,0.113411994,0.154410742,0.0308980394,0.394573228,0.0,0.0103539718,0.242419101,6.0,0.0514096703,0.303193116,6.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,97.0,CD8,paired blood,15817.0,6.0,0.122071263,0.121079395,0.106151799,0.136384403,0.0304511054,0.441451642,0.0,0.0103539718,0.242419101,6.0,0.0514096703,0.303193116,6.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,192.0,Treg,synovial fluid,13572.0,6.0,0.0589201739,0.057572985,0.0479713529,0.0680698406,0.0125883392,0.229913343,0.0,0.00817137809,0.311041952,6.0,-0.0945735763,0.422018532,5.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,192.0,Treg,paired blood,13603.0,7.0,0.0502721466,0.0494016069,0.0405650555,0.0592687826,0.00895486286,0.133996929,0.0,0.00817137809,0.311041952,6.0,-0.0945735763,0.422018532,5.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,192.0,Tcon,synovial fluid,19502.0,7.0,0.065774778,0.0645428445,0.0536358426,0.0765843219,0.0186248528,0.214138482,0.0,0.0135637515,0.466191298,6.0,0.124437862,0.695328856,6.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,192.0,Tcon,paired blood,18411.0,6.0,0.0522447334,0.0509790931,0.0427367281,0.0604650429,0.00907580347,0.12364862,0.0,0.0135637515,0.466191298,6.0,0.124437862,0.695328856,6.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,192.0,CD8,synovial fluid,19010.0,7.0,0.0653001875,0.0640722278,0.0547098477,0.0746571597,0.0156959869,0.210336741,0.0,0.00461151775,0.16018187,6.0,-0.304442815,0.523564433,4.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,192.0,CD8,paired blood,15817.0,6.0,0.0613101364,0.0594607101,0.049622455,0.0709868753,0.0111423103,0.165089181,0.0,0.00461151775,0.16018187,6.0,-0.304442815,0.523564433,4.0
HALLMARK_INFLAMMATORY_RESPONSE,182.0,Treg,synovial fluid,13572.0,6.0,0.0690351625,0.0688924335,0.0597358443,0.0780711002,0.0194998372,0.133866134,0.0,0.0147532026,0.583583593,6.0,0.525173005,0.722615253,6.0
