coarse_label,tissue,donor,n_cells,n_cells_drawn,frac_of_total,mean_FOXP3,mean_IL2RA,mean_CTLA4,mean_WT_heat_up_AUCell,mean_KO_heat_up_AUCell,mean_Interaction_up_AUCell,mean_HALLMARK_HYPOXIA_AUCell,mean_HSR_core_AUCell,mean_eTreg_up_AUCell
CD8,peripheral_blood,JIA_patient_1,2547.0,1527.0,0.0254916679,0.0103943525,0.00466745952,0.165744618,0.0138750814,0.0172436481,0.0601142266,0.0795457497,0.109793706,0.0411495514
CD8,peripheral_blood,JIA_patient_2,1637.0,1028.0,0.0163839263,0.0238862801,0.019923849,0.0509568341,0.0133282728,0.0166755983,0.0476864927,0.0726034025,0.0939820092,0.0340617512
CD8,peripheral_blood,JIA_patient_4,2675.0,1589.0,0.0267727568,0.00643333932,0.00377711584,0.0506352037,0.0132522778,0.016292312,0.0470699622,0.071689721,0.100982437,0.0349216315
CD8,peripheral_blood,JIA_patient_5,2786.0,1661.0,0.0278837011,0.00375727029,0.00434370153,0.0267542358,0.013812264,0.0170089532,0.04737772,0.0629158982,0.0996168095,0.0371290972
CD8,peripheral_blood,JIA_patient_6,3311.0,1986.0,0.0331381674,0.00388148613,0.00427472359,0.051727213,0.0139947481,0.0159275029,0.0510828566,0.0566900914,0.0832767957,0.0308467815
CD8,peripheral_blood,JIA_patient_7,2861.0,1717.0,0.0286343392,0.00967195351,0.00960683543,0.0179255567,0.0126295775,0.0157465838,0.0341346661,0.0669917374,0.0957901529,0.0325681449
CD8,synovial_fluid,JIA_patient_1,2787.0,1650.0,0.0278937097,0.00634010509,0.0126828719,0.341719896,0.0159912283,0.0196116729,0.116442647,0.0847975092,0.0871958392,0.0628699992
CD8,synovial_fluid,JIA_patient_2,2545.0,1478.0,0.0254716509,0.107667297,0.0496970713,0.217447802,0.0166020897,0.0194603038,0.0829043968,0.0726899676,0.0819410378,0.0622777315
CD8,synovial_fluid,JIA_patient_3,2478.0,1522.0,0.0248010809,0.0199327022,0.0182249695,0.362428993,0.0183877694,0.0214065886,0.166117579,0.0884267011,0.0924396651,0.0688051827
CD8,synovial_fluid,JIA_patient_4,2502.0,1504.0,0.0250412851,0.0318542011,0.0296409149,0.327197373,0.0170471799,0.0190138543,0.10149854,0.089830478,0.0952492751,0.0577312139
CD8,synovial_fluid,JIA_patient_5,2648.0,1598.0,0.0265025271,0.00201260136,0.00388088147,0.0530159585,0.0194147234,0.0228073139,0.0719847998,0.0772853776,0.0963467878,0.0617163592
CD8,synovial_fluid,JIA_patient_6,3287.0,1956.0,0.0328979633,0.000318968581,0.00216086349,0.11046923,0.0194900052,0.0227418565,0.0868078158,0.0724801513,0.0869837864,0.0619724436
CD8,synovial_fluid,JIA_patient_7,2763.0,1663.0,0.0276535055,0.0253518037,0.0173336342,0.140857682,0.0160732977,0.0189527756,0.0658536258,0.0835338233,0.0881873142,0.0566589491
Tcon,peripheral_blood,JIA_patient_1,2885.0,1643.0,0.0288745434,0.0587584078,0.0643347278,0.223804787,0.0109176828,0.0108849947,0.0686478122,0.076485065,0.113250287,0.0166722313
