"tf","focus_tf","regulon_size","statistic","score","size_expected","null_mean","null_sd","null_q95","obs","pct_of_null","p_empirical","z_vs_null"
"SP1",FALSE,813,"CollecTRI-ULM activity score",11.5134641,7.26605197,NA,NA,NA,NA,NA,NA,NA
"JUN",FALSE,390,"CollecTRI-ULM activity score",10.7988467,5.79426876,NA,NA,NA,NA,NA,NA,NA
"RELA",FALSE,345,"CollecTRI-ULM activity score",9.98205472,5.53583774,NA,NA,NA,NA,NA,NA,NA
"NFKB",FALSE,508,"CollecTRI-ULM activity score",9.8566132,6.34458512,NA,NA,NA,NA,NA,NA,NA
"AP1",FALSE,328,"CollecTRI-ULM activity score",8.98983288,5.42918113,NA,NA,NA,NA,NA,NA,NA
"HIF1A",TRUE,293,"CollecTRI-ULM activity score",8.29858018,5.19131346,0.517478982,0.993218373,2.0954063,8.29858018,100,0.000999000999,7.83423003
"NFKB1",TRUE,280,"CollecTRI-ULM activity score",8.2864824,5.0959406,0.627502371,1.02443771,2.23277974,8.2864824,100,0.000999000999,7.47627698
"REL",TRUE,83,"CollecTRI-ULM activity score",7.5586492,2.84784818,0.468411064,1.04837456,2.25807674,7.5586492,100,0.000999000999,6.76307725
"STAT1",FALSE,226,"CollecTRI-ULM activity score",7.22809041,4.65036337,NA,NA,NA,NA,NA,NA,NA
"STAT3",TRUE,285,"CollecTRI-ULM activity score",6.89487265,5.13310839,0.46734105,1.04556283,2.17314128,6.89487265,100,0.000999000999,6.147437
"CREB1",TRUE,276,"CollecTRI-ULM activity score",6.86970008,5.06575495,0.410305768,1.01993731,2.11047506,6.86970008,100,0.000999000999,6.33312875
"CEBPB",FALSE,258,"CollecTRI-ULM activity score",6.54557597,4.92469005,NA,NA,NA,NA,NA,NA,NA
"RFXAP",FALSE,16,"CollecTRI-ULM activity score",6.48222317,1.05434751,NA,NA,NA,NA,NA,NA,NA
"TBX21",FALSE,43,"CollecTRI-ULM activity score",6.35138883,1.98022969,NA,NA,NA,NA,NA,NA,NA
"RFXANK",FALSE,18,"CollecTRI-ULM activity score",6.22154682,1.1465867,NA,NA,NA,NA,NA,NA,NA
"SPI1",FALSE,231,"CollecTRI-ULM activity score",6.03232744,4.69540171,NA,NA,NA,NA,NA,NA,NA
"ETS1",FALSE,144,"CollecTRI-ULM activity score",5.98097013,3.76292786,NA,NA,NA,NA,NA,NA,NA
"RFX5",FALSE,22,"CollecTRI-ULM activity score",5.82740569,1.30901041,NA,NA,NA,NA,NA,NA,NA
"STAT5A",FALSE,138,"CollecTRI-ULM activity score",5.74889052,3.68435024,NA,NA,NA,NA,NA,NA,NA
"IRF1",FALSE,123,"CollecTRI-ULM activity score",5.72115984,3.47768702,NA,NA,NA,NA,NA,NA,NA
"HSF1",TRUE,67,"CollecTRI-ULM activity score",5.59955767,2.5633529,0.278232813,1.04282844,1.93206125,5.59955767,100,0.000999000999,5.10278071
"STAT5B",FALSE,70,"CollecTRI-ULM activity score",5.41373082,2.61942361,NA,NA,NA,NA,NA,NA,NA
"NFATC2",FALSE,66,"CollecTRI-ULM activity score",5.38561582,2.54358193,NA,NA,NA,NA,NA,NA,NA
"SP3",FALSE,246,"CollecTRI-ULM activity score",5.24177337,4.82556518,NA,NA,NA,NA,NA,NA,NA
"CEBPG",FALSE,96,"CollecTRI-ULM activity score",5.24030783,3.0655099,NA,NA,NA,NA,NA,NA,NA
"MITF",FALSE,68,"CollecTRI-ULM activity score",5.18286542,2.58258587,NA,NA,NA,NA,NA,NA,NA
"ATF2",FALSE,83,"CollecTRI-ULM activity score",5.11365601,2.84784818,NA,NA,NA,NA,NA,NA,NA
"EGR1",FALSE,223,"CollecTRI-ULM activity score",5.09228669,4.62292463,NA,NA,NA,NA,NA,NA,NA
"NEUROD1",FALSE,22,"CollecTRI-ULM activity score",5.06113035,1.30901041,NA,NA,NA,NA,NA,NA,NA
"JUNB",FALSE,60,"CollecTRI-ULM activity score",4.99707309,2.41403622,NA,NA,NA,NA,NA,NA,NA
"FOS",FALSE,195,"CollecTRI-ULM activity score",4.94907322,4.35055166,NA,NA,NA,NA,NA,NA,NA
"NFATC1",FALSE,81,"CollecTRI-ULM activity score",4.92085912,2.81332409,NA,NA,NA,NA,NA,NA,NA
"ESR2",FALSE,119,"CollecTRI-ULM activity score",4.86415325,3.41998135,NA,NA,NA,NA,NA,NA,NA
"SSRP1",FALSE,87,"CollecTRI-ULM activity score",4.84532621,2.91609961,NA,NA,NA,NA,NA,NA,NA
"CEBPD",FALSE,47,"CollecTRI-ULM activity score",4.77925704,2.08424867,NA,NA,NA,NA,NA,NA,NA
"TFAP2A",FALSE,180,"CollecTRI-ULM activity score",4.77005452,4.19122068,NA,NA,NA,NA,NA,NA,NA
"CEBPA",FALSE,132,"CollecTRI-ULM activity score",4.72040233,3.60348187,NA,NA,NA,NA,NA,NA,NA
"NFKBIB",FALSE,12,"CollecTRI-ULM activity score",4.68462344,0.865637847,NA,NA,NA,NA,NA,NA,NA
"AR",FALSE,328,"CollecTRI-ULM activity score",4.68367106,5.42918113,NA,NA,NA,NA,NA,NA,NA
"ID3",FALSE,19,"CollecTRI-ULM activity score",4.62123949,1.18983492,NA,NA,NA,NA,NA,NA,NA
"TCF3",FALSE,73,"CollecTRI-ULM activity score",4.58378997,2.67288178,NA,NA,NA,NA,NA,NA,NA
"ETV4",FALSE,38,"CollecTRI-ULM activity score",4.54509124,1.846813,NA,NA,NA,NA,NA,NA,NA
"NR1H3",FALSE,76,"CollecTRI-ULM activity score",4.53354493,2.72595032,NA,NA,NA,NA,NA,NA,NA
"ESR1",FALSE,380,"CollecTRI-ULM activity score",4.51938102,5.73959961,NA,NA,NA,NA,NA,NA,NA
"NFAT5",FALSE,34,"CollecTRI-ULM activity score",4.42332831,1.72027635,NA,NA,NA,NA,NA,NA,NA
"HR",FALSE,54,"CollecTRI-ULM activity score",4.36784178,2.26782428,NA,NA,NA,NA,NA,NA,NA
"ATF1",FALSE,58,"CollecTRI-ULM activity score",4.34555293,2.3669561,NA,NA,NA,NA,NA,NA,NA
"JUND",FALSE,62,"CollecTRI-ULM activity score",4.28487635,2.45923793,NA,NA,NA,NA,NA,NA,NA
"KLF5",FALSE,54,"CollecTRI-ULM activity score",4.21020963,2.26782428,NA,NA,NA,NA,NA,NA,NA
"VDR",FALSE,72,"CollecTRI-ULM activity score",4.20597613,2.65510113,NA,NA,NA,NA,NA,NA,NA
"NFE2L2",FALSE,138,"CollecTRI-ULM activity score",4.15674473,3.68435024,NA,NA,NA,NA,NA,NA,NA
"IRF4",FALSE,47,"CollecTRI-ULM activity score",4.15350575,2.08424867,NA,NA,NA,NA,NA,NA,NA
"CREB3",FALSE,10,"CollecTRI-ULM activity score",4.08585535,0.74342295,NA,NA,NA,NA,NA,NA,NA
"TBPL2",FALSE,7,"CollecTRI-ULM activity score",4.06918584,0.507633698,NA,NA,NA,NA,NA,NA,NA
"DDIT3",FALSE,68,"CollecTRI-ULM activity score",4.04833537,2.58258587,NA,NA,NA,NA,NA,NA,NA
"PBRM1",FALSE,7,"CollecTRI-ULM activity score",4.0344161,0.507633698,NA,NA,NA,NA,NA,NA,NA
"ELK1",FALSE,42,"CollecTRI-ULM activity score",4.02634129,1.95529145,NA,NA,NA,NA,NA,NA,NA
"IRF2",FALSE,43,"CollecTRI-ULM activity score",4.01144976,1.98022969,NA,NA,NA,NA,NA,NA,NA
"CIITA",FALSE,27,"CollecTRI-ULM activity score",3.99487582,1.47864601,NA,NA,NA,NA,NA,NA,NA
"ATF3",TRUE,72,"CollecTRI-ULM activity score",3.95688097,2.65510113,0.0742933308,0.987800939,1.74839151,3.95688097,100,0.000999000999,3.93053649
"MYC",FALSE,680,"CollecTRI-ULM activity score",3.94415442,6.92804171,NA,NA,NA,NA,NA,NA,NA
"BMAL1",FALSE,37,"CollecTRI-ULM activity score",3.93737081,1.81671355,NA,NA,NA,NA,NA,NA,NA
"NR2C2",FALSE,40,"CollecTRI-ULM activity score",3.87614674,1.90352096,NA,NA,NA,NA,NA,NA,NA
"TBP",FALSE,108,"CollecTRI-ULM activity score",3.83187412,3.25535075,NA,NA,NA,NA,NA,NA,NA
"SREBF1",FALSE,84,"CollecTRI-ULM activity score",3.82539627,2.86501251,NA,NA,NA,NA,NA,NA,NA
"EOMES",FALSE,14,"CollecTRI-ULM activity score",3.80461038,0.961554623,NA,NA,NA,NA,NA,NA,NA
"IRF9",FALSE,17,"CollecTRI-ULM activity score",3.73803706,1.1014466,NA,NA,NA,NA,NA,NA,NA
"HMGB2",FALSE,8,"CollecTRI-ULM activity score",3.72904189,0.595113485,NA,NA,NA,NA,NA,NA,NA
"NCOA1",FALSE,50,"CollecTRI-ULM activity score",3.72104987,2.16373667,NA,NA,NA,NA,NA,NA,NA
"HMGA2",FALSE,24,"CollecTRI-ULM activity score",3.69635335,1.38046,NA,NA,NA,NA,NA,NA,NA
