"population","tf","variant","method","configuration","regulon_size","score","padj","rank","n_tfs_scored","pct_rank"
"Treg","CREB1","alias_recovered","mlm","alias_recovered / mlm",284,1.74245092,0.591757477,41,603,6.79933665
"Treg","CREB1","alias_recovered","consensus","alias_recovered / consensus",284,2.64779194,0.377459337,10,603,1.65837479
"Treg","ATF3","unsigned_geneset","fgsea","unsigned_geneset / fgsea",72,2.47295677,2.34393648e-08,1,592,0.168918919
"Treg","ATF3","signed","ulm","signed / ulm",72,3.95688097,0.000751835742,60,601,9.98336106
"Treg","ATF3","signed","mlm","signed / mlm",72,1.12605211,0.774051213,97,601,16.1397671
"Treg","ATF3","signed","consensus","signed / consensus",72,1.12585981,0.999451659,55,601,9.15141431
"Treg","ATF3","unsigned","ulm","unsigned / ulm",72,8.61094355,5.35029769e-16,9,601,1.49750416
"Treg","ATF3","unsigned","mlm","unsigned / mlm",72,2.92675253,0.218290208,7,601,1.16472546
"Treg","ATF3","unsigned","consensus","unsigned / consensus",72,2.31182159,0.813718875,11,601,1.83028286
"Treg","ATF3","literature_signed","ulm","literature_signed / ulm",38,-0.259815527,0.878066411,291,388,75
"Treg","ATF3","literature_signed","mlm","literature_signed / mlm",38,-1.87255228,0.409380577,364,388,93.814433
"Treg","ATF3","literature_signed","consensus","literature_signed / consensus",38,-0.436924436,0.999135386,323,388,83.2474227
"Treg","ATF3","alias_recovered","ulm","alias_recovered / ulm",73,4.11110473,0.000450562948,52,603,8.62354892
"Treg","ATF3","alias_recovered","mlm","alias_recovered / mlm",73,1.22362216,0.712305406,89,603,14.7595357
"Treg","ATF3","alias_recovered","consensus","alias_recovered / consensus",73,1.17271497,0.999423546,48,603,7.960199
"Treg","REL","unsigned_geneset","fgsea","unsigned_geneset / fgsea",83,2.36956187,1.6807333e-07,2,592,0.337837838
"Treg","REL","signed","ulm","signed / ulm",83,7.5586492,3.24940028e-12,8,601,1.33111481
"Treg","REL","signed","mlm","signed / mlm",83,1.02077382,0.806704833,108,601,17.9700499
"Treg","REL","signed","consensus","signed / consensus",83,2.03044178,0.999451659,13,601,2.16306156
"Treg","REL","unsigned","ulm","unsigned / ulm",83,8.16467163,1.91048046e-14,11,601,1.83028286
"Treg","REL","unsigned","mlm","unsigned / mlm",83,0.193762633,0.979742098,262,601,43.59401
"Treg","REL","unsigned","consensus","unsigned / consensus",83,1.79792794,0.998992569,23,601,3.82695507
"Treg","REL","literature_signed","ulm","literature_signed / ulm",44,4.03079486,0.000690519591,29,388,7.4742268
"Treg","REL","literature_signed","mlm","literature_signed / mlm",44,-0.81870211,0.786771247,298,388,76.8041237
"Treg","REL","literature_signed","consensus","literature_signed / consensus",44,0.912638666,0.999135386,57,388,14.6907216
"Treg","REL","alias_recovered","ulm","alias_recovered / ulm",85,7.38012375,1.25911199e-11,8,603,1.32669983
"Treg","REL","alias_recovered","mlm","alias_recovered / mlm",85,0.460045502,0.930353549,206,603,34.1625207
"Treg","REL","alias_recovered","consensus","alias_recovered / consensus",85,1.88601596,0.999423546,17,603,2.81923715
"Treg","HSF1","unsigned_geneset","fgsea","unsigned_geneset / fgsea",67,2.20889946,4.83553034e-05,8,592,1.35135135
"Treg","HSF1","signed","ulm","signed / ulm",67,5.59955767,6.26592143e-07,21,601,3.49417637
"Treg","HSF1","signed","mlm","signed / mlm",67,2.70201866,0.196421419,11,601,1.83028286
"Treg","HSF1","signed","consensus","signed / consensus",67,1.81710608,0.999451659,19,601,3.16139767
"Treg","HSF1","unsigned","ulm","unsigned / ulm",67,6.4080675,3.65631867e-09,25,601,4.15973378
"Treg","HSF1","unsigned","mlm","unsigned / mlm",67,1.36697416,0.704102747,70,601,11.6472546
"Treg","HSF1","unsigned","consensus","unsigned / consensus",67,1.60358037,0.998992569,28,601,4.65890183
"Treg","HSF1","literature_signed","ulm","literature_signed / ulm",25,3.15091891,0.00994076801,58,388,14.9484536
"Treg","HSF1","literature_signed","mlm","literature_signed / mlm",25,1.63673426,0.465369311,50,388,12.8865979
"Treg","HSF1","literature_signed","consensus","literature_signed / consensus",25,0.952093392,0.999135386,53,388,13.6597938
"Treg","HSF1","alias_recovered","ulm","alias_recovered / ulm",68,5.67978753,3.76997736e-07,22,603,3.64842454
"Treg","HSF1","alias_recovered","mlm","alias_recovered / mlm",68,2.79349599,0.185212149,10,603,1.65837479
"Treg","HSF1","alias_recovered","consensus","alias_recovered / consensus",68,1.83529732,0.999423546,18,603,2.98507463
"Treg","EPAS1","unsigned_geneset","fgsea","unsigned_geneset / fgsea",62,1.54702647,0.0806402597,214,592,36.1486486
"Treg","EPAS1","signed","ulm","signed / ulm",62,2.79380722,0.0214722971,140,601,23.2945092
"Treg","EPAS1","signed","mlm","signed / mlm",62,-0.0381103604,0.994263017,318,601,52.9118136
"Treg","EPAS1","signed","consensus","signed / consensus",62,0.645792221,0.999451659,145,601,24.1264559
"Treg","EPAS1","unsigned","ulm","unsigned / ulm",62,3.06084557,0.0073021816,182,601,30.2828619
"Treg","EPAS1","unsigned","mlm","unsigned / mlm",62,-0.261053226,0.979742098,355,601,59.0682196
"Treg","EPAS1","unsigned","consensus","unsigned / consensus",62,0.574743686,0.998992569,199,601,33.1114809
"Treg","EPAS1","literature_signed","ulm","literature_signed / ulm",29,-0.0924015912,0.958408292,278,388,71.6494845
"Treg","EPAS1","literature_signed","mlm","literature_signed / mlm",29,-0.502401431,0.840748594,260,388,67.0103093
"Treg","EPAS1","literature_signed","consensus","literature_signed / consensus",29,-0.151776504,0.999135386,278,388,71.6494845
"Treg","EPAS1","alias_recovered","ulm","alias_recovered / ulm",63,2.82668173,0.0202865263,134,603,22.2222222
"Treg","EPAS1","alias_recovered","mlm","alias_recovered / mlm",63,0.125584256,0.983449792,280,603,46.4344942
"Treg","EPAS1","alias_recovered","consensus","alias_recovered / consensus",63,0.67216644,0.999423546,130,603,21.5588723
