"population","tf","target","mor","sign_decision","stat","contrib","n_regulons","n_other_regulons","selective","promiscuity_band","avg_expr","padj_gene"
"Treg","HIF1A","SLC2A1",1,"PMID",3.68717647,3.68717647,19,18,FALSE,"<=25",3.90671174,0.0186182309
"Treg","HIF1A","SLC11A2",1,"default activation",3.67337927,3.67337927,3,2,FALSE,"<=5",3.38919091,0.0189302379
"Treg","HIF1A","ABCA1",1,"PMID",3.66682622,3.66682622,42,41,FALSE,">25",1.54897682,0.0190777739
"Treg","HIF1A","FN1",1,"default activation",3.62619286,3.62619286,65,64,FALSE,">25",-1.74802651,0.023348234
"Treg","HIF1A","NDRG1",1,"PMID",3.50354574,3.50354574,20,19,FALSE,"<=25",5.69561913,0.0231236783
"Treg","HIF1A","PRDX3",1,"default activation",3.44824539,3.44824539,6,5,FALSE,"<=10",7.00680722,0.0290710929
"Treg","HIF1A","ALDOA",1,"PMID",3.42385183,3.42385183,11,10,FALSE,"<=25",9.43531192,0.0254804983
"Treg","HIF1A","EDNRB",1,"PMID",3.40090907,3.40090907,8,7,FALSE,"<=10",-2.69708606,0.0260233444
"Treg","HIF1A","CXCR1",1,"PMID",3.35189541,3.35189541,4,3,FALSE,"<=5",-0.268306837,0.0276162722
"Treg","HIF1A","HSP90B1",1,"PMID",3.22104197,3.22104197,7,6,FALSE,"<=10",7.91198987,0.0333298592
"Treg","HIF1A","UCP2",1,"default activation",3.20351505,3.20351505,15,14,FALSE,"<=25",9.88615516,0.0331703163
"Treg","HIF1A","BNIP3L",1,"PMID",3.17775946,3.17775946,3,2,FALSE,"<=5",6.40347413,0.0342109323
"Treg","HIF1A","HK2",1,"PMID",3.15507885,3.15507885,13,12,FALSE,"<=25",1.08935238,0.0351061024
"Treg","HIF1A","FASN",1,"PMID",3.14969093,3.14969093,35,34,FALSE,">25",2.73540405,0.035342495
"Treg","HIF1A","AKT1",1,"default activation",3.14246534,3.14246534,72,71,FALSE,">25",3.42307755,0.0356379485
"Treg","HIF1A","RBMS1",1,"default activation",3.07534833,3.07534833,3,2,FALSE,"<=5",4.11352389,0.0386943584
"Treg","HIF1A","LEPR",1,"default activation",2.98155837,2.98155837,3,2,FALSE,"<=5",1.95176721,0.0434623047
"Treg","HIF1A","VEGFA",1,"PMID",2.96684273,2.96684273,142,141,FALSE,">25",-3.10640236,0.0443147155
"Treg","HIF1A","CCL2",1,"PMID",2.86992976,2.86992976,85,84,FALSE,">25",-3.39928566,0.0499163056
"Treg","HIF1A","HMOX2",1,"default activation",2.86972962,2.86972962,1,0,TRUE,"<=1",7.06209996,0.0499163056
"Treg","HIF1A","FLT1",1,"default activation",2.82507951,2.82507951,29,28,FALSE,">25",-1.30157166,0.0528635475
"Treg","HIF1A","HMOX1",1,"PMID",2.81969713,2.81969713,64,63,FALSE,">25",2.76530029,0.0583146941
"Treg","HIF1A","PARK7",1,"default activation",2.81521028,2.81521028,8,7,FALSE,"<=10",8.55036038,0.0534715647
"Treg","HIF1A","MST1R",1,"default activation",2.73187884,2.73187884,7,6,FALSE,"<=10",-1.51824979,0.0593763143
"Treg","HIF1A","SOCS1",1,"PMID",2.72138329,2.72138329,19,18,FALSE,"<=25",0.907875731,0.0634704109
"Treg","HIF1A","MLH1",1,"default activation",2.71681165,2.71681165,17,16,FALSE,"<=25",4.69226353,0.0605242214
"Treg","HIF1A","PAK1",1,"default activation",2.64512245,2.64512245,6,5,FALSE,"<=10",3.94259567,0.0663491819
"Treg","HIF1A","ANGPTL4",1,"default activation",2.57084027,2.57084027,8,7,FALSE,"<=10",-2.58258601,0.0727168055
"Treg","HIF1A","NEDD8",1,"default activation",2.51149489,2.51149489,3,2,FALSE,"<=5",7.7432839,0.0786115205
"Treg","HIF1A","MT1A",1,"default activation",2.50267256,2.50267256,21,20,FALSE,"<=25",-2.45039361,0.0794939676
"Treg","HIF1A","KDM1A",-1,"PMID",-2.41820978,2.41820978,21,20,FALSE,"<=25",3.12972246,0.0883582348
"Treg","HIF1A","SRC",1,"default activation",2.35620879,2.35620879,31,30,FALSE,">25",-1.09873902,0.0953113434
"Treg","HIF1A","HSPA4",1,"PMID",2.13277872,2.13277872,41,40,FALSE,">25",5.83038135,0.12670747
"Treg","HIF1A","NFE2L2",1,"default activation",2.06920428,2.06920428,13,12,FALSE,"<=25",5.66528728,0.136991979
"Treg","HIF1A","TM9SF4",-1,"PMID",-2.03450098,2.03450098,1,0,TRUE,"<=1",4.70460426,0.142991888
"Treg","HIF1A","NDRG2",1,"default activation",1.96051351,1.96051351,7,6,FALSE,"<=10",1.60278067,0.157038538
"Treg","HIF1A","SPHK1",1,"default activation",1.95753698,1.95753698,16,15,FALSE,"<=25",-2.37432726,0.157530853
"Treg","HIF1A","HSP90AA1",1,"default activation",1.95536103,1.95536103,20,19,FALSE,"<=25",9.51776721,0.159434955
"Treg","HIF1A","ATP13A2",1,"PMID",1.94132734,1.94132734,1,0,TRUE,"<=1",2.41784542,0.160715664
"Treg","HIF1A","SPP1",1,"PMID",1.90967578,1.90967578,74,73,FALSE,">25",-3.74524101,0.166816535
"Treg","HIF1A","MDM2",1,"default activation",1.86428577,1.86428577,68,67,FALSE,">25",5.15214206,0.176450354
"Treg","HIF1A","WSB1",1,"default activation",1.83591849,1.83591849,1,0,TRUE,"<=1",7.53496735,0.182564531
"Treg","HIF1A","CASP3",1,"default activation",1.8118575,1.8118575,37,36,FALSE,">25",5.74010582,0.188919203
"Treg","HIF1A","SH3BP2",1,"default activation",1.73205662,1.73205662,1,0,TRUE,"<=1",4.87621074,0.207302364
"Treg","HIF1A","DLD",1,"default activation",1.72394558,1.72394558,14,13,FALSE,"<=25",5.63865238,0.208744189
"Treg","HIF1A","PRDX2",1,"PMID",1.71800341,1.71800341,3,2,FALSE,"<=5",7.83823486,0.210282717
"Treg","HIF1A","TXN2",1,"default activation",1.68830793,1.68830793,3,2,FALSE,"<=5",6.24098828,0.218046747
"Treg","HIF1A","SEMA4D",1,"PMID",1.65662646,1.65662646,2,1,FALSE,"<=2",5.04379379,0.226790628
"Treg","HIF1A","EEF1A2",1,"default activation",1.63665382,1.63665382,7,6,FALSE,"<=10",-2.03206355,0.232676802
"Treg","HIF1A","NR3C1",1,"default activation",1.56457471,1.56457471,42,41,FALSE,">25",6.52725189,0.253977482
"Treg","HIF1A","SLC8A1",1,"PMID",1.54740023,1.54740023,11,10,FALSE,"<=25",-2.36217891,0.25853166
"Treg","HIF1A","VEGFB",1,"default activation",1.53538154,1.53538154,8,7,FALSE,"<=10",0.730726835,0.262320476
"Treg","HIF1A","TFRC",1,"PMID",1.48138777,1.48138777,14,13,FALSE,"<=25",5.36295001,0.28018071
"Treg","HIF1A","PPARA",1,"default activation",1.47615833,1.47615833,31,30,FALSE,">25",2.05435935,0.280877458
"Treg","HIF1A","KCNMB1",1,"default activation",1.44993802,1.44993802,4,3,FALSE,"<=5",-1.11204693,0.289742522
"Treg","HIF1A","CCND1",1,"PMID",1.38472565,1.38472565,174,173,FALSE,">25",-1.97139472,0.31174278
"Treg","HIF1A","APC",-1,"PMID",-1.36915119,1.36915119,28,27,FALSE,">25",4.68360172,0.317412192
"Treg","HIF1A","TIMP2",1,"PMID",1.35712822,1.35712822,14,13,FALSE,"<=25",0.656482362,0.321949612
"Treg","HIF1A","E2F3",1,"PMID",1.35296497,1.35296497,13,12,FALSE,"<=25",4.33875877,0.323343902
"Treg","HIF1A","ATP7A",1,"default activation",1.32791931,1.32791931,9,8,FALSE,"<=10",3.29077179,0.332182537
"Treg","HIF1A","WDR83",1,"default activation",1.29810614,1.29810614,2,1,FALSE,"<=2",4.14932155,0.343818118
"Treg","HIF1A","BNIP3",1,"PMID",1.28674392,1.28674392,13,12,FALSE,"<=25",5.21730422,0.348145603
"Treg","HIF1A","MICA",1,"PMID",1.26519158,1.26519158,10,9,FALSE,"<=10",3.7227726,0.356117061
"Treg","HIF1A","EGLN1",1,"PMID",1.26250736,1.26250736,7,6,FALSE,"<=10",3.16143898,0.357284865
"Treg","HIF1A","CA9",1,"PMID",1.24929188,1.24929188,16,15,FALSE,"<=25",-3.7426152,0.362499369
"Treg","HIF1A","SLC9A1",1,"PMID",1.19681687,1.19681687,8,7,FALSE,"<=10",2.35761472,0.383443413
"Treg","HIF1A","PDGFB",1,"PMID",1.18129618,1.18129618,28,27,FALSE,">25",0.322344447,0.389796813
"Treg","HIF1A","EPOR",1,"PMID",1.1681323,1.1681323,13,12,FALSE,"<=25",3.3098925,0.395811584
"Treg","HIF1A","PMAIP1",1,"default activation",1.16322885,1.16322885,25,24,FALSE,"<=25",5.79479496,0.406769948
"Treg","HIF1A","PFKFB4",1,"PMID",1.11034979,1.11034979,1,0,TRUE,"<=1",-0.237213401,0.420831505
"Treg","HIF1A","AURKA",1,"default activation",1.1015914,1.1015914,19,18,FALSE,"<=25",2.63264316,0.434742191
"Treg","HIF1A","APH1A",1,"PMID",1.06675134,1.06675134,2,1,FALSE,"<=2",7.05332943,0.439021327
