population,tf,network_symbol,matrix_symbol,mor,resolution,focus_tf
Treg,TP53,PIERCE1,C9orf116,1,accepted,FALSE
Treg,NCOR1,DEPP1,C10orf10,1,accepted,FALSE
Treg,PPARA,DEPP1,C10orf10,1,accepted,FALSE
Treg,POU2F2,H2BC11,HIST1H2BJ,1,accepted,FALSE
Treg,AR,OGA,MGEA5,1,accepted,FALSE
Treg,NR2F1,CIP2A,KIAA1524,1,accepted,FALSE
Treg,HNF1A,CIP2A,KIAA1524,1,accepted,FALSE
Treg,TP53,KIFBP,KIAA1279,1,accepted,FALSE
Treg,RELA,KMT5C,SUV420H2,1,accepted,FALSE
Treg,JUN,COP1,RFWD2,1,accepted,FALSE
Treg,HIF1A,ATP5IF1,ATPIF1,1,accepted,TRUE
Treg,NFATC1,OGA,MGEA5,1,accepted,FALSE
Treg,ETS1,TMEM131L,KIAA0922,1,accepted,FALSE
Treg,JUN,H1-2,HIST1H1C,1,accepted,FALSE
Treg,TP53,H2BC11,HIST1H2BJ,1,accepted,FALSE
Treg,FOXP3,H1-5,HIST1H1B,1,accepted,FALSE
Treg,DDIT3,H3-3A,H3F3A,1,accepted,FALSE
Treg,MBD2,ADGRB1,BAI1,1,accepted,FALSE
Treg,SP1,TIGAR,C12orf5,1,accepted,FALSE
Treg,PDX1,OGA,MGEA5,1,accepted,FALSE
Treg,AIRE,TSPOAP1,BZRAP1,1,accepted,FALSE
Treg,TP53,H1-2,HIST1H1C,1,accepted,FALSE
Treg,NFE2L2,TLE5,AES,1,accepted,FALSE
Treg,MYC,H2AZ1,H2AFZ,1,accepted,FALSE
Treg,TP53,KMT5A,SETD8,1,accepted,FALSE
Treg,TP63,KMT5A,SETD8,1,accepted,FALSE
Treg,AR,JPT1,HN1,1,accepted,FALSE
Treg,JUND,OGA,MGEA5,1,accepted,FALSE
Treg,NFE2,OGA,MGEA5,1,accepted,FALSE
Treg,TP53,DCAF1,VPRBP,1,accepted,FALSE
Treg,CTCF,H2AZ1,H2AFZ,1,accepted,FALSE
Treg,NKX3-1,SELENOH,C11orf31,1,accepted,FALSE
Treg,FOSB,OGA,MGEA5,1,accepted,FALSE
Treg,ARX,PLPP1,PPAP2A,1,accepted,FALSE
Treg,EBF3,PLPP1,PPAP2A,1,accepted,FALSE
Treg,EGR1,PLPP1,PPAP2A,1,accepted,FALSE
Treg,ETS2,PLPP1,PPAP2A,1,accepted,FALSE
Treg,NR0B1,PRKN,PARK2,1,accepted,FALSE
Treg,LEF1,H2AX,H2AFX,1,accepted,FALSE
Treg,CEBPA,TWNK,C10orf2,1,accepted,FALSE
Treg,TP53,RIGI,DDX58,1,accepted,FALSE
Treg,SPI1,TOMM70,TOMM70A,1,accepted,FALSE
Treg,ZNF699,TOMM70,TOMM70A,1,accepted,FALSE
Treg,MYB,ERBIN,ERBB2IP,1,accepted,FALSE
Treg,FOXP4,TSPOAP1,BZRAP1,-1,accepted,FALSE
Treg,ATRX,H3-3A,H3F3A,1,accepted,FALSE
Treg,EGR1,CAVIN1,PTRF,-1,accepted,FALSE
Treg,ELK1,TMEM131L,KIAA0922,1,accepted,FALSE
Treg,SP1,CEP131,AZI1,1,accepted,FALSE
Treg,TP63,H2AZ1,H2AFZ,1,accepted,FALSE
Treg,HIF1A,TIGAR,C12orf5,1,accepted,TRUE
Treg,E2F4,KIFBP,KIAA1279,-1,accepted,FALSE
Treg,E2F6,KIFBP,KIAA1279,-1,accepted,FALSE
Treg,HEY1,H2BC11,HIST1H2BJ,1,accepted,FALSE
Treg,NR1H4,ATP5F1A,ATP5A1,1,accepted,FALSE
Treg,SRY,SGF29,CCDC101,1,accepted,FALSE
Treg,REL,RACK1,GNB2L1,1,accepted,TRUE
Treg,NRF1,RETREG3,FAM134C,1,accepted,FALSE
Treg,NFYA,BMAL1,ARNTL,1,accepted,FALSE
Treg,SP1,BMAL1,ARNTL,1,accepted,FALSE
Treg,CREB1,TIGAR,C12orf5,1,accepted,TRUE
Treg,EZH2,KIFBP,KIAA1279,1,accepted,FALSE
Treg,MTA1,BMAL1,ARNTL,1,accepted,FALSE
Treg,PPARA,ADSS2,ADSS,1,accepted,FALSE
Treg,PPARG,ADSS2,ADSS,1,accepted,FALSE
Treg,EZH2,H2BC11,HIST1H2BJ,1,accepted,FALSE
Treg,BMAL1,CIART,C1orf51,1,accepted,FALSE
Treg,CLOCK,CIART,C1orf51,1,accepted,FALSE
Treg,LEF1,PRKN,PARK2,1,accepted,FALSE
Treg,RFX1,ADGRG1,GPR56,1,accepted,FALSE
Treg,MEF2C,OGA,MGEA5,1,accepted,FALSE
Treg,NCOA1,OGA,MGEA5,1,accepted,FALSE
Treg,YY1,PRKN,PARK2,1,accepted,FALSE
Treg,NR4A1,DEPP1,C10orf10,1,accepted,FALSE
Treg,AR,KMT5A,SETD8,1,accepted,FALSE
Treg,TCF12,KMT5A,SETD8,1,accepted,FALSE
Treg,PPARG,PLPP1,PPAP2A,1,accepted,FALSE
Treg,ETS2,PLAAT3,PLA2G16,1,accepted,FALSE
Treg,TP53,PLAAT3,PLA2G16,1,accepted,FALSE
Treg,MYC,KMT5B,SUV420H1,1,accepted,FALSE
Treg,JUN,KIFBP,KIAA1279,1,accepted,FALSE
Treg,RELA,CFAP20,C16orf80,1,accepted,FALSE
Treg,REL,TSPOAP1,BZRAP1,1,accepted,TRUE
Treg,POU2F2,TSPOAP1,BZRAP1,1,accepted,FALSE
Treg,RARA,BABAM2,BRE,1,accepted,FALSE
Treg,NR3C1,H1-2,HIST1H1C,1,accepted,FALSE
Treg,ESR1,ELP1,IKBKAP,1,accepted,FALSE
Treg,THRA,ELP1,IKBKAP,1,accepted,FALSE
Treg,VDR,ELP1,IKBKAP,1,accepted,FALSE
Treg,TSC22D1,SRPRA,SRPR,1,accepted,FALSE
Treg,TADA2A,CFAP20,C16orf80,1,accepted,FALSE
Treg,TBP,CFAP20,C16orf80,1,accepted,FALSE
Treg,ATF1,H4C9,HIST1H4I,1,accepted,FALSE
Treg,E2F1,H4C9,HIST1H4I,1,accepted,FALSE
Treg,E2F1,H2BC11,HIST1H2BJ,1,accepted,FALSE
Treg,E2F4,H2AC4,HIST1H2AB,1,accepted,FALSE
Treg,E2F4,H3C12,HIST1H3J,1,accepted,FALSE
Treg,E2F4,H4C9,HIST1H4I,1,accepted,FALSE
Treg,E2F4,H2AC17,HIST1H2AM,1,accepted,FALSE
Treg,E2F4,H2BC11,HIST1H2BJ,1,accepted,FALSE
Treg,ESR1,ITPRID2,SSFA2,1,accepted,FALSE
Treg,ESR1,PRUNE1,PRUNE,1,accepted,FALSE
Treg,ESR1,NOTCH2NLA,NOTCH2NL,1,accepted,FALSE
Treg,ESR2,FYB1,FYB,1,accepted,FALSE
Treg,ESR2,NIPSNAP2,GBAS,1,accepted,FALSE
Treg,ESR2,P3H4,LEPREL4,1,accepted,FALSE
Treg,ESR2,PRUNE1,PRUNE,1,accepted,FALSE
Treg,ESR2,NOTCH2NLA,NOTCH2NL,1,accepted,FALSE
Treg,GABPA,TOMM70,TOMM70A,1,accepted,FALSE
Treg,GATA3,SEPTIN7,SEPT7,1,accepted,FALSE
Treg,GATA3,SPART,SPG20,1,accepted,FALSE
Treg,MYC,PHB1,PHB,1,accepted,FALSE
Treg,MYC,PTPA,PPP2R4,-1,accepted,FALSE
Treg,MYC,MTERF1,MTERF,1,accepted,FALSE
Treg,MYC,H2BC4,HIST1H2BC,1,accepted,FALSE
Treg,MYC,H4C9,HIST1H4I,1,accepted,FALSE
Treg,MYC,RIDA,HRSP12,1,accepted,FALSE
Treg,MYC,DMAC2L,ATP5S,1,accepted,FALSE
Treg,MYCN,MRE11,MRE11A,1,accepted,FALSE
Treg,MYCN,PHB1,PHB,1,accepted,FALSE
Treg,SP1,H2AZ1,H2AFZ,1,accepted,FALSE
Treg,SP1,H4C9,HIST1H4I,1,accepted,FALSE
Treg,TP53,H3C12,HIST1H3J,1,accepted,FALSE
Treg,TP53,RACK1,GNB2L1,1,accepted,FALSE
Treg,TP53,ATOSB,FAM214B,1,accepted,FALSE
Treg,TP63,BMAL1,ARNTL,1,accepted,FALSE
Treg,TP63,NOTCH2NLA,NOTCH2NL,1,accepted,FALSE
Treg,NR1I2,PATJ,INADL,1,accepted,FALSE
Treg,NR1I2,PCLAF,KIAA0101,1,accepted,FALSE
Treg,NR1I2,PRXL2A,FAM213A,1,accepted,FALSE
Treg,NR1I2,DNAAF4,DYX1C1,1,accepted,FALSE
Treg,NR1I2,EEF2KMT,FAM86A,1,accepted,FALSE
Treg,AR,SEPTIN7,SEPT7,-1,accepted,FALSE
Treg,ATF3,KIFBP,KIAA1279,1,accepted,TRUE
Treg,EGR1,HYAL1,NAT6,1,accepted,FALSE
Treg,ERG,H4C9,HIST1H4I,1,accepted,FALSE
Treg,ETS1,EMSY,C11orf30,1,accepted,FALSE
Treg,ETV4,GBA1,GBA,1,accepted,FALSE
Treg,GLI1,H2AX,H2AFX,-1,accepted,FALSE
Treg,GLI2,H2AX,H2AFX,-1,accepted,FALSE
Treg,HDAC1,PHB1,PHB,-1,accepted,FALSE
Treg,HDAC4,PTPA,PPP2R4,1,accepted,FALSE
Treg,MECP2,DLX5,SHFM1,-1,accepted,FALSE
Treg,NFKB1,HYAL1,NAT6,1,accepted,TRUE
Treg,NR4A1,BABAM2,BRE,-1,accepted,FALSE
Treg,POU5F1,DLX5,SHFM1,-1,accepted,FALSE
Treg,PPARG,ERO1A,ERO1L,1,accepted,FALSE
Treg,PRDM2,KMT5A,SETD8,1,accepted,FALSE
Treg,RELA,HYAL1,NAT6,1,accepted,FALSE
Treg,SETBP1,PTPA,PPP2R4,-1,accepted,FALSE
Treg,SIM2,PRKN,PARK2,1,accepted,FALSE
Treg,SP1,GRK2,ADRBK1,1,accepted,FALSE
Treg,SP1,HYAL1,NAT6,-1,accepted,FALSE
Treg,TP53,ADGRB1,BAI1,1,accepted,FALSE
Treg,TP53,PTPA,PPP2R4,-1,accepted,FALSE
Treg,TP53,BLTP3A,UHRF1BP1,1,accepted,FALSE
Treg,TRIM25,RIGI,DDX58,1,accepted,FALSE
Treg,USF2,ATP5F1A,ATP5A1,1,accepted,FALSE
Treg,VDR,PHB1,PHB,1,accepted,FALSE
Treg,VHL,CENPX,STRA13,1,accepted,FALSE
Treg,WT1,ADGRE5,CD97,1,accepted,FALSE
Treg,ZIC1,TLCD3A,FAM57A,1,accepted,FALSE
Treg,RBPJ,ATP5PD,ATP5H,-1,accepted,FALSE
Treg,GLI1,LHFPL6,LHFP,1,accepted,FALSE
Treg,GLI1,SEPTIN7,SEPT7,1,accepted,FALSE
Treg,GLI1,SKIC8,WDR61,-1,accepted,FALSE
Treg,CREB1,CARS1,CARS,1,accepted,TRUE
