population,tf,network_symbol,matrix_symbol,mor,resolution,focus_tf
Tcon,SP3,ADGRG1,GPR56,1,accepted,FALSE
Tcon,TTF1,TAFAZZIN,TAZ,1,accepted,FALSE
Tcon,MYC,PRKN,PARK2,1,accepted,FALSE
Tcon,MYCN,PRKN,PARK2,-1,accepted,FALSE
Tcon,TP53,COP1,RFWD2,1,accepted,FALSE
Tcon,HHEX,TLE5,AES,1,accepted,FALSE
Tcon,MSX1,H1-5,HIST1H1B,1,accepted,FALSE
Tcon,MYB,CNOT9,RQCD1,1,accepted,FALSE
Tcon,SP1,KIFBP,KIAA1279,1,accepted,FALSE
Tcon,SP3,KIFBP,KIAA1279,1,accepted,FALSE
Tcon,GFI1,TSPOAP1,BZRAP1,1,accepted,FALSE
Tcon,JUND,TSPOAP1,BZRAP1,1,accepted,FALSE
Tcon,DNMT1,MRC1,MRC1L1,1,accepted,FALSE
Tcon,NR1D1,BMAL1,ARNTL,-1,accepted,FALSE
Tcon,RORA,BMAL1,ARNTL,1,accepted,FALSE
Tcon,DLX5,DLX5,SHFM1,1,accepted,FALSE
Tcon,BCL11A,H3C12,HIST1H3J,1,accepted,FALSE
Tcon,HNF4A,ADGRG1,GPR56,1,accepted,FALSE
Tcon,NCOR1,BMAL1,ARNTL,1,accepted,FALSE
Tcon,HIF1A,MMUT,MUT,1,accepted,TRUE
Tcon,MYC,MMUT,MUT,1,accepted,FALSE
Tcon,SP1,MMUT,MUT,1,accepted,FALSE
Tcon,TP53,MMUT,MUT,1,accepted,FALSE
Tcon,DLX4,OGA,MGEA5,1,accepted,FALSE
Tcon,GRHL3,OGA,MGEA5,1,accepted,FALSE
Tcon,KAT5,OGA,MGEA5,1,accepted,FALSE
Tcon,MYC,OGA,MGEA5,1,accepted,FALSE
Tcon,ESR1,PRKN,PARK2,1,accepted,FALSE
Tcon,HAND2,TSPOAP1,BZRAP1,1,accepted,FALSE
Tcon,MTF1,SELENOW,SEPW1,1,accepted,FALSE
Tcon,CREB1,NECTIN2,PVRL2,1,accepted,TRUE
Tcon,FOS,NECTIN2,PVRL2,1,accepted,FALSE
Tcon,JUN,NECTIN2,PVRL2,1,accepted,FALSE
Tcon,MYC,BMAL1,ARNTL,1,accepted,FALSE
Tcon,PPARA,BMAL1,ARNTL,1,accepted,FALSE
Tcon,BMAL1,TSPOAP1,BZRAP1,1,accepted,FALSE
Tcon,IRF2,OGA,MGEA5,1,accepted,FALSE
Tcon,STAT5A,TSPOAP1,BZRAP1,1,accepted,FALSE
Tcon,TP53,GSDME,DFNA5,1,accepted,FALSE
Tcon,AR,PHB1,PHB,1,accepted,FALSE
Tcon,NR0B2,BMAL1,ARNTL,1,accepted,FALSE
Tcon,RUNX2,PRKN,PARK2,1,accepted,FALSE
Tcon,AR,GRK3,ADRBK2,1,accepted,FALSE
Tcon,MYOD1,CFAP410,C21orf2,1,accepted,FALSE
Tcon,STAT3,PHB1,PHB,1,accepted,TRUE
Tcon,FOXP3,OGA,MGEA5,1,accepted,FALSE
Tcon,NKX2-1,CIP2A,KIAA1524,1,accepted,FALSE
Tcon,PAX9,CIP2A,KIAA1524,1,accepted,FALSE
Tcon,IRF1,RIGI,DDX58,1,accepted,FALSE
Tcon,FOXP3,MARCHF7,MARCH7,1,accepted,FALSE
Tcon,CREB1,OGA,MGEA5,1,accepted,TRUE
Tcon,SMARCA1,OGA,MGEA5,1,accepted,FALSE
Tcon,SMARCA5,OGA,MGEA5,1,accepted,FALSE
Tcon,TFAP2A,OGA,MGEA5,1,accepted,FALSE
Tcon,USF1,OGA,MGEA5,1,accepted,FALSE
Tcon,MYB,H2AZ1,H2AFZ,1,accepted,FALSE
Tcon,ESR1,PHB1,PHB,1,accepted,FALSE
Tcon,TP53,PRKN,PARK2,1,accepted,FALSE
Tcon,TBPL1,H1-2,HIST1H1C,1,accepted,FALSE
Tcon,HOXD1,GPRASP3,BHLHB9,1,accepted,FALSE
Tcon,DLX6,DLX5,SHFM1,1,accepted,FALSE
Tcon,TP63,DLX5,SHFM1,1,accepted,FALSE
Tcon,SP3,ADGRE5,CD97,1,accepted,FALSE
Tcon,SP1,ADGRE5,CD97,1,accepted,FALSE
Tcon,GTF2I,DNAAF4,DYX1C1,1,accepted,FALSE
Tcon,SFPQ,DNAAF4,DYX1C1,1,accepted,FALSE
Tcon,HIF1A,MRC1,MRC1L1,1,accepted,TRUE
Tcon,BMAL1,NOCT,CCRN4L,1,accepted,FALSE
Tcon,PPARG,PLAAT3,PLA2G16,1,accepted,FALSE
Tcon,HR,KIFBP,KIAA1279,1,accepted,FALSE
Tcon,NFKB1,KIFBP,KIAA1279,1,accepted,TRUE
