population,tf,raw_targets,targets_present,gsea_max_size,in_fgsea_family,ulm_score,ulm_rank,ulm_padj
Treg,SP1,1336,813,500,FALSE,11.5134641,1,9.30840621e-28
Treg,JUN,685,390,500,FALSE,10.7988467,2,1.33910249e-24
Treg,RELA,562,345,500,FALSE,9.98205472,3,4.38070383e-21
Treg,NFKB,799,508,500,FALSE,9.8566132,4,1.14438299e-20
Treg,AP1,596,328,500,FALSE,8.98983288,5,3.3525810899999995e-17
Treg,AR,514,328,500,FALSE,4.68367106,39,4.38315223e-5
Treg,ESR1,634,380,500,FALSE,4.51938102,44,8.54087395e-5
Treg,MYC,888,680,500,FALSE,3.94415442,61,7.80063353e-4
Treg,TP53,984,697,500,FALSE,3.08615177,106,0.0109999853
