population,target,in_ranked_list,in_count_matrix,in_hif1a_regulon,mor,stat,log2FoldChange,padj_gene,avg_expr,alias_in_matrix,unmatched_cause,direction_in_contrast
Treg,PGK1,TRUE,TRUE,TRUE,1,9.76082222,1.1527165,1.5275105e-4,8.87479368,NA,NA,up_in_synovial_fluid
Treg,LDHA,TRUE,TRUE,TRUE,1,6.57957461,1.49007282,0.00192675744,9.02663126,NA,NA,up_in_synovial_fluid
Treg,SLC2A1,TRUE,TRUE,TRUE,1,3.68717647,0.505636367,0.0186182309,3.90671174,NA,NA,up_in_synovial_fluid
Treg,BNIP3L,TRUE,TRUE,TRUE,1,3.17775946,0.422510499,0.034210932300000003,6.40347413,NA,NA,up_in_synovial_fluid
Treg,HK2,TRUE,TRUE,TRUE,1,3.15507885,0.63891986,0.0351061024,1.08935238,NA,NA,up_in_synovial_fluid
Treg,VEGFA,TRUE,TRUE,TRUE,1,2.96684273,2.35634198,0.0443147155,-3.10640236,NA,NA,up_in_synovial_fluid
Treg,BNIP3,TRUE,TRUE,TRUE,1,1.28674392,0.183319114,0.348145603,5.21730422,NA,NA,up_in_synovial_fluid
Treg,CA9,TRUE,TRUE,TRUE,1,1.24929188,1.28500223,0.362499369,-3.7426152,NA,NA,up_in_synovial_fluid
Treg,EGLN3,TRUE,TRUE,TRUE,1,0.144436849,0.103165247,0.926221865,-1.02051565,NA,NA,up_in_synovial_fluid
Treg,PDK1,TRUE,TRUE,TRUE,1,-4.64562045,-0.717501792,0.00649141024,4.67663788,NA,NA,up_in_blood
Treg,ADM,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,expression_filter,NA
