tf,regulon_size,ulm_score,ulm_rank,ulm_padj,fgsea_nes,fgsea_rank,fgsea_set_size,fgsea_padj,population,focus_tf,log_size,ulm_score_size_expected,ulm_score_size_residual,fgsea_nes_size_expected,fgsea_nes_size_residual,ulm_score_size_residual_rank,fgsea_nes_size_residual_rank,n_tfs_ulm_ranked,n_tfs_fgsea_ranked
JUNB,60,4.99707309,30,1.18015951e-5,2.09842257,24,60,2.97703581e-4,Treg,FALSE,1.77815125,2.41403622,2.58303687,1.59448623,0.503936345,37,152,601,592
FOS,195,4.94907322,31,1.4624649e-5,2.16572092,16,195,2.18902457e-8,Treg,FALSE,2.29003461,4.35055166,0.598521565,1.94532019,0.22040073,208,280,601,592
NFATC1,81,4.92085912,32,1.63669865e-5,1.95803563,53,82,9.16210558e-4,Treg,FALSE,1.90848502,2.81332409,2.10753503,1.69135641,0.266679216,62,255,601,592
ESR2,119,4.86415325,33,2.11621452e-5,1.99350633,47,125,1.0648574e-4,Treg,FALSE,2.07554696,3.41998135,1.44417189,1.81729775,0.176208581,119,302,601,592
SSRP1,87,4.84532621,34,2.25831529e-5,1.96608076,51,88,6.07165816e-4,Treg,FALSE,1.93951925,2.91609961,1.9292266,1.71302001,0.253060748,78,262,601,592
CEBPD,47,4.77925704,35,3.05191311e-5,2.180155,14,47,1.55432556e-4,Treg,FALSE,1.67209786,2.08424867,2.69500837,1.52556832,0.654586676,31,103,601,592
TFAP2A,180,4.77005452,36,3.10573002e-5,1.70371681,135,183,0.00299111964,Treg,FALSE,2.25527251,4.19122068,0.578833847,1.92708316,-0.223366349,211,455,601,592
CEBPA,132,4.72040233,37,3.86035001e-5,2.01140143,42,134,1.18777609e-4,Treg,FALSE,2.12057393,3.60348187,1.11692045,1.83747222,0.17392921,147,304,601,592
NFKBIB,12,4.68462344,38,4.38315223e-5,2.12361921,22,12,7.68842225e-4,Treg,FALSE,1.07918125,0.865637847,3.81898559,0.926747816,1.19687139,9,3,601,592
AR,328,4.68367106,39,4.38315223e-5,NA,NA,NA,NA,Treg,FALSE,2.51587384,5.42918113,-0.74551007,NA,NA,406,NA,601,592
ID3,19,4.62123949,40,5.78250967e-5,2.18153061,12,19,6.98479008e-4,Treg,FALSE,1.2787536,1.18983492,3.43140456,1.16853662,1.01299399,15,24,601,592
TCF3,73,4.58378997,41,6.75133166e-5,2.03179169,39,73,4.15345307e-4,Treg,FALSE,1.86332286,2.67288178,1.91090819,1.65503975,0.376751941,80,205,601,592
ETV4,38,4.54509124,42,7.92336886e-5,2.0862583200000002,27,39,8.05155792e-4,Treg,FALSE,1.5797836,1.846813,2.69827824,1.46043271,0.625825606,30,112,601,592
NR1H3,76,4.53354493,43,8.1740071e-5,2.06147181,34,76,1.71704039e-4,Treg,FALSE,1.88081359,2.72595032,1.8075946,1.66771792,0.393753892,88,195,601,592
ESR1,380,4.51938102,44,8.54087395e-5,NA,NA,NA,NA,Treg,FALSE,2.5797836,5.73959961,-1.22021858,NA,NA,468,NA,601,592
NFAT5,34,4.42332831,45,1.30784574e-4,1.89242682,76,34,0.00738730731,Treg,FALSE,1.53147892,1.72027635,2.70305197,1.40774231,0.484684507,29,159,601,592
HR,54,4.36784178,46,1.65121419e-4,1.70148523,136,55,0.0314746104,Treg,FALSE,1.73239376,2.26782428,2.1000175,1.57030832,0.131176911,63,320,601,592
ATF1,58,4.34555293,47,1.78899378e-4,1.94900048,56,59,0.00154632527,Treg,FALSE,1.76342799,2.3669561,1.97859683,1.58974023,0.359260252,74,208,601,592
JUND,62,4.28487635,48,2.3046146e-4,1.81097543,97,64,0.00891619347,Treg,FALSE,1.79239169,2.45923793,1.82563842,1.61336948,0.197605952,84,287,601,592
KLF5,54,4.21020963,49,3.14413743e-4,2.13937886,21,54,1.5545735e-4,Treg,FALSE,1.73239376,2.26782428,1.94238535,1.56526461,0.574114251,76,136,601,592
VDR,72,4.20597613,50,3.14413743e-4,1.91112654,71,74,0.00129850247,Treg,FALSE,1.8573325,2.65510113,1.550875,1.65933485,0.251791689,109,263,601,592
NFE2L2,138,4.15674473,51,3.80667008e-4,1.70112033,137,140,0.00583825282,Treg,FALSE,2.13987909,3.68435024,0.472394486,1.8501308,-0.149010474,225,431,601,592
IRF4,47,4.15350575,52,3.80667008e-4,1.91057712,72,47,0.00602767955,Treg,FALSE,1.67209786,2.08424867,2.06925708,1.52556832,0.385008796,65,200,601,592
CREB3,10,4.08585535,53,5.00751889e-4,1.92095496,67,10,0.0108542351,Treg,FALSE,1,0.74342295,3.3424324,0.829402039,1.09155292,16,11,601,592
TBPL2,7,4.06918584,54,5.27951687e-4,1.69558538,143,7,0.0687521934,Treg,FALSE,0.84509804,0.507633698,3.56155214,0.642701868,1.05288351,11,16,601,592
DDIT3,68,4.04833537,55,5.66696971e-4,2.03547558,38,70,3.81738484e-4,Treg,FALSE,1.83250891,2.58258587,1.4657495,1.64171225,0.393763331,115,194,601,592
PBRM1,7,4.0344161,56,5.90578913e-4,1.81714756,95,7,0.0220240216,Treg,FALSE,0.84509804,0.507633698,3.5267824,0.642701868,1.17444569,13,4,601,592
ELK1,42,4.02634129,57,6.00473538e-4,1.67749807,153,43,0.0479148411,Treg,FALSE,1.62324929,1.95529145,2.07104983,1.49669654,0.18080153,64,300,601,592
IRF2,43,4.01144976,58,6.28570146e-4,1.92138126,65,46,0.0054034534,Treg,FALSE,1.63346846,1.98022969,2.03122008,1.5189278,0.402453456,69,186,601,592
CIITA,27,3.99487582,59,6.62723302e-4,2.19495643,10,27,3.62459717e-4,Treg,FALSE,1.43136376,1.47864601,2.51622982,1.31408327,0.880873161,43,49,601,592
ATF3,72,3.95688097,60,7.51835742e-4,2.48990804,1,73,1.42162841e-8,Treg,TRUE,1.8573325,2.65510113,1.30177984,1.65503975,0.834868291,131,64,601,592
MYC,680,3.94415442,61,7.80063353e-4,NA,NA,NA,NA,Treg,FALSE,2.83250891,6.92804171,-2.98388729,NA,NA,577,NA,601,592
BMAL1,37,3.93737081,62,7.89677989e-4,1.7631,112,41,0.0255664516,Treg,FALSE,1.56820172,1.81671355,2.12065726,1.47940821,0.283691795,61,246,601,592
NR2C2,40,3.87614674,63,0.00100111647,1.8948364,75,40,0.00711257432,Treg,FALSE,1.60205999,1.90352096,1.97262578,1.47004572,0.424790679,75,176,601,592
TBP,108,3.83187412,64,0.00116308617,1.60549788,182,110,0.0272752569,Treg,FALSE,2.03342376,3.25535075,0.576523376,1.7798618,-0.174363915,212,440,601,592
SREBF1,84,3.82539627,65,0.00117624567,2.04233271,36,84,1.73901915e-4,Treg,FALSE,1.92427929,2.86501251,0.960383765,1.69878044,0.343552265,164,220,601,592
EOMES,14,3.80461038,66,0.00124234362,1.86912154,82,14,0.0210420622,Treg,FALSE,1.14612804,0.961554623,2.84305575,1.01094486,0.858176677,26,57,601,592
IRF9,17,3.73803706,67,0.00159866729,1.88516443,77,17,0.0179496336,Treg,FALSE,1.23044892,1.1014466,2.63659047,1.1167292,0.768435231,33,81,601,592
HMGB2,8,3.72904189,68,0.00163342816,1.91982229,69,8,0.00846169675,Treg,FALSE,0.903089987,0.595113485,3.13392841,0.712199922,1.20762237,18,2,601,592
NCOA1,50,3.72104987,69,0.00166253754,1.77041154,109,51,0.0192136855,Treg,FALSE,1.69897,2.16373667,1.5573132,1.54939241,0.221019131,107,279,601,592
HMGA2,24,3.69635335,70,0.00180755411,1.73437589,121,24,0.0502557325,Treg,FALSE,1.38021124,1.38046,2.31589335,1.26407253,0.470303356,52,165,601,592
MYB,125,3.650575,71,0.00213279246,1.76073502,113,128,0.00317151554,Treg,FALSE,2.09691001,3.50611971,0.144455289,1.82419219,-0.0634571723,265,408,601,592
RXRA,53,3.62775523,72,0.00229912964,1.96256124,52,54,0.00221096378,Treg,FALSE,1.72427587,2.24216977,1.38558545,1.56526461,0.397296631,125,191,601,592
HAND2,7,3.61961679,73,0.00234137148,1.11820535,392,8,0.588738076,Treg,FALSE,0.84509804,0.507633698,3.1119831,0.712199922,0.406005428,19,184,601,592
