tf,target,mor,sign_decision,stat,contrib,n_regulons,n_other_regulons,selective,promiscuity_band,avg_expr,log2FoldChange,padj_gene,population
HIF1A,PFKFB3,1,default activation,5.27191085,5.27191085,7,6,FALSE,<=10,3.98596849,1.36970727,0.00448747055,Treg
HIF1A,PPP5C,1,default activation,5.26236182,5.26236182,1,0,TRUE,<=1,5.01105672,0.787024684,0.00362625564,Treg
HIF1A,NEDD9,1,PMID,5.22527934,5.22527934,3,2,FALSE,<=5,4.80524719,0.493109113,0.00373132657,Treg
HIF1A,GK,1,PMID,5.15044403,5.15044403,13,12,FALSE,<=25,5.35671087,0.955199894,0.00466316525,Treg
HIF1A,ENO2,1,default activation,5.12740162,5.12740162,5,4,FALSE,<=5,4.56141966,0.788860307,0.00403044882,Treg
HIF1A,CD44,1,default activation,5.03109456,5.03109456,78,77,FALSE,>25,9.0827246,0.554350482,0.00443062104,Treg
HIF1A,TWIST1,1,PMID,5.02353575,5.02353575,27,26,FALSE,>25,-1.39084476,3.18726591,0.0044612844,Treg
HIF1A,ALOX5AP,1,PMID,4.92691061,4.92691061,9,8,FALSE,<=10,8.29750737,0.812916214,0.00547875581,Treg
HIF1A,QSOX1,1,default activation,4.89797565,4.89797565,3,2,FALSE,<=5,4.27170199,0.8194676,0.00505534904,Treg
HIF1A,PTK6,1,default activation,4.86117371,4.86117371,7,6,FALSE,<=10,-0.774819648,2.45071236,0.00523392416,Treg
HIF1A,ITGAM,1,PMID,4.77021592,4.77021592,6,5,FALSE,<=10,3.78162473,1.55874563,0.00835810083,Treg
HIF1A,VLDLR,1,default activation,4.76257641,4.76257641,11,10,FALSE,<=25,-1.32021728,4.02996481,0.00602895468,Treg
HIF1A,PRMT1,1,default activation,4.75628819,4.75628819,8,7,FALSE,<=10,6.44990117,0.420136847,0.0057592362,Treg
HIF1A,MUC1,1,default activation,4.752781,4.752781,30,29,FALSE,>25,0.294109931,1.81340057,0.00577112693,Treg
HIF1A,MMP9,1,PMID,4.63314572,4.63314572,87,86,FALSE,>25,-1.68928051,3.35700598,0.00653721446,Treg
HIF1A,CAPG,1,PMID,4.56968809,4.56968809,1,0,TRUE,<=1,6.24950591,1.86103565,0.0141137608,Treg
HIF1A,ITGB2,1,PMID,4.39278752,4.39278752,13,12,FALSE,<=25,8.86668837,0.488859618,0.00855216493,Treg
HIF1A,CXCR4,1,PMID,4.30511877,4.30511877,52,51,FALSE,>25,7.5075089,1.39923571,0.016117247,Treg
HIF1A,FECH,1,default activation,4.19808533,4.19808533,5,4,FALSE,<=5,3.30824431,0.619619586,0.0105151344,Treg
HIF1A,SERPINE1,1,PMID,4.01368388,4.01368388,81,80,FALSE,>25,-2.69259395,3.33827439,0.0129664819,Treg
HIF1A,TCIRG1,1,default activation,3.99718328,3.99718328,9,8,FALSE,<=10,6.16986575,0.424887694,0.0132162156,Treg
HIF1A,PLAU,1,PMID,3.98782562,3.98782562,49,48,FALSE,>25,-2.64734828,3.21584311,0.0133573473,Treg
HIF1A,GAPDH,1,PMID,3.96565448,3.96565448,14,13,FALSE,<=25,11.6913128,1.05362138,0.0177980989,Treg
