population,tf,variant,method,configuration,score,p_value,padj,rank,n_tfs_scored,pct_rank,regulon_size,direction
Treg,ATF3,signed,consensus,signed / consensus,1.12585981,0.260224862,0.999451659,55,601,9.15141431,72,Up
Treg,ATF3,signed,mlm,signed / mlm,1.12605211,0.260163635,0.774051213,97,601,16.1397671,72,Up
Treg,ATF3,signed,ulm,signed / ulm,3.95688097,7.63094514e-5,7.51835742e-4,60,601,9.98336106,72,Up
Treg,ATF3,unsigned,consensus,unsigned / consensus,2.31182159,0.020787517,0.813718875,11,601,1.83028286,72,Up
Treg,ATF3,unsigned,mlm,unsigned / mlm,2.92675253,0.00343096898,0.218290208,7,601,1.16472546,72,Up
Treg,ATF3,unsigned,ulm,unsigned / ulm,8.61094355,8.012093049999999e-18,5.35029769e-16,9,601,1.49750416,72,Up
Treg,ATF3,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.48990804,9.2602163e-11,1.42162841e-8,1,594,0.168350168,73,Up
Treg,CREB1,alias_recovered,consensus,alias_recovered / consensus,2.64779194,0.00810193712,0.377459337,10,603,1.65837479,284,Up
Treg,CREB1,alias_recovered,mlm,alias_recovered / mlm,1.74245092,0.0814525217,0.591757477,41,603,6.79933665,284,Up
Treg,CREB1,alias_recovered,ulm,alias_recovered / ulm,6.97277243,3.24682221e-12,1.7798489e-10,11,603,1.82421227,284,Up
Treg,CREB1,literature_signed,consensus,literature_signed / consensus,3.1520323,0.00162138335,0.104849456,5,388,1.28865979,276,Up
Treg,CREB1,literature_signed,mlm,literature_signed / mlm,1.3202234,0.186782642,0.570643033,72,388,18.556701,276,Up
Treg,CREB1,literature_signed,ulm,literature_signed / ulm,6.86970008,6.70536446e-12,5.20336282e-10,5,388,1.28865979,276,Up
Treg,CREB1,signed,consensus,signed / consensus,2.57790412,0.00994015753,0.459541129,10,601,1.66389351,276,Up
Treg,CREB1,signed,mlm,signed / mlm,1.47844167,0.13931311,0.685360089,59,601,9.81697171,276,Up
Treg,CREB1,signed,ulm,signed / ulm,6.86970008,6.70536446e-12,3.66356731e-10,11,601,1.83028286,276,Up
Treg,CREB1,unsigned,consensus,unsigned / consensus,2.7987196,0.00513056686,0.308347069,9,601,1.49750416,276,Up
Treg,CREB1,unsigned,mlm,unsigned / mlm,1.49412912,0.135165425,0.676953503,57,601,9.48419301,276,Up
Treg,CREB1,unsigned,ulm,unsigned / ulm,8.55310326,1.3213950799999999e-17,7.94158441e-16,10,601,1.66389351,276,Up
Treg,CREB1,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.23658019,2.58093969e-14,8.49055416e-12,6,594,1.01010101,284,Up
Treg,EPAS1,alias_recovered,consensus,alias_recovered / consensus,0.67216644,0.501477743,0.999423546,130,603,21.5588723,63,Up
Treg,EPAS1,alias_recovered,mlm,alias_recovered / mlm,0.125584256,0.900062911,0.983449792,280,603,46.4344942,63,Up
Treg,EPAS1,alias_recovered,ulm,alias_recovered / ulm,2.82668173,0.00470997295,0.0202865263,134,603,22.2222222,63,Up
Treg,EPAS1,literature_signed,consensus,literature_signed / consensus,-0.151776504,0.879363214,0.999135386,278,388,71.6494845,29,Down
Treg,EPAS1,literature_signed,mlm,literature_signed / mlm,-0.502401431,0.615393301,0.840748594,260,388,67.0103093,29,Down
Treg,EPAS1,literature_signed,ulm,literature_signed / ulm,-0.0924015912,0.926380298,0.958408292,278,388,71.6494845,29,Down
Treg,EPAS1,signed,consensus,signed / consensus,0.645792221,0.518413926,0.999451659,145,601,24.1264559,62,Up
Treg,EPAS1,signed,mlm,signed / mlm,-0.0381103604,0.969600259,0.994263017,318,601,52.9118136,62,Down
Treg,EPAS1,signed,ulm,signed / ulm,2.79380722,0.0052162319,0.0214722971,140,601,23.2945092,62,Up
Treg,EPAS1,unsigned,consensus,unsigned / consensus,0.574743686,0.565464657,0.998992569,199,601,33.1114809,62,Up
Treg,EPAS1,unsigned,mlm,unsigned / mlm,-0.261053226,0.794055474,0.979742098,355,601,59.0682196,62,Down
Treg,EPAS1,unsigned,ulm,unsigned / ulm,3.06084557,0.00221130957,0.0073021816,182,601,30.2828619,62,Up
Treg,EPAS1,unsigned_geneset,fgsea,unsigned_geneset / fgsea,1.53776859,0.0144355336,0.0887042941,216,594,36.3636364,63,Up
Treg,HIF1A,alias_recovered,consensus,alias_recovered / consensus,3.4080651,6.54252843e-4,0.0563592092,6,603,0.995024876,296,Up
Treg,HIF1A,alias_recovered,mlm,alias_recovered / mlm,3.50342662,4.60811548e-4,0.0555738726,4,603,0.663349917,296,Up
Treg,HIF1A,alias_recovered,ulm,alias_recovered / ulm,8.37407636,6.09016443e-17,5.24624165e-15,7,603,1.16086235,296,Up
Treg,HIF1A,literature_signed,consensus,literature_signed / consensus,2.2701437,0.0231988657,0.692396915,10,388,2.57731959,138,Up
Treg,HIF1A,literature_signed,mlm,literature_signed / mlm,1.7582031,0.0787354316,0.428263113,42,388,10.8247423,138,Up
Treg,HIF1A,literature_signed,ulm,literature_signed / ulm,5.76142799,8.5159856e-9,2.75350201e-7,12,388,3.09278351,138,Up
Treg,HIF1A,signed,consensus,signed / consensus,3.41786495,6.31144158e-4,0.0541882342,6,601,0.998336106,293,Up
Treg,HIF1A,signed,mlm,signed / mlm,3.50044612,4.65990305e-4,0.0560120347,4,601,0.665557404,293,Up
Treg,HIF1A,signed,ulm,signed / ulm,8.29858018,1.14924996e-16,1.09184291e-14,6,601,0.998336106,293,Up
Treg,HIF1A,unsigned,consensus,unsigned / consensus,3.56140544,3.68874958e-4,0.04433877,5,601,0.831946755,293,Up
Treg,HIF1A,unsigned,mlm,unsigned / mlm,4.10164634,4.12645157e-5,0.0119939945,2,601,0.332778702,293,Up
Treg,HIF1A,unsigned,ulm,unsigned / ulm,9.50914522,2.23037245e-21,2.2340897299999998e-19,6,601,0.998336106,293,Up
Treg,HIF1A,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.33082849,4.54513747e-17,2.01279665e-14,3,594,0.505050505,296,Up
Treg,HSF1,alias_recovered,consensus,alias_recovered / consensus,1.83529732,0.0664616472,0.999423546,18,603,2.98507463,68,Up
Treg,HSF1,alias_recovered,mlm,alias_recovered / mlm,2.79349599,0.00522156971,0.185212149,10,603,1.65837479,68,Up
Treg,HSF1,alias_recovered,ulm,alias_recovered / ulm,5.67978753,1.37544779e-8,3.76997736e-7,22,603,3.64842454,68,Up
Treg,HSF1,literature_signed,consensus,literature_signed / consensus,0.952093392,0.34104962,0.999135386,53,388,13.6597938,25,Up
Treg,HSF1,literature_signed,mlm,literature_signed / mlm,1.63673426,0.101709128,0.465369311,50,388,12.8865979,25,Up
Treg,HSF1,literature_signed,ulm,literature_signed / ulm,3.15091891,0.00163100592,0.00994076801,58,388,14.9484536,25,Up
Treg,HSF1,signed,consensus,signed / consensus,1.81710608,0.0692008725,0.999451659,19,601,3.16139767,67,Up
Treg,HSF1,signed,mlm,signed / mlm,2.70201866,0.00690066777,0.196421419,11,601,1.83028286,67,Up
Treg,HSF1,signed,ulm,signed / ulm,5.59955767,2.18942346e-8,6.26592143e-7,21,601,3.49417637,67,Up
Treg,HSF1,unsigned,consensus,unsigned / consensus,1.60358037,0.108806581,0.998992569,28,601,4.65890183,67,Up
Treg,HSF1,unsigned,mlm,unsigned / mlm,1.36697416,0.171656343,0.704102747,70,601,11.6472546,67,Up
Treg,HSF1,unsigned,ulm,unsigned / ulm,6.4080675,1.52093123e-10,3.65631867e-9,25,601,4.15973378,67,Up
Treg,HSF1,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.22809564,1.97537468e-7,1.19080964e-5,8,594,1.34680135,68,Up
Treg,NFKB1,alias_recovered,consensus,alias_recovered / consensus,2.90255913,0.00370127279,0.247985277,7,603,1.16086235,282,Up
Treg,NFKB1,alias_recovered,mlm,alias_recovered / mlm,0.989225779,0.322570556,0.818014439,109,603,18.0762852,282,Up
Treg,NFKB1,alias_recovered,ulm,alias_recovered / ulm,8.42711145,3.8855697999999994e-17,3.9049976500000006e-15,6,603,0.995024876,282,Up
Treg,NFKB1,literature_signed,consensus,literature_signed / consensus,2.36433213,0.0180626111,0.637117557,9,388,2.31958763,147,Up
Treg,NFKB1,literature_signed,mlm,literature_signed / mlm,0.702107841,0.482623919,0.82210062800000006,128,388,32.9896907,147,Up
Treg,NFKB1,literature_signed,ulm,literature_signed / ulm,6.4639894,1.05356836e-10,4.95317167e-9,8,388,2.06185567,147,Up
Treg,NFKB1,signed,consensus,signed / consensus,2.86366959,0.00418764574,0.314596886,7,601,1.16472546,280,Up
Treg,NFKB1,signed,mlm,signed / mlm,0.8327559,0.40499725600000003,0.848095299,138,601,22.9617304,280,Up
Treg,NFKB1,signed,ulm,signed / ulm,8.2864824,1.2716972300000001e-16,1.09184291e-14,7,601,1.16472546,280,Up
Treg,NFKB1,unsigned,consensus,unsigned / consensus,3.05769862,0.00223043776,0.153598189,7,601,1.16472546,280,Up
Treg,NFKB1,unsigned,mlm,unsigned / mlm,0.220182792,0.825732153,0.979742098,252,601,41.9301165,280,Up
Treg,NFKB1,unsigned,ulm,unsigned / ulm,10.2246465,1.87451711e-24,2.25316956e-22,5,601,0.831946755,280,Up
Treg,NFKB1,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.35686406,3.6832367399999996e-17,1.76703283e-14,2,594,0.336700337,281,Up
Treg,REL,alias_recovered,consensus,alias_recovered / consensus,1.88601596,0.0592928043,0.999423546,17,603,2.81923715,85,Up
Treg,REL,alias_recovered,mlm,alias_recovered / mlm,0.460045502,0.645491027,0.930353549,206,603,34.1625207,85,Up
Treg,REL,alias_recovered,ulm,alias_recovered / ulm,7.38012375,1.67046367e-13,1.25911199e-11,8,603,1.32669983,85,Up
Treg,REL,literature_signed,consensus,literature_signed / consensus,0.912638666,0.361432611,0.999135386,57,388,14.6907216,44,Up
Treg,REL,literature_signed,mlm,literature_signed / mlm,-0.81870211,0.412970727,0.786771247,298,388,76.8041237,44,Down
Treg,REL,literature_signed,ulm,literature_signed / ulm,4.03079486,5.58827976e-5,6.90519591e-4,29,388,7.4742268,44,Up
Treg,REL,signed,consensus,signed / consensus,2.03044178,0.042311653,0.999451659,13,601,2.16306156,83,Up
Treg,REL,signed,mlm,signed / mlm,1.02077382,0.307380045,0.806704833,108,601,17.9700499,83,Up
Treg,REL,signed,ulm,signed / ulm,7.5586492,4.32532483e-14,3.24940028e-12,8,601,1.33111481,83,Up
Treg,REL,unsigned,consensus,unsigned / consensus,1.79792794,0.0721884271,0.998992569,23,601,3.82695507,83,Up
Treg,REL,unsigned,mlm,unsigned / mlm,0.193762633,0.846364684,0.979742098,262,601,43.59401,83,Up
Treg,REL,unsigned,ulm,unsigned / ulm,8.16467163,3.49671965e-16,1.91048046e-14,11,601,1.83028286,83,Up
Treg,REL,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.31294599,4.60427602e-9,4.38129208e-7,4,594,0.673400673,85,Up
Treg,STAT3,alias_recovered,consensus,alias_recovered / consensus,2.7537102,0.00589239181,0.355311226,8,603,1.32669983,287,Up
Treg,STAT3,alias_recovered,mlm,alias_recovered / mlm,2.22877987,0.0258450806,0.354195082,23,603,3.81426202,287,Up
Treg,STAT3,alias_recovered,ulm,alias_recovered / ulm,7.00419124,2.59752185e-12,1.56630567e-10,10,603,1.65837479,287,Up
Treg,STAT3,literature_signed,consensus,literature_signed / consensus,3.43371761,5.95364092e-4,0.104849456,2,388,0.515463918,285,Up
Treg,STAT3,literature_signed,mlm,literature_signed / mlm,2.83789369,0.00454794741,0.220575449,5,388,1.28865979,285,Up
Treg,STAT3,literature_signed,ulm,literature_signed / ulm,6.89487265,5.62230845e-12,5.20336282e-10,4,388,1.03092784,285,Up
Treg,STAT3,signed,consensus,signed / consensus,2.73093232,0.00631554396,0.358945061,8,601,1.33111481,285,Up
Treg,STAT3,signed,mlm,signed / mlm,2.16682388,0.0302658526,0.361867717,25,601,4.15973378,285,Up
Treg,STAT3,signed,ulm,signed / ulm,6.89487265,5.62230845e-12,3.37900738e-10,10,601,1.66389351,285,Up
Treg,STAT3,unsigned,consensus,unsigned / consensus,3.04846471,0.00230013927,0.153598189,8,601,1.33111481,285,Up
Treg,STAT3,unsigned,mlm,unsigned / mlm,2.36513254,0.0180377847,0.300005676,19,601,3.16139767,285,Up
Treg,STAT3,unsigned,ulm,unsigned / ulm,8.88577974,7.11193153e-19,5.3428385599999994e-17,8,601,1.33111481,285,Up
Treg,STAT3,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.29360103,1.47628825e-15,5.86137344e-13,5,594,0.841750842,287,Up
