pathway_id,database,population,contrast,nes,pvalue,padj,set_size,direction,query_name,seed_population,seeded_from_this_population,gate,gse,gpl,hit_rank,pctVar,n_genes,n_seed_genes,frac_seed_genes,pathway_name,core_enrichment
CORESH_tcon_up_fdr_only_GSE216963,CoReSh_derived_hsa,cd8,SF_vs_PB_CD8,2.12358762203658,9.5845570690239e-06,1.82977907681365e-05,48,Up,tcon_up_fdr_only,tcon,FALSE,fdr_only,GSE216963,GPL24676,3,20.230892886303,50,25,0.5,CORESH_tcon_up_fdr_only_GSE216963,S100A11/CD74/VIM/S100A10/LGALS1/S100A6/CTSD/HLA-DRA/HSPA1A/ANXA1/SH3BGRL3/CSTB/TSPO/C1QA/S100A4/JUND/MT2A/C1QB/APOC1
CORESH_treg_up_fdr_logfc_GSE114065,CoReSh_derived_hsa,cd8,SF_vs_PB_CD8,1.92466013877643,0.000246119515636793,0.000430709152364388,48,Up,treg_up_fdr_logfc,treg,FALSE,fdr_logfc,GSE114065,GPL20301,3,7.27642323094005,50,15,0.3,CORESH_treg_up_fdr_logfc_GSE114065,DUSP4/LAG3/GNA15/KIFC1/ZBED2/CDK1/BHLHE40/AK4/NCAPG/MELK/GZMB/NUSAP1/BUB1B/TOP2A/EGR1/UBE2C/HJURP/ASPM/TPX2/ZBTB32/CDCA5/IL2RA/CEP55/CDC45/EXO1/TNFRSF4/MYBL2/KIF2C/TYMS
CORESH_cd8_up_fdr_only_GSE123290,CoReSh_derived_hsa,cd8,SF_vs_PB_CD8,-1.88130549977952,0.000510646989735996,0.000824891291111993,47,Down,cd8_up_fdr_only,cd8,TRUE,fdr_only,GSE123290,GPL20301,4,19.309673828753,50,10,0.2,CORESH_cd8_up_fdr_only_GSE123290,HSP90AA1/MT-CO3/NCL/YBX1/RPL10/RPS2/NPM1/EEF1G/RPL8/PABPC1/RPLP0/EEF2/RPS3/RPL13A/RPL19/RPSA/RPL4/EEF1A1
CORESH_treg_up_fdr_logfc_GSE173807,CoReSh_derived_hsa,cd8,SF_vs_PB_CD8,1.73055120692826,0.00643502863846525,0.00965254295769788,24,Up,treg_up_fdr_logfc,treg,FALSE,fdr_logfc,GSE173807,GPL24676,5,7.24907043316995,50,13,0.26,CORESH_treg_up_fdr_logfc_GSE173807,CD68/IL1R2/IL1RN/VEGFA/PLAU/G0S2/TREM1/CCRL2/FPR1/MAFB/SIRPA/APOBEC3A/ICAM1/PTAFR/SERPINA1/TNFAIP2/IGSF6/CCL20/SPHK1/CD300E
CORESH_tcon_up_fdr_logfc_GSE150876,CoReSh_derived_hsa,cd8,SF_vs_PB_CD8,1.65482031601757,0.0086231435125496,0.0120724009175694,38,Up,tcon_up_fdr_logfc,tcon,FALSE,fdr_logfc,GSE150876,GPL18573,5,10.3706827198587,50,36,0.72,CORESH_tcon_up_fdr_logfc_GSE150876,SEMA4A/CD68/DUSP6/CD86/CD93/MYOF/TGFBI/SLC8A1/CLEC12A/CSF1R/HCK/PLD4/FCGR1A/MARCKS/SPI1/CPVL/ZNF385A/RAB31/MAFB/CYBB/LILRA5/HMOX1/SYK/SERPINA1/TNFAIP2/P2RY13/LRRC25/LGALS2
CORESH_tcon_up_fdr_only_GSE173929,CoReSh_derived_hsa,cd8,SF_vs_PB_CD8,-1.60584360145795,0.0107390709690492,0.0140950306468771,45,Down,tcon_up_fdr_only,tcon,FALSE,fdr_only,GSE173929,GPL24014,2,20.4375825417751,50,12,0.24,CORESH_tcon_up_fdr_only_GSE173929,HSP90AA1/MT-CO3/CANX/HSP90AB1/HNRNPA1/MALAT1/RPS2/TPT1/RPL8/PABPC1/RPLP0/EEF2/RPL13A/RPL4/EEF1A1/RPL3
CORESH_treg_up_fdr_only_GSE200469,CoReSh_derived_hsa,cd8,SF_vs_PB_CD8,-1.56495352415622,0.0134934453092995,0.0166683736173699,48,Down,treg_up_fdr_only,treg,FALSE,fdr_only,GSE200469,GPL20301,2,17.8606717023464,50,15,0.3,CORESH_treg_up_fdr_only_GSE200469,TXNIP/RPS19/FTL/MALAT1/EEF1G/RPL15/RPL13/RPL13A/RPS18/RPS6/EEF1A1/RPL3
CORESH_cd8_up_fdr_logfc_GSE222740,CoReSh_derived_hsa,cd8,SF_vs_PB_CD8,1.54286004774744,0.0198334519808619,0.0231390273110055,44,Up,cd8_up_fdr_logfc,cd8,TRUE,fdr_logfc,GSE222740,GPL24676,4,9.23372713847976,50,25,0.5,CORESH_cd8_up_fdr_logfc_GSE222740,DUSP4/CSF1/GNA15/CCR5/KIFC1/CDK1/ITGA1/NCF4/MPP7/MELK/CKAP2L/TOP2A/ESCO2/ASB2/KIF18B/E2F7/KIF23/CDCA2/E2F8/ESPL1/KIF14/HJURP/ASPM/TPX2/SLCO4A1
CORESH_treg_up_fdr_logfc_GSE199729,CoReSh_derived_hsa,cd8,SF_vs_PB_CD8,-1.51834500139257,0.0230336937073158,0.025458293044928,43,Down,treg_up_fdr_logfc,treg,FALSE,fdr_logfc,GSE199729,GPL11154,2,7.29497797656266,50,15,0.3,CORESH_treg_up_fdr_logfc_GSE199729,TCF7/SLC40A1/LRRN3/MAL/CX3CR1/KLRB1/VSIG1/FCGR3A/PLEK/FGFBP2/KLRG1/FHIT/TMIGD2
CORESH_tcon_up_fdr_only_GSE118383,CoReSh_derived_hsa,cd8,SF_vs_PB_CD8,-1.36473189679587,0.0682946498324135,0.0717093823240342,43,Down,tcon_up_fdr_only,tcon,FALSE,fdr_only,GSE118383,GPL15520,1,20.6537003149485,50,13,0.26,CORESH_tcon_up_fdr_only_GSE118383,MT-ND4/DDX5/MT-CO3/RPLP1/COL6A1/HSP90AB1/FTL/HSP90B1/TPT1/RPL8/RPS4X/RPL13A/RPS6/COL6A2/EEF1A1
