set_name,query_name,population,gate,gse,gpl,hit_rank,pctVar,query_genes_in_dataset,n_genes,n_seed_genes,n_new_genes,frac_seed_genes,scored_against,n_in_ranked,frac_in_ranked
CORESH_tcon_up_fdr_logfc_GSE150876,tcon_up_fdr_logfc,tcon,fdr_logfc,GSE150876,GPL18573,5,10.3706827198587,410,50,36,14,0.72,tcon,47,0.94
CORESH_tcon_up_fdr_only_GSE118383,tcon_up_fdr_only,tcon,fdr_only,GSE118383,GPL15520,1,20.6537003149485,2048,50,13,37,0.26,tcon,45,0.9
CORESH_tcon_up_fdr_only_GSE173929,tcon_up_fdr_only,tcon,fdr_only,GSE173929,GPL24014,2,20.4375825417751,2037,50,12,38,0.24,tcon,46,0.92
CORESH_tcon_up_fdr_only_GSE216963,tcon_up_fdr_only,tcon,fdr_only,GSE216963,GPL24676,3,20.230892886303,2137,50,25,25,0.5,tcon,49,0.98
CORESH_tcon_up_fdr_only_GSE86566,tcon_up_fdr_only,tcon,fdr_only,GSE86566,GPL11154,5,19.5736160695125,2054,48,2,46,0.0416666666666667,tcon,13,0.270833333333333
CORESH_treg_up_fdr_logfc_GSE110097,treg_up_fdr_logfc,treg,fdr_logfc,GSE110097,GPL18573,1,7.59606857390368,380,50,17,33,0.34,tcon,46,0.92
CORESH_treg_up_fdr_logfc_GSE114065,treg_up_fdr_logfc,treg,fdr_logfc,GSE114065,GPL20301,3,7.27642323094005,335,50,15,35,0.3,tcon,49,0.98
CORESH_treg_up_fdr_logfc_GSE173807,treg_up_fdr_logfc,treg,fdr_logfc,GSE173807,GPL24676,5,7.24907043316995,372,50,13,37,0.26,tcon,34,0.68
CORESH_treg_up_fdr_logfc_GSE199729,treg_up_fdr_logfc,treg,fdr_logfc,GSE199729,GPL11154,2,7.29497797656266,397,50,15,35,0.3,tcon,43,0.86
CORESH_treg_up_fdr_only_GSE181061,treg_up_fdr_only,treg,fdr_only,GSE181061,GPL18573,5,17.5096223571097,1716,50,3,47,0.06,tcon,50,1
