query_name,population,gate,gse,gpl,pctVar,pval,size,rank
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE162499,GPL24676,5.15714772082783,,481,55
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE84251,GPL570,5.0911212884576,,409,56
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE190349,GPL11154,5.00488167519746,,344,57
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE173929,GPL24014,5.00287196479099,,508,58
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE16022,GPL6848,4.9855706205559,,441,59
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE125974,GPL18573,4.93991928784418,,441,60
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE44952,GPL14550,4.87381337648814,,417,61
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE55704,GPL14550,4.87381337648814,,417,62
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE60678,GPL14550,4.87380927823949,,417,63
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE60680,GPL14550,4.87380927823949,,417,64
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE186463,GPL18573,4.84667594469323,,370,65
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE153384,GPL18573,4.8448584800482,,438,66
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE212353,GPL18573,4.83398466812554,,429,67
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE212357,GPL18573,4.83398466812554,,429,68
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE220227,GPL23227,4.80169526914309,,423,69
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE160097,GPL18573,4.78663877257914,,398,70
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE227392,GPL20795,4.75570408925758,,464,71
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE162796,GPL24676,4.73458524534337,,478,72
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE44956,GPL14550,4.66448545159791,,394,73
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE150363,GPL11154,4.65629922130979,,483,74
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE71566,GPL570,4.65379562496237,,379,75
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE71646,GPL570,4.65379562496237,,379,76
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE247485,GPL24676,4.62301555207845,,450,77
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE247486,GPL24676,4.62301555207845,,450,78
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE105095,GPL16791,4.60890251885795,,378,79
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE141026,GPL24676,4.60208782106983,,445,80
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE174284,GPL18573,4.58105406655087,,441,81
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE174292,GPL18573,4.58105406655087,,441,82
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE227391,GPL20795,4.57567923477323,,464,83
