gse,gpl,recovering_query,set_name,population,gate,hit_rank,pctVar,n_genes,n_seed_genes,frac_seed_genes,organism,n_samples,n_genes_profiled,metadata_terms,terms_aligned_with_query,terms_opposed_to_query,max_abs_term_r,n_platform_records_in_compendium,annotation_source,annotation_basis,cache_snapshot,cache_synapse_id,cache_downloaded_at
GSE173929,GPL24014,tcon_up_fdr_only,CORESH_tcon_up_fdr_only_GSE173929,tcon,fdr_only,2,20.4375825417751,50,12,0.24,Homo sapiens,9,10000,-diseased / individual / syndrome / clinical / isolated,syndrome / clinical / isolated,-diseased / individual,0.419988733840724,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE216963,GPL24676,tcon_up_fdr_only,CORESH_tcon_up_fdr_only_GSE216963,tcon,fdr_only,3,20.230892886303,50,25,0.5,Homo sapiens,6,10000,neoformans / cryptococcus / with,neoformans / cryptococcus / with,"",0.521725383984919,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE86566,GPL11154,tcon_up_fdr_only,CORESH_tcon_up_fdr_only_GSE86566,tcon,fdr_only,5,19.5736160695125,48,2,0.0416666666666667,Homo sapiens,164,10000,specific / interest / genes / sample-1553374 / targeted-1553374 / exome / ensure / regions / required / rrna / heated / this / starting / coated / combining,exome / rrna,specific / interest / genes / sample-1553374 / targeted-1553374,0.954869687415975,2,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE110097,GPL18573,treg_up_fdr_logfc,CORESH_treg_up_fdr_logfc_GSE110097,treg,fdr_logfc,1,7.59606857390368,50,17,0.34,Homo sapiens,13,10000,anti-cd28 / th17cd28 / th0cd28 / th17,anti-cd28 / th17cd28 / th0cd28,th17,0.809229307266998,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE199729,GPL11154,treg_up_fdr_logfc,CORESH_treg_up_fdr_logfc_GSE199729,treg,fdr_logfc,2,7.29497797656266,50,15,0.3,Homo sapiens,4,10000,ccr5 / ccr5-,ccr5,ccr5-,0.997704363530907,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE114065,GPL20301,treg_up_fdr_logfc,CORESH_treg_up_fdr_logfc_GSE114065,treg,fdr_logfc,3,7.27642323094005,50,15,0.3,Homo sapiens,137,10000,removed / female / male / control / resolved / other / caucasian / mixed / allergic / asian,removed / female / resolved / other / allergic,male / control / caucasian / mixed / asian,0.286212938366421,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE173807,GPL24676,treg_up_fdr_logfc,CORESH_treg_up_fdr_logfc_GSE173807,treg,fdr_logfc,5,7.24907043316995,50,13,0.26,Homo sapiens,12,10000,rtcpc / rtcpc-treated / neutrophils-treated / neutrophils / control / untreated,neutrophils-treated / control / untreated,rtcpc / rtcpc-treated / neutrophils,0.996230171702604,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE237034,GPL24676,treg_up_fdr_only,CORESH_treg_up_fdr_only_GSE237034,treg,fdr_only,1,18.6493394093177,50,8,0.16,Homo sapiens,11,10000,multiplexed-fibroblast / multipled-hashtag / fibroblast,multiplexed-fibroblast,multipled-hashtag / fibroblast,0.994433417242345,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE200469,GPL20301,treg_up_fdr_only,CORESH_treg_up_fdr_only_GSE200469,treg,fdr_only,2,17.8606717023464,50,15,0.3,Homo sapiens,6,10000,500nm / dmso / vorinostat,dmso,500nm / vorinostat,0.447829361246127,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE202919,GPL24676,treg_up_fdr_only,CORESH_treg_up_fdr_only_GSE202919,treg,fdr_only,3,17.6176758609129,50,5,0.1,Homo sapiens,6,10000,barcode / none / reads / multiseq / transcript / mrna-derived / barcode-derived / oligonucleotide / poly / multiseq-derived / breast,none / transcript / mrna-derived / poly / breast,barcode / reads / multiseq / barcode-derived / oligonucleotide,0.999050940307724,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE181061,GPL18573,treg_up_fdr_only,CORESH_treg_up_fdr_only_GSE181061,treg,fdr_only,5,17.5096223571097,50,3,0.06,Homo sapiens,29,10000,umap / cellbarcode / normalizedcounts / single / cluster / embedding / final / matrix / contig / ccrcc / coor / cd45plus / barcodes / genes / info,umap / normalizedcounts / single / embedding / final,cellbarcode / cluster / contig / info,0.947165282155496,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
