pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction,stage,evidence_tier
WT_heat_up,WT_heat_up,mouse_projection,2.51455978,4.82520401e-14,9.65040803e-14,105.0,CDKN1A/IL1RN/SDC4/TIMP1/CYSTM1/CD70/FAH/CCL4/RGS16/FOSL2/LTA/CD80/HSPA1A/SPINT1/FASLG/OAS3/NR4A1/CLU/C15orf48/NAB2/SEMA4A/ANXA2/DENND3/TMEM205/CCL20/CD53/EGR3/UPP1/ATP2B4/PLXNB2/TP73/PLAUR/AK4/ITGA3/HBEGF/CAMK2N1/FAM83G/ATF3/FAM110C/EMILIN2/HSPH1/EGR2/ZBTB32/BATF3/EGR1/GFI1/CD40LG/ADAM8/ADORA2A/NR4A3,SF_vs_PB_Treg,up,05_scoring,
WT_heat_down,WT_heat_down,mouse_projection,1.01098584,0.434865588,0.434865588,57.0,RHOB/HLA-DRB1/HLA-DRB5/ENTPD1/PDE4A/CEACAM1/RBM3/BMP1/SAMD9L/GALNT10/CIITA/ITGAE/MS4A6A/RAB19/LZTS1/ARSB/GBP2/AHR/NACC2,SF_vs_PB_Treg,down,05_scoring,
WT_heat_up,WT_heat_up,mouse_projection,2.57174864,2.2351247500000002e-15,4.470249490000001e-15,111.0,RGS16/CDKN1A/ATP2B4/CYSTM1/SDC4/SEMA4A/CD70/FASLG/UPP1/EOMES/FOSL2/CCL3/PLAUR/CCL4/ANXA2/OAS3/P4HA2/CLU/ITGA3/CCL20/TNFSF14/PLXNB2/DENND3/TIMP1/ADAM8/HSPA1A/ATF3/CAMK2N1/GFI1/BATF3/FAM83G/NR4A1/EGR1/C15orf48/CD53/SPINT1/EMILIN2/FAH/CD80/HBEGF/AK4/RAB34/FAM110C/CSF2/CD83/EGR3,SF_vs_PB_Tcon,up,05_scoring,
WT_heat_down,WT_heat_down,mouse_projection,1.33729658,0.0740384456,0.0740384456,61.0,PDE4A/HLA-DRB5/HLA-DRB1/ENTPD1/SAMD9L/RHOB/ITGAE/GALNT10/CIITA/BMF/CEACAM1,SF_vs_PB_Tcon,down,05_scoring,
WT_heat_up,WT_heat_up,mouse_projection,2.05028145,4.20988236e-07,8.41976471e-07,115.0,CYSTM1/CDKN1A/ANXA2/RGS16/CCL3/SDC4/SEMA4A/CLU/ITGA3/CD70/OAS3/SPINT1/ATP2B4/C15orf48/FASLG/FAM83G/PLK3/CCL4/PLXNB2/HSPA1A/AK4/FAM110C/CSF2/TP73/UPP1/EMILIN2/ATF3/CD80/EGR1/B3GNT5/CASZ1/SLC4A11/ZBTB32/ASB2/FAH/DENND3/NAB2/ADORA2A/SERPINE1/PAK1/BATF3/TNFSF9/EGR2/EPN2,SF_vs_PB_CD8,up,05_scoring,
WT_heat_down,WT_heat_down,mouse_projection,1.22380033,0.148382186,0.148382186,62.0,PDE4A/SAMD9L/HLA-DRB5/HLA-DRB1/CIITA/RHOB/AHR/CEACAM1/ENTPD1/BMF/ITGAE/ST8SIA1/MS4A6A,SF_vs_PB_CD8,down,05_scoring,
WT_heat_up,WT_heat_up,mouse_projection,2.59152412,1.6131971e-14,3.2263942e-14,119.0,CDKN1A/IL1RN/SDC4/CYSTM1/CCL4/CD70/TIMP1/FAH/RGS16/FOSL2/OAS3/SPINT1/HSPA1A/CD80/FASLG/NR4A1/LTA/NAB2/C15orf48/P4HA2/CLU/CCL20/CSF2/SEMA4A/ANXA2/DENND3/TMEM205/CCL3/PLXNB2/AK4/EGR3/ATP2B4/UPP1/TP73/CAMK2N1/ATF3/IL1A/CD53/ITGA3/FAM83G/CCL22/EMILIN2/EGR1/SERPINE1/HSPH1/PLAUR/FAM110C/HBEGF/GPRC5A/EGR2/BATF3/FOSL1/NR4A3/ZBTB32/HK2/GFI1/SLC41A1/PLA2G4C/ADORA2A/CD40LG/MST1R/ADAM8/PAK1/GPR183/DAGLA,SF_vs_PB_Treg,up,05_scoring,
WT_heat_down,WT_heat_down,mouse_projection,0.967559724,0.511650503,0.511650503,56.0,RHOB/HLA-DRB1/HLA-DRB5/ENTPD1/PDE4A/CEACAM1/RBM3/BMP1/FAM167A/SAMD9L,SF_vs_PB_Treg,down,05_scoring,
WT_heat_up,WT_heat_up,mouse_projection,2.6808778,4.04716646e-17,8.094332929999998e-17,130.0,RGS16/CDKN1A/ATP2B4/SEMA4A/CYSTM1/SDC4/CD70/UPP1/EOMES/CCL3/FOSL2/CCL4/OAS3/FASLG/PLAUR/ITGA3/ANXA2/P4HA2/PLXNB2/CLU/EGR2/DENND3/C15orf48/CCL20/FAM83G/TNFSF14/TIMP1/GFI1/ATF3/EMILIN2/CAMK2N1/NR4A1/CD53/CSF2/FAH/BATF3/ADAM8/EGR3/SPP1/TNFSF9/SPINT1/HSPA1A/IL1RN/OLR1/EGR1/DAB2/AK4/SGMS2/RAB34/FAM110C/CD83/SERPINE1/C3/TP73/SPHK1/PAK1/FOSL1/CASZ1/HBEGF/OAF/SCN9A/CD80/KLRC1/PLK3/TMEM205/B3GNT5/IGF2BP2/HK2/PXDC1/DMWD/PLEK2,SF_vs_PB_Tcon,up,05_scoring,
WT_heat_down,WT_heat_down,mouse_projection,1.47175394,0.0262872489,0.0262872489,61.0,HLA-DRB1/HLA-DRB5/PDE4A/SAMD9L/ITGAE/ENTPD1/RHOB/GALNT10/FAM167A/BMF/CIITA/CEACAM1,SF_vs_PB_Tcon,down,05_scoring,
WT_heat_up,WT_heat_up,mouse_projection,2.07098454,1.80492754e-07,3.60985508e-07,113.0,CYSTM1/CDKN1A/ANXA2/RGS16/SEMA4A/OAS3/SDC4/ATP2B4/CLU/CCL3/ITGA3/FASLG/SPINT1/CD70/HSPA1A/FAM110C/FAM83G/CCL4/PLK3/C15orf48/UPP1/AK4/PLXNB2/SGMS2/TP73/EMILIN2/CASZ1/ILDR1/EGR1/ASB2/CSF2/FAH/ADORA2A/SPP1/SLC4A11/B3GNT5/ATF3/PAK1/OLR1/NAB2/DENND3/IL1RN/CD80/ZBTB32/ADAM8/EPN2/SERPINE1/P4HA2/EOMES,SF_vs_PB_CD8,up,05_scoring,
WT_heat_down,WT_heat_down,mouse_projection,1.09433951,0.30814594,0.30814594,57.0,PDE4A/SAMD9L/CIITA/HLA-DRB5/HLA-DRB1/AHR/ENTPD1/RHOB/CEACAM1/ITGAE,SF_vs_PB_CD8,down,05_scoring,
HSR_core,HSR_core,HSR_treg,1.48893564,0.0318622135,0.0637244271,43.0,HSPA1A/HSBP1/HSP90AB1/DNAJA4/HSPA9/DNAJB6/HSPA13/DNAJA1/HSPH1/HSPA1B/HSPB1/UBB/HSPA2/HTRA2/VCP/HSPA6/FKBP4/HSPA4/BAG4/HSP90AA1,SF_vs_PB_Treg_HSR,na,10_hsr_lens,secondary_annotation
HSR_sensitivity,HSR_sensitivity,HSR_treg,1.1185031,0.230618269,0.230618269,137.0,HSPA1A/SERPINH1/HSBP1/STAC/HSP90AB1/MAPKAPK2/IER5/DNAJA4/NOS3/IL1A/HSPA9/DNAJB6/HSPA13/EIF2B4/DNAJA1/EIF2S1/HSPH1/SOD1/HSPA1B/TRPM2/HSPB1/UBB/HSPA2/NUP188/HTRA2/NUP37/VCP/AKT1/MRPL18/LRP11/HSPA6/HMOX1/HSPA5/FKBP4/CXCL10/AAAS/HSPA4/PRKACA/SEH1L/BAG4/EIF2B3/SEC13/IRAK1/PDCD6/HSP90AA1,SF_vs_PB_Treg_HSR,na,10_hsr_lens,secondary_annotation
HSR_core,HSR_core,HSR_tcon,-1.34255177,0.0787076344,0.157415269,43.0,CHORDC1/FKBP4/BAG3/DNAJB4/ZFAND1/ST13/DNAJA3/HSBP1L1/HSPB1/BAG2,SF_vs_PB_Tcon_HSR,na,10_hsr_lens,secondary_annotation
HSR_sensitivity,HSR_sensitivity,HSR_tcon,-1.04857036,0.337919445,0.337919445,137.0,NUP50/RPA2/HSF1/EEF1D/CAMK2D/EIF2B5/HSPA8/GSK3B/POM121/HDAC2/CAMK2G/NUP43/CHORDC1/FKBP4/TPR/BAG3/DNAJB4/ZFAND1/ST13/EEF1A1/RPTOR/NUP210/DNAJA3/HSBP1L1/NUP88/PSIP1/HSPB1/ATM/BAG2,SF_vs_PB_Tcon_HSR,na,10_hsr_lens,secondary_annotation
HSR_core,HSR_core,HSR_cd8,-1.15071349,0.230794443,0.375310307,43.0,HSP90AA1/DNAJB4/BAG5/ST13/DNAJA3/ZFAND1/BAG2/HSP90AB1/HSBP1L1,SF_vs_PB_CD8_HSR,na,10_hsr_lens,secondary_annotation
HSR_sensitivity,HSR_sensitivity,HSR_cd8,-1.03065797,0.375310307,0.375310307,137.0,HSP90AA1/RPTOR/DNAJB4/BAG5/ST13/NUP88/LYN/DNAJA3/ZFAND1/BAG2/HSP90AB1/HSBP1L1/RPA2/HSPA5/CAMK2D/EEF1A1/ATM,SF_vs_PB_CD8_HSR,na,10_hsr_lens,secondary_annotation
