population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,1,GOBP_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,down,-3.10349888,-0.675577421,8.264577810000001e-30,4.76535556e-26,1.56269392e-26,GO_BP,158,91,0.575949367
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,2,GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,Negative Regulation of Syncytium Formation by Plasma Membrane Fusion,down,-3.01396292,-0.815569546,2.08747948e-18,6.018203340000001e-15,1.3156919300000001e-15,GO_BP,47,44,0.936170213
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,3,GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,Regulation of Syncytium Formation by Plasma Membrane Fusion,down,-2.73976865,-0.704519367,1.00426156e-13,1.93019071e-10,2.92137112e-11,GO_BP,60,46,0.766666667
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,4,GOBP_VIRAL_LIFE_CYCLE,Viral Life Cycle,up,2.25179617,0.499441514,7.80909126e-13,1.12568051e-9,2.1093843e-10,GO_BP,216,63,0.291666667
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,5,GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION,Regulation of Leukocyte Proliferation,up,2.26219597,0.504420081,6.74814235e-12,7.78195776e-9,1.59495156e-9,GO_BP,206,59,0.286407767
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,6,GOBP_MYOBLAST_FUSION,Myoblast Fusion,down,-2.56675593,-0.646223739,1.86287623e-11,1.54131289e-8,3.93119832e-9,GO_BP,67,46,0.686567164
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,7,GOBP_LEUKOCYTE_PROLIFERATION,Leukocyte Proliferation,up,2.10246344,0.456064172,1.87117417e-11,1.54131289e-8,3.93119832e-9,GO_BP,261,71,0.272030651
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,8,GOBP_REGULATION_OF_T_CELL_ACTIVATION,Regulation of T Cell Activation,up,2.02553139,0.429365865,2.22357507e-11,1.60264173e-8,4.42569459e-9,GO_BP,327,106,0.324159021
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,9,GOBP_REGULATION_OF_VIRAL_PROCESS,Regulation of Viral Process,up,2.40968014,0.587276181,2.82408697e-11,1.63814885e-8,5.37195015e-9,GO_BP,108,37,0.342592593
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,10,GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,Lymphocyte Mediated Immunity,up,2.15197676,0.472959208,2.841049e-11,1.63814885e-8,5.37195015e-9,GO_BP,233,74,0.317596567
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,11,GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,Adaptive Immune Response Based On Somatic Recombination of Immune Receptors Built from Immunoglobulin Superfamily Domains,up,2.09328659,0.453133669,3.31167718e-11,1.73592096e-8,6.15917665e-9,GO_BP,266,102,0.383458647
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,12,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION,Positive Regulation of Leukocyte Proliferation,up,2.3377232,0.552882525,3.6952614e-11,1.7755731e-8,6.65440327e-9,GO_BP,132,41,0.310606061
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,13,GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,Leukocyte Mediated Immunity,up,2.04516349,0.437499236,4.00642113e-11,1.77700187e-8,6.88679512e-9,GO_BP,299,104,0.347826087
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,14,GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE,Regulation of Viral Life Cycle,up,2.4679977,0.622707841,4.78384162e-11,1.97025934e-8,7.98127694e-9,GO_BP,87,33,0.379310345
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,15,GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION,Negative Regulation of Cell Cell Adhesion,up,2.28475502,0.527009371,5.32264346e-11,2.04602415e-8,8.7515058e-9,GO_BP,158,63,0.398734177
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,16,GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION,Negative Regulation of Cell Activation,up,2.23838796,0.510591095,8.70729789e-11,3.13789248e-8,1.37200409e-8,GO_BP,172,67,0.389534884
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,17,GOBP_TYPE_II_INTERFERON_PRODUCTION,Type II Interferon Production,up,2.42049735,0.593269662,1.5570519e-10,5.1263224e-8,2.26471203e-8,GO_BP,104,47,0.451923077
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,18,GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,Regulation of Apoptotic Signaling Pathway,up,2.01949933,0.434236193,1.60030876e-10,5.1263224e-8,2.29816492e-8,GO_BP,285,111,0.389473684
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,19,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,Leukocyte Cell Cell Adhesion,up,1.96004154,0.412495141,1.76131719e-10,5.34513415e-8,2.43684676e-8,GO_BP,354,114,0.322033898
Treg,SF_vs_PB_Treg,GO_BP,dotplot,top 20 by pooled FDR,20,GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,Regulation of Immune Effector Process,up,2.01465781,0.43319516,2.07889345e-10,5.9934498e-8,2.84157182e-8,GO_BP,285,86,0.301754386
