gene_symbol,log2FoldChange,pvalue,padj,neg_log10_padj,sf_direction,passes_de_gates,arm,hypoxia_purged,le_program,reference_axis,label_drawn,n_genes_tested,n_gates_sf_high_all_genes,n_gates_blood_high_all_genes,contrast,evidence_tier
ZFP36L2,-0.601092311,0.00779748216,0.0281973383,1.54979188,blood_high,False,not_in_signature,False,not_annotated,sting_specific,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
IFI27,0.940171073,0.0113128802,0.0381765843,1.41820293,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
HBG2,-2.64682566,0.0149971988,0.0478793189,1.31985204,blood_high,True,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
IFIT2,-0.856552695,0.0157968434,0.0498263015,1.30254135,blood_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
TSC22D2,-0.449964439,0.021251721,0.0632231994,1.19912353,blood_high,False,not_in_signature,False,not_annotated,sting_specific,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
IFIH1,0.447694319,0.022002394,0.0650595566,1.1866889,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
PNPT1,0.326142164,0.02338006,0.0681500801,1.16653363,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ISG20,0.396582441,0.0238490478,0.0692307707,1.15970083,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
HERC6,0.407576877,0.0287315952,0.0797705047,1.09815766,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
MASTL,1.05511729,0.038491766,0.100316699,0.998626769,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
DDX60L,0.349798617,0.0430917763,0.109594986,0.960209316,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ABTB2,1.35039972,0.0590481605,0.140568614,0.852111638,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
